species,region,matter,value_smaers2017,secondary_source,primary_source,smaers_supp_ref,primary_value,abs_diff,note
Cercopithecus ascanius,Primary visual,gray,4.272,Smaers_etal_2017,"de Sousa et al. 2010, Cereb Cortex (striate, V1)",S6,4.272,0.0,EXACT match (=your de Sousa V1)
Cercopithecus ascanius,Primary visual,white,0.834,Smaers_etal_2017,"de Sousa et al. 2010, Cereb Cortex (striate, V1)",S6,,,primary_value to be filled from S6
Cercopithecus ascanius,Prefrontal,gray,1.154,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Cercopithecus ascanius,Prefrontal,white,0.159,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Cercopithecus ascanius,Other cortical association,gray,16.06,Smaers_etal_2017,de Sousa 2010 (extrastriate) / derived — VERIFY,S6?,,,primary_value to be filled from S6?
Cercopithecus ascanius,Other cortical association,white,8.297,Smaers_etal_2017,de Sousa 2010 (extrastriate) / derived — VERIFY,S6?,,,primary_value to be filled from S6?
Cercopithecus ascanius,Frontal motor,gray,1.351,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Cercopithecus ascanius,Frontal motor,white,0.93,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Cercopithecus mitis,Primary visual,gray,4.232,Smaers_etal_2017,"de Sousa et al. 2010, Cereb Cortex (striate, V1)",S6,4.232,0.0,EXACT match (=your de Sousa V1)
Cercopithecus mitis,Primary visual,white,1.042,Smaers_etal_2017,"de Sousa et al. 2010, Cereb Cortex (striate, V1)",S6,,,primary_value to be filled from S6
Cercopithecus mitis,Prefrontal,gray,1.38,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Cercopithecus mitis,Prefrontal,white,0.205,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Cercopithecus mitis,Other cortical association,gray,19.385,Smaers_etal_2017,de Sousa 2010 (extrastriate) / derived — VERIFY,S6?,,,primary_value to be filled from S6?
Cercopithecus mitis,Other cortical association,white,9.911,Smaers_etal_2017,de Sousa 2010 (extrastriate) / derived — VERIFY,S6?,,,primary_value to be filled from S6?
Cercopithecus mitis,Frontal motor,gray,1.852,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Cercopithecus mitis,Frontal motor,white,0.946,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Erythrocebus patas,Prefrontal,gray,1.56,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Erythrocebus patas,Prefrontal,white,0.272,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Erythrocebus patas,Frontal motor,gray,2.552,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Erythrocebus patas,Frontal motor,white,1.848,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Miopithecus talapoin,Primary visual,gray,2.339,Smaers_etal_2017,"de Sousa et al. 2010, Cereb Cortex (striate, V1)",S6,2.339,0.0,EXACT match (=your de Sousa V1)
Miopithecus talapoin,Primary visual,white,0.709,Smaers_etal_2017,"de Sousa et al. 2010, Cereb Cortex (striate, V1)",S6,,,primary_value to be filled from S6
Miopithecus talapoin,Prefrontal,gray,1.018,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Miopithecus talapoin,Prefrontal,white,0.152,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Miopithecus talapoin,Other cortical association,gray,12.218,Smaers_etal_2017,de Sousa 2010 (extrastriate) / derived — VERIFY,S6?,,,primary_value to be filled from S6?
Miopithecus talapoin,Other cortical association,white,4.642,Smaers_etal_2017,de Sousa 2010 (extrastriate) / derived — VERIFY,S6?,,,primary_value to be filled from S6?
Miopithecus talapoin,Frontal motor,gray,0.906,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
Miopithecus talapoin,Frontal motor,white,0.548,Smaers_etal_2017,Smaers 2010 PLoS One + Smaers 2011 BBE,S1;S2,,,primary_value to be filled from S1;S2
