Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,species binomial as printed in Table S1 (spaces -> underscores; trinomials kept e.g. Gorilla_gorilla_gorilla),,Species,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,reconcile to _keys/Stephan/species_key.csv at the compilation step,Smaers et al. 2017 Curr Biol Table S1 'Smaers data' block
primary_visual_gray,primary visual cortex grey matter volume,PrimaryVisualCortex,Volume,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,units printed mm3 but values scale as cm3 (match Smaers 2011); primary visual from de Sousa et al. 2010 [S6],compiled in Smaers 2017 Table S1
prefrontal_gray,prefrontal cortex grey matter volume,PrefrontalCortex,Volume,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,"proxy = cumulative volume of the ANTERIOR 5 of 20 frontal sections (Smaers 2011 Suppl. Table 2); from Smaers 2010 [S1] + 2011 [S2]; cm3",compiled in Smaers 2017 Table S1
other_association_gray,other cortical association areas grey matter volume,AssociationCortex,Volume,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,"defined as neocortex minus frontal lobe minus primary visual (Smaers 2017 Suppl., Data section); cm3",compiled in Smaers 2017 Table S1
frontal_motor_gray,frontal motor areas grey matter volume,FrontalMotor,Volume,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,"proxy = cumulative volume of the POSTERIOR 5 of 20 frontal sections; NOT independently published (Smaers 2011 printed only the anterior part); cm3",compiled in Smaers 2017 Table S1
primary_visual_white,primary visual cortex white matter volume,PrimaryVisualCortex,Volume,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,units printed mm3 but values scale as cm3,compiled in Smaers 2017 Table S1
prefrontal_white,prefrontal cortex white matter volume,PrefrontalCortex,Volume,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,anterior-5-section frontal white proxy; cm3,compiled in Smaers 2017 Table S1
other_association_white,other cortical association areas white matter volume,AssociationCortex,Volume,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,neocortex minus frontal lobe minus primary visual (white); cm3,compiled in Smaers 2017 Table S1
frontal_motor_white,frontal motor areas white matter volume,FrontalMotor,Volume,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,posterior-5-section frontal white proxy; cm3,compiled in Smaers 2017 Table S1
source,source identifier,,Source,,both,Primates,Smaers_etal_2017_TableS1_part1_volumes,compiled from Smaers 2010 [S1] + Smaers 2011 [S2] + de Sousa 2010 [S6]; not newly measured,
Note:frontal_lobe,"prefrontal + frontal motor do NOT sum to the whole frontal lobe: they are the anterior-5 and posterior-5 of 20 frontal sections (the two ends); the ~10 middle sections are in neither, so the sum is ~37% of total frontal-lobe volume. For whole frontal lobe use Smaers_etal_2011 Suppl. Table 1.",,,method,,,Smaers_etal_2017_TableS1_part1_volumes,see primary_source_checks/frontal_lobe_source_and_partition.md,
Note:units,"the supplement labels all volumes mm3; the values are in fact cm3 (they reproduce Smaers 2011 cm3 exactly). Snapshot keeps the printed mm3 label; treat as cm3 downstream.",,,method,,,Smaers_etal_2017_TableS1_part1_volumes,units flag,
