species,group,body_weight_g,brain_weight_mg,total_brain_net_mm3,medulla_oblongata_mm3,cerebellum_mm3,mesencephalon_mm3,diencephalon_mm3,telencephalon_mm3,source
Tupaia glis,Prosimian,150,3150,2959,230,406,261,285,1778,Stephan_etal_1970_Table2
Urogale everetti,Prosimian,275,4280,3997,355,513,307,394,2428,Stephan_etal_1970_Table2
Microcebus murinus,Prosimian,54,1780,1663,82.6,226,70.1,127,1157,Stephan_etal_1970_Table2
Cheirogaleus medius,Prosimian,177,3140,2941,206,401,144,245,1945,Stephan_etal_1970_Table2
Cheirogaleus major,Prosimian,450,6800,6323,370,938,224,482,4309,Stephan_etal_1970_Table2
Lepilemur ruficaudatus,Prosimian,915,7600,7167,433,1107,283,614,4729,Stephan_etal_1970_Table2
Hapalemur simus,Prosimian,1300,9530,8868,485,1419,313,777,5875,Stephan_etal_1970_Table2
Lemur fulvus,Prosimian,1400,23300,22053,802,3411,536,1580,15724,Stephan_etal_1970_Table2
Lemur variegatus,Prosimian,3000,31500,29713,1420,4286,1018,2529,20461,Stephan_etal_1970_Table2
Avahi laniger,Prosimian,860,9670,9075,549,1423,345,875,5882,Stephan_etal_1970_Table2
Propithecus verreauxi,Prosimian,3480,26700,25080,1199,3923,741,2071,17146,Stephan_etal_1970_Table2
Indri indri,Prosimian,6250,38300,36159,1376,5441,972,3101,25269,Stephan_etal_1970_Table2
Daubentonia madagascariensis,Prosimian,2800,45150,42611,1517,6461,897,3539,30196,Stephan_etal_1970_Table2
Loris gracilis,Prosimian,322,6600,6269,233,728,220,538,4551,Stephan_etal_1970_Table2
Nycticebus coucang,Prosimian,800,12500,11755,528,1310,345,1077,8495,Stephan_etal_1970_Table2
Perodicticus potto,Prosimian,1150,14000,13212,680,1699,391,1024,9418,Stephan_etal_1970_Table2
Galago demidovii,Prosimian,81,3380,3203,169,413,135,246,2240,Stephan_etal_1970_Table2
Galago senegalensis,Prosimian,186,4800,4512,254,672,205,382,2997,Stephan_etal_1970_Table2
Galago crassicaudatus,Prosimian,850,10300,9602,477,1361,350,748,6666,Stephan_etal_1970_Table2
Tarsius syrichta,Prosimian,87.5,3630,3416,185,422,171,279,2359,Stephan_etal_1970_Table2
