species,group,bulbus_olfactorius_mm3,palaeocortex_plus_amygdala_mm3,septum_mm3,striatum_mm3,schizocortex_mm3,hippocampus_mm3,neocortex_mm3,source
Tupaia glis,Prosimian,128,256,32.1,133,84.2,138,1007,Stephan_etal_1970_Table5
Urogale everetti,Prosimian,186,362,45.1,199,124,173,1338,Stephan_etal_1970_Table5
Microcebus murinus,Prosimian,40.3,94.5,15.5,94.3,39.4,100,773,Stephan_etal_1970_Table5
Cheirogaleus medius,Prosimian,99.3,181,31.5,146,59.5,175,1252,Stephan_etal_1970_Table5
Cheirogaleus major,Prosimian,155,315,64.1,336,144,332,2963,Stephan_etal_1970_Table5
Lepilemur ruficaudatus,Prosimian,131,287,57.1,388,199,380,3287,Stephan_etal_1970_Table5
Hapalemur simus,Prosimian,79.4,223,62.1,441,214,525,4331,Stephan_etal_1970_Table5
Lemur fulvus,Prosimian,229,638,121,1152,433,709,12442,Stephan_etal_1970_Table5
Lemur variegatus,Prosimian,374,985,206,1591,608,1404,15293,Stephan_etal_1970_Table5
Avahi laniger,Prosimian,80.6,236,78.1,444,206,476,4341,Stephan_etal_1970_Table5
Propithecus verreauxi,Prosimian,168,565,160,1425,395,1044,13389,Stephan_etal_1970_Table5
Indri indri,Prosimian,142,830,223,1755,808,1535,19976,Stephan_etal_1970_Table5
Daubentonia madagascariensis,Prosimian,693,1538,254,2765,1044,1776,22127,Stephan_etal_1970_Table5
Loris gracilis,Prosimian,88.1,256,41.1,351,99.7,191,3524,Stephan_etal_1970_Table5
Nycticebus coucang,Prosimian,164,510,92,760,212,566,6192,Stephan_etal_1970_Table5
Perodicticus potto,Prosimian,312,661,114,712,328,607,6683,Stephan_etal_1970_Table5
Galago demidovii,Prosimian,84.4,181,25.7,169,59.9,152,1568,Stephan_etal_1970_Table5
Galago senegalensis,Prosimian,81.8,163,35.7,210,107,261,2139,Stephan_etal_1970_Table5
Galago crassicaudatus,Prosimian,180,405,70.6,504,178,412,4919,Stephan_etal_1970_Table5
Tarsius syrichta,Prosimian,18.1,95,20.9,133,64.3,138,1890,Stephan_etal_1970_Table5
