"species","group","Body_weight","Brain_weight","Ventricles","Meninges_hypophysis_nerves_etc.","Total_brain_net_volume","Medulla_oblongata","Cerebellum","Mesencephalon","Diencephalon","Telencephalon","source"
"Callithrix jacchus","Simian",280,7600,52,42.9,7241,318,757,295,554,5318,"Stephan_etal_1981_TableIII"
"Cebuella pygmaea","Simian",140,4500,24.5,16.9,4302,201,468,192,342,3099,"Stephan_etal_1981_TableIII"
"Saguinus oedipus","Simian",380,10000,62.6,52.8,9537,413,984,333,754,7052,"Stephan_etal_1981_TableIII"
"Saguinus tamarin","Simian",340,10300,251,122,9569,428,1061,332,692,7055,"Stephan_etal_1981_TableIII"
"Callimico goeldii","Simian",480,11000,47.9,59.5,10510,460,1240,340,739,7733,"Stephan_etal_1981_TableIII"
"Aotus trivirgatus","Simian",830,17100,105,206,16195,686,1873,409,1098,12128,"Stephan_etal_1981_TableIII"
"Callicebus moloch","Simian",900,19000,279,242,17944,787,1622,530,1375,13465,"Stephan_etal_1981_TableIII"
"Pithecia monacha","Simian",1500,35000,631,286,32867,1009,3908,745,2285,24920,"Stephan_etal_1981_TableIII"
"Alouatta sp.","Simian",6400,52000,616,568,49009,1593,5699,986,3344,37388,"Stephan_etal_1981_TableIII"
"Ateles geoffroyi","Simian",8000,108000,1389,1824,101034,1834,12438,1482,5334,79946,"Stephan_etal_1981_TableIII"
"Lagothrix lagotricha","Simian",5200,101000,1090,897,95503,2110,11268,1582,5721,74822,"Stephan_etal_1981_TableIII"
"Cebus sp.","Simian",3100,71000,729,864,66939,1738,7871,1221,3996,52113,"Stephan_etal_1981_TableIII"
"Saimiri sciureus","Simian",660,24000,299,295,22572,722,2260,526,1430,17635,"Stephan_etal_1981_TableIII"
"Macaca mulatta","Simian",7800,93000,834,1038,87896,1992,8965,1380,4480,71080,"Stephan_etal_1981_TableIII"
"Cercocebus albigena","Simian",7900,104000,742,2041,97603,2708,10726,1770,5351,77049,"Stephan_etal_1981_TableIII"
"Papio anubis","Simian",25000,201000,1081,1977,190957,5297,18683,2711,9280,154987,"Stephan_etal_1981_TableIII"
"Cercopithecus mitis","Simian",6300,75000,467,1363,70564,1999,6758,1354,4176,56277,"Stephan_etal_1981_TableIII"
"Cercopithecus ascanius","Simian",3400,67000,240,927,63505,1632,5828,1162,3605,51279,"Stephan_etal_1981_TableIII"
"Cercopithecus talapoin","Simian",1200,40000,262,572,37776,1035,3374,826,2375,30166,"Stephan_etal_1981_TableIII"
"Erythrocebus patas","Simian",7800,108000,561,519,103167,2616,8738,1621,5423,84770,"Stephan_etal_1981_TableIII"
"Pygathrix nemaeus","Simian",7500,77000,911,883,72530,2206,8063,1345,4727,56189,"Stephan_etal_1981_TableIII"
"Nasalis larvatus","Simian",14000,97000,591,241,92797,2945,12113,1556,5310,70873,"Stephan_etal_1981_TableIII"
"Colobus badius","Simian",7000,78000,455,1016,73818,2007,8648,1333,3945,57885,"Stephan_etal_1981_TableIII"
"Hylobates lar","Simian",5700,102000,555,395,97505,2251,12078,1459,5716,76001,"Stephan_etal_1981_TableIII"
"Pan troglodytes","Simian",46000,405000,1899,6924,382103,5817,43663,3739,15392,313493,"Stephan_etal_1981_TableIII"
"Gorilla gorilla","Simian",105000,500000,3608,8659,470359,7509,69249,4352,19370,369878,"Stephan_etal_1981_TableIII"
"Homo sapiens sapiens","Simian",65000,1330000,18732,13205,1251847,9622,137421,8087,33319,1063399,"Stephan_etal_1981_TableIII"
