"species","group","Epithalamus","Thalamus","Hypothalamus","Subthalamus","Pallidum","Nucleus_subthalamicus","Capsula_interna","Tractus_opticus","source"
"Tupaia glis","Prosimian",1.98,153,47.5,18.6,17.2,1.39,24.6,39.3,"Stephan_etal_1981_TableVIII"
"Cheirogaleus major","Prosimian",4.83,271,101,33.8,31.6,2.27,48.6,18,"Stephan_etal_1981_TableVIII"
"Microcebus murinus","Prosimian",1.44,78.3,29.8,11.4,10.7,0.65,9.08,6.17,"Stephan_etal_1981_TableVIII"
"Lepilemur ruficaudatus","Prosimian",4.89,337,114,58.1,55.2,2.91,63,20.7,"Stephan_etal_1981_TableVIII"
"Lemur fulvus","Prosimian",12.2,1028,239,225,212,13.9,248,108,"Stephan_etal_1981_TableVIII"
"Avahi laniger occidentalis","Prosimian",6.52,489,137,80.5,74.5,5.94,105,38.3,"Stephan_etal_1981_TableVIII"
"Propithecus verreauxi","Prosimian",14.6,1341,328,283,263,20,324,125,"Stephan_etal_1981_TableVIII"
"Loris tardigradus","Prosimian",3.21,348,80.9,45.2,41.4,3.79,46.3,15.7,"Stephan_etal_1981_TableVIII"
"Perodicticus potto","Prosimian",10.4,587,160,116,107,8.19,107,19.5,"Stephan_etal_1981_TableVIII"
"Galago crassicaudatus","Prosimian",5.71,437,127,67.4,63.3,4.1,74.6,33.9,"Stephan_etal_1981_TableVIII"
"Galago demidovii","Prosimian",2.09,153,45.1,18.3,17,1.4,18.4,11.5,"Stephan_etal_1981_TableVIII"
"Tarsius sp.","Prosimian",2.53,175,42.5,17.1,16.1,1.09,16.7,15.5,"Stephan_etal_1981_TableVIII"
"Cebuella pygmaea","Simian",3.68,190,69.2,27.7,25.8,1.95,21.8,23.8,"Stephan_etal_1981_TableVIII"
"Saguinus oedipus","Simian",4.93,410,152,77.6,73.2,4.45,62.7,50.5,"Stephan_etal_1981_TableVIII"
"Ateles geoffroyi","Simian",30.5,2930,629,860,807,52.8,570,204,"Stephan_etal_1981_TableVIII"
"Lagothrix lagotricha","Simian",31,2959,624,909,845,63.8,612,203,"Stephan_etal_1981_TableVIII"
"Cebus sp.","Simian",23.7,2163,418,609,567,41.7,549,207,"Stephan_etal_1981_TableVIII"
"Saimiri sciureus","Simian",8.86,731,207,180,169,11.5,132,117,"Stephan_etal_1981_TableVIII"
"Cercocebus albigena","Simian",27.9,2933,681,726,674,52.4,708,308,"Stephan_etal_1981_TableVIII"
"Papio anubis","Simian",65.4,4788,1076,1241,1147,94.7,1257,601,"Stephan_etal_1981_TableVIII"
"Cercopithecus ascanius","Simian",17.9,1916,410,431,405,25.7,421,320,"Stephan_etal_1981_TableVIII"
"Nasalis larvatus","Simian",29.6,3036,671,587,550,37.2,564,304,"Stephan_etal_1981_TableVIII"
"Colobus badius","Simian",22.3,2164,484,553,521,31.9,460,201,"Stephan_etal_1981_TableVIII"
"Hylobates lar","Simian",31.2,3226,629,777,715,61.6,693,302,"Stephan_etal_1981_TableVIII"
"Pan troglodytes","Simian",53.6,7987,1739,2078,1951,127,2510,630,"Stephan_etal_1981_TableVIII"
"Gorilla gorilla","Simian",106,10547,2215,2782,2604,178,2471,671,"Stephan_etal_1981_TableVIII"
"Homo sapiens sapiens","Simian",133,18222,3555,5180,4711,469,7008,823,"Stephan_etal_1981_TableVIII"
