"species","group","Complexus_vestibularis_unilateral","Nucleus_vestibularis_superior_unilateral","Nucleus_vestibularis_lateralis_unilateral","Nucleus_vestibularis_medialis_unilateral","Nucleus_vestibularis_descendens_unilateral","source"
"Tupaia glis","Prosimian",10.1,2.16,2.07,3.27,2.62,"Stephan_etal_1981_TableXIII"
"Cheirogaleus major","Prosimian",11.1,1.86,1.78,4.18,3.27,"Stephan_etal_1981_TableXIII"
"Microcebus murinus","Prosimian",4.02,0.679,0.76,1.5,1.08,"Stephan_etal_1981_TableXIII"
"Lepilemur ruficaudatus","Prosimian",14.9,2.11,2.38,5.92,4.47,"Stephan_etal_1981_TableXIII"
"Lemur fulvus","Prosimian",31.1,6.22,5.9,9.75,9.27,"Stephan_etal_1981_TableXIII"
"Avahi laniger occidentalis","Prosimian",18.1,3.1,3.32,6.86,4.81,"Stephan_etal_1981_TableXIII"
"Propithecus verreauxi","Prosimian",43.2,8.18,7.37,15.3,12.4,"Stephan_etal_1981_TableXIII"
"Loris tardigradus","Prosimian",8.45,1.61,1.22,3.55,2.08,"Stephan_etal_1981_TableXIII"
"Perodicticus potto","Prosimian",17.3,2.86,2.66,7.87,3.88,"Stephan_etal_1981_TableXIII"
"Galago crassicaudatus","Prosimian",19.9,2.85,2.87,7.16,7.01,"Stephan_etal_1981_TableXIII"
"Galago demidovii","Prosimian",6.65,1.02,1.01,2.72,1.9,"Stephan_etal_1981_TableXIII"
"Tarsius sp.","Prosimian",7.69,0.759,1.16,3.36,2.41,"Stephan_etal_1981_TableXIII"
"Cebuella pygmaea","Simian",11.1,2.1,2.94,4.11,1.96,"Stephan_etal_1981_TableXIII"
"Saguinus oedipus","Simian",18.4,2.98,3.63,7.25,4.49,"Stephan_etal_1981_TableXIII"
"Ateles geoffroyi","Simian",49.7,7.2,6.81,23.8,11.9,"Stephan_etal_1981_TableXIII"
"Lagothrix lagotricha","Simian",53,9.07,6.94,23,14.1,"Stephan_etal_1981_TableXIII"
"Cebus sp.","Simian",50.2,11.2,7.45,19.2,12.3,"Stephan_etal_1981_TableXIII"
"Saimiri sciureus","Simian",29.4,4.43,6.26,11.4,7.31,"Stephan_etal_1981_TableXIII"
"Cercocebus albigena","Simian",87.1,16.2,10,35.6,25.2,"Stephan_etal_1981_TableXIII"
"Papio anubis","Simian",107,14.4,10.5,48.1,33.9,"Stephan_etal_1981_TableXIII"
"Cercopithecus ascanius","Simian",52,8.21,5.88,20.8,17.2,"Stephan_etal_1981_TableXIII"
"Nasalis larvatus","Simian",86.2,12.6,14.8,33.6,25.2,"Stephan_etal_1981_TableXIII"
"Colobus badius","Simian",57.3,8.68,10,24.1,14.5,"Stephan_etal_1981_TableXIII"
"Hylobates lar","Simian",59.3,14.9,5.53,24.5,14.5,"Stephan_etal_1981_TableXIII"
"Pan troglodytes","Simian",118,23.5,9.65,54.7,29.8,"Stephan_etal_1981_TableXIII"
"Gorilla gorilla","Simian",136,34.7,19.5,58.4,23.6,"Stephan_etal_1981_TableXIII"
"Homo sapiens sapiens","Simian",177,35.8,22.4,72.8,45.9,"Stephan_etal_1981_TableXIII"
