species,telencephalon_total,comp_sum,abs_diff,pct_diff
Solenodon paradoxus,2486,2587.6180000000004,101.61800000000039,4.087610619469042
Tenrec ecaudatus,1407,1407.215,0.21499999999991815,0.015280739161330359
Setifer setosus,903,903.234,0.2340000000000373,0.0259136212624626
Hemicentetes semispinosus,438,438.89599999999996,0.8959999999999582,0.20456621004565254
Echinops telfairi,335,334.049,-0.9510000000000218,-0.2838805970149319
Oryzorictes talpoides,332,331.82,-0.18000000000000682,-0.05421686746988157
Microgale cowani,248,247.642,-0.3580000000000041,-0.14435483870967908
Limnogale mergulus,518,518.623,0.6230000000000473,0.1202702702702794
Nesogale dobsoni,326,326.158,0.15800000000001546,0.0484662576687164
Nesogale talazaci,472,471.86899999999997,-0.13100000000002865,-0.027754237288141664
Micropotamogale lamottei,404,403.6605,-0.3394999999999868,-0.08403465346534326
Potamogale velox,1964,1964.71,0.7100000000000364,0.03615071283095908
Chlorotalpa stuhlmanni,457,456.10400000000004,-0.8959999999999582,-0.19606126914659916
Chrysochloris asiatica,430,430.23199999999997,0.2319999999999709,0.05395348837208625
Aethechinus algirus,1766,1764.83,-1.1700000000000728,-0.0662514156285432
Erinaceus europaeus,1931,1930.64,-0.35999999999989996,-0.01864319005696012
Hemiechinus auritus,1073,1072.5500000000002,-0.4499999999998181,-0.04193849021433533
Elephantulus fuscipes,700,701.062,1.0620000000000118,0.1517142857142874
Rhynchocyon stuhlmanni,3328,3326.166,-1.8339999999998327,-0.05510817307691805
Sorex minutus,60.7,60.730199999999996,0.030199999999993565,0.04975288303129088
Sorex araneus,116,116.00760000000002,0.00760000000002492,0.0065517241379525176
Neomys fodiens,175,175.521,0.5209999999999866,0.29771428571427805
Crocidura occidentalis,241,240.86100000000002,-0.13899999999998158,-0.0576763485477102
Crocidura russula,106,105.8031,-0.1968999999999994,-0.18575471698113152
Suncus murinus,209,208.78199999999998,-0.21800000000001774,-0.10430622009570227
Talpa europaea,554,554.491,0.49099999999998545,0.08862815884476272
Desmana moschata,2140,2138.818,-1.181999999999789,-0.05523364485980323
Galemys pyrenaicus,733,733.606,0.6059999999999945,0.08267394270122709
Tupaia glis,1873,1872.4099999999999,-0.5900000000001455,-0.03150026695142261
Tupaia minor,1449,1449.58,0.5799999999999272,0.04002760524499153
Urogale everetti,2428,2427.2,-0.8000000000001819,-0.0329489291598098
