Species,Amygdala_current,Amygdala_current_source,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Code_number_Stephan1981,Species_Stephan1981,Number_of_individuals_1_to_18,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,Number_of_individuals_19_to_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Number_of_individuals_27_to_28,Area_striata,Corpus_geniculatum_laterale,Number_of_individuals_29_to_34,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,Nucleus_amygdalae_basalis_pars_magnocellularis,Number_of_individuals_35_to_39,Complexus_vestibularis,Nucleus_vestibularis_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens,Number_of_individuals_40_to_44,Nucleus_septalis_triangularis,Corpus_subfornicale,Nucleus_habenularis_medialis,Corpus_pineal,Corpus_subcommissurale
AAAA_Anatomy_code,,,,,,,,,1N,1,2,3,4,5_(=6-10),6,7,8,9,10_(=11-18),11,12,13,14,15,16,17,18,19N,19,20,21,22_(=23+24),23,24,25,26,27N,27,28,29N,29,30_(=31+33),31,32,33,34,35N,35_(=36-39),36,37,38,39,40N,40,41,42,43,44
AAAA_Reference,ALL,ALL,ALL,ALL,ALL,ALL,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981
Alouatta caraya,,,,,6420,Bauernfeind_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alouatta seniculus,426,Stephan_1987,1918,deSousa_2010,"6,400",Stephan_1981,179,Alouatta sp.,2,"6,400","52,000",616,568,"49,009","1,593","5,699",986,"3,344",37388,41.4,0.595,827,200,"2,829",510,"1,320","31,660",,,,,,,,,,1,2374,85.7,1,488,413,94.9,0,318,30.7,,,,,,,1,1.72,0.372,3.3,0.254,0.402
Aotus trivirgatus,193.6,Stephan_1987,996,deSousa_2010,830,Stephan_1981,171,Aotus trivirgatus,5,830,"17,100",105,206,"16,195",686,"1,873",409,"1,098","12,128",56,0.222,394,83.8,862,243,539,"9,950",,,,,,,,,,1,1144,36,1,203,201,54.5,0.201,147,15.7,,,,,,,1,0.964,0.162,3.21,1.55,0.14
Atelerix algirus,101.3,Stephan_1987,,,790,Stephan_1981,21,Aethechinus algirus,3,790,"3,200",121,109,"2,859",336,358,153,246,"1,766",285,1.93,459,42.9,140,109,227,500,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.18,0.0621,0.93,0.297,0.0222
Ateles geoffroyi,868.8,Stephan_1987,3753,deSousa_2010,"8,000",Stephan_1981,184,Ateles geoffroyi,1,"8,000","108,000","1,389","1,824","101,034","1,834","12,438","1,482","5,334","79,946",90.4,2.19,"1,625",324,"4,950",732,"1,366","70,856",1,30.5,"2,930",629,860,807,52.8,570,204,1,4738,151,,,,,,,,1,49.7,7.2,6.81,23.8,11.9,2,3.18,0.443,7.29,3.1,0.608
Avahi laniger,113.2,Stephan_1987,475,Frahm_1984,"1,285",Stephan_1981,130,Avahi l. laniger,2,"1,285","10,490",172,156,"9,798",553,"1,489",343,862,"6,550",89.2,3.01,284,69.7,524,241,526,"4,813",,,,,,,,,,1,537,27.4,,,,,,,,,,,,,,1,1.29,0.116,2.21,0.7,0.14
Avahi occidentalis,121.1,Stephan_1987,450,Frahm_1984,860,Stephan_1981,131,Avahi laniger occidentalis,2,860,"9,670",73.7,137,"9,124",508,"1,383",345,861,"6,026",70.1,2.55,265,69.3,478,222,476,"4,443",2,6.52,489,137,80.5,74.5,5.94,105,38.3,1,485,27.2,,,,,,,,2,18.1,3.1,3.32,6.86,4.81,1,0.988,0.188,2.04,0.652,0.0942
Blarina brevicauda,10.9,Stephan_1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
