"species","group","Body_weight","Brain_weight","Ventricles","Meninges_hypophysis_nerves_etc.","Total_brain_net_volume","Medulla_oblongata","Cerebellum","Mesencephalon","Diencephalon","Telencephalon","source"
"Tupaia glis","Prosimian",170,3200,38.2,51.4,2999,219,376,256,275,1873,"Stephan_etal_1981_TableII"
"Tupaia minor","Prosimian",70,2580,22.2,37.8,2430,173,308,249,251,1449,"Stephan_etal_1981_TableII"
"Urogale everetti","Prosimian",275,4280,38.9,95.8,3997,355,513,307,394,2428,"Stephan_etal_1981_TableII"
"Cheirogaleus major","Prosimian",450,6800,83.4,108,6373,382,947,241,489,4314,"Stephan_etal_1981_TableII"
"Cheirogaleus medius","Prosimian",177,3140,24.6,45.2,2961,202,437,145,235,1941,"Stephan_etal_1981_TableII"
"Microcebus murinus","Prosimian",54,1780,11.3,26.6,1680,99.1,234,85.2,134,1129,"Stephan_etal_1981_TableII"
"Lepilemur ruficaudatus","Prosimian",915,7600,76.5,84.1,7175,449,1165,260,593,4708,"Stephan_etal_1981_TableII"
"Lemur fulvus","Prosimian",1400,23300,194,190,22106,909,3328,590,1713,15566,"Stephan_etal_1981_TableII"
"Lemur variegatus","Prosimian",3000,31500,299,393,29713,1420,4286,1018,2529,20461,"Stephan_etal_1981_TableII"
"Avahi l. laniger","Prosimian",1285,10490,172,156,9798,553,1489,343,862,6550,"Stephan_etal_1981_TableII"
"Avahi laniger occidentalis","Prosimian",860,9670,73.7,137,9124,508,1383,345,861,6026,"Stephan_etal_1981_TableII"
"Propithecus verreauxi","Prosimian",3480,26700,231,347,25194,1223,3957,780,2195,17040,"Stephan_etal_1981_TableII"
"Indri indri","Prosimian",6250,38300,330,354,36285,1342,5504,978,2911,25551,"Stephan_etal_1981_TableII"
"Daubentonia madagascar.","Prosimian",2800,45150,392,578,42611,1517,6461,897,3539,30196,"Stephan_etal_1981_TableII"
"Loris tardigradus","Prosimian",322,6600,51.6,50.4,6269,233,728,220,538,4551,"Stephan_etal_1981_TableII"
"Nycticebus coucang","Prosimian",800,12500,142,169,11755,528,1310,345,1077,8495,"Stephan_etal_1981_TableII"
"Perodicticus potto","Prosimian",1150,14000,127,174,13212,680,1699,391,1024,9418,"Stephan_etal_1981_TableII"
"Galago crassicaudatus","Prosimian",850,10300,147,128,9668,540,1414,384,785,6545,"Stephan_etal_1981_TableII"
"Galago demidovii","Prosimian",81,3380,30.4,28.8,3203,169,413,135,246,2240,"Stephan_etal_1981_TableII"
"Galago senegalensis","Prosimian",186,4800,40.2,81.4,4512,254,672,205,382,2997,"Stephan_etal_1981_TableII"
"Tarsius sp.","Prosimian",125,3600,24.1,58,3393,207,428,197,303,2258,"Stephan_etal_1981_TableII"
