Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Code_number_Stephan1981,species code (taxonomic order) in the Stephan/Frahm/Baron system,,,info,,,Stephan_etal_1981_TablesI-VI,,
Species,"species name as printed in Stephan, Frahm & Baron 1981",,,info,,,Stephan_etal_1981_TablesI-VI,,
Body_weight,body weight,Body_weight,Mass.g,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 1,
Brain_weight,fresh brain weight,Brain_weight,Mass.mg,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 2,
Ventricles,ventricular system,Ventricles,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 3,
Meninges_hypophysis_nerves_etc,"meninges, hypophysis, nerves etc.",Meninges_hypophysis_nerves_etc,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 4,
Total_brain_net_volume,net brain volume (= sum of codes 6-10; excludes ventricles and code-4 non-brain tissues),Total_brain_net_volume,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 5; not interchangeable with a generic whole-brain volume,Table I-III footnote 5
Medulla_oblongata,medulla oblongata including the inseparable substantia reticularis assigned from the mesencephalon,Medulla_oblongata,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 6,Table I-III footnote 6
Cerebellum,cerebellum including brachium and nuclei pontis,Cerebellum,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 7; does not make a separately tabulated pons/VPo an alias,Table I-III footnote 7
Mesencephalon,mesencephalon without substantia reticularis (the inseparable reticular portion is assigned to medulla oblongata),Mesencephalon,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 8,Table I-III footnotes 6 and 8
Diencephalon,diencephalon including pallidum and excluding hypophysis,Diencephalon,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 9; hypophysis is assigned to code 4,Table I-III footnote 9
Telencephalon,telencephalon,Telencephalon,Vol.mm3,,primary,"Insectivora, Scandentia & Primates",Stephan_etal_1981_TablesI-VI,Stephan code 10,
