"grade","family","Species_Stephan1982","former_name_ref","former_name","n_note","n","AOB_volume_mm3","SEM_pct","size_index","permille_net_brain","permille_MOB","AOB_layer_1_2_mm3","AOB_layer_3_5_mm3","AOB_layer_6_mm3","pct_AOB_1_2","pct_AOB_3_5","pct_AOB_6","size_index_1_2","size_index_3_5","size_index_6"
"Basal Insectivora","Tenrecinae","Tenrec ecaudatus",NA,NA,NA,2,0.715,5.4,70,0.31,2.3,0.385,0.213,0.117,53.8,29.8,16.4,101,49,67
"Basal Insectivora","Tenrecinae","Setifer setosus",NA,NA,NA,2,0.534,15.7,105,0.38,2.6,0.271,0.181,0.082,50.7,33.9,15.4,142,82,94
"Basal Insectivora","Tenrecinae","Hemicentetes semisp.",NA,NA,NA,1,0.196,NA,61,0.26,2.1,0.087,0.098,0.011,44.4,50,5.6,72,71,20
"Basal Insectivora","Tenrecinae","Echinops telfairi",NA,NA,"*",2,0.249,17.7,88,0.44,3.5,0.111,0.105,0.033,44.6,42.2,13.3,105,87,69
"Basal Insectivora","Erinaceidae","Erinaceus algirus","1","Aethechinus algirus",NA,2,1.934,8.4,196,0.68,6.8,0.676,0.75,0.508,35,38.8,26.3,183,176,301
"Basal Insectivora","Erinaceidae","Erinaceus europaeus",NA,NA,"*",2,1.943,5.4,187,0.64,5.9,0.634,0.932,0.377,32.6,48,19.4,163,209,213
"Basal Insectivora","Erinaceidae","Hemiechinus auritus",NA,NA,NA,3,1.346,6.2,262,0.79,7.7,0.429,0.618,0.299,31.9,45.9,22.2,224,280,341
"Basal Insectivora","Soricidae","Sorex araneus",NA,NA,"*",2,0.078,19.3,94,0.41,5,0.022,0.036,0.02,28.2,46.2,25.6,71,100,141
"Basal Insectivora","Soricidae","Sorex minutus",NA,NA,NA,1,0.02,NA,35,0.19,2.3,0.006,0.01,0.004,30,50,20,28,41,41
"Basal Insectivora","Soricidae","Crocidura flavesc.","2","Crocidura occidentalis",NA,2,0.221,12.1,150,0.54,5.9,0.085,0.095,0.041,38.5,43,18.6,154,150,163
"Basal Insectivora","Soricidae","Crocidura russula",NA,NA,"*",2,0.043,18.7,50,0.24,2.6,0.012,0.024,0.007,27.9,55.8,16.3,37,65,47
"Basal Insectivora","Soricidae","Suncus murinus",NA,NA,NA,1,0.182,NA,108,0.51,5.3,0.076,0.072,0.034,41.8,39.6,18.7,120,99,118
"Progressive Insectivora",NA,"Solenodon paradoxus",NA,NA,"*",2,0.218,32.7,20,0.05,0.5,0.051,0.146,0.021,23.4,67,9.6,13,32,12
"Progressive Insectivora",NA,"Oryzorictes talpoid.",NA,NA,NA,1,0.12,NA,63,0.22,2.6,0.037,0.076,0.007,30.8,63.3,5.8,52,92,21
"Progressive Insectivora",NA,"Microgale cowani",NA,NA,NA,1,0.162,NA,156,0.41,4.5,0.048,0.082,0.032,29.6,50.6,19.8,123,183,180
"Progressive Insectivora",NA,"Microgale dobsoni","3","Nesogale dobsoni",NA,2,0.178,10.5,111,0.35,3.3,0.059,0.1,0.019,33.1,56.2,10.7,98,145,69
"Progressive Insectivora",NA,"Microgale talazaci","4","Nesogale talazaci",NA,1,0.369,NA,179,0.5,5,0.102,0.183,0.084,27.6,49.6,22.8,132,207,239
"Progressive Insectivora",NA,"Limnogale mergulus",NA,NA,NA,1,0.323,NA,111,0.31,7.5,0.08,0.165,0.078,24.8,51.1,24.1,74,132,157
"Progressive Insectivora",NA,"Potamogale velox",NA,NA,NA,2,2.307,18,258,0.59,26.8,1.251,0.735,0.321,54.2,31.9,13.9,375,192,211
"Progressive Insectivora",NA,"Micropotamogale lam.",NA,NA,NA,1,0.061,NA,26,0.08,1.8,0.024,0.032,0.005,39.3,52.5,8.2,27,31,12
"Progressive Insectivora",NA,"Chrysochloris asiat.",NA,NA,NA,1,0.132,NA,65,0.2,2.3,0.037,0.078,0.017,28,59.1,12.9,49,90,49
"Progressive Insectivora",NA,"Chrysochl. stuhlm.","5","Chlorotalpa stuhlmanni","*",2,0.204,13.8,113,0.29,3.4,0.067,0.109,0.028,32.8,53.4,13.7,100,141,91
"Progressive Insectivora",NA,"Neomys fodiens",NA,NA,NA,2,0.101,27.7,97,0.34,6.4,0.034,0.049,0.018,33.7,48.5,17.8,87,110,101
"Progressive Insectivora",NA,"Desmana moschata",NA,NA,NA,1,0.218,NA,31,0.06,1.5,0.096,0.092,0.03,44,42.2,13.8,36,30,25
"Progressive Insectivora",NA,"Galemys pyrenaicus",NA,NA,NA,2,0.206,2.4,93,0.17,5.3,0.05,0.128,0.028,24.3,62.1,13.6,60,134,74
"Progressive Insectivora",NA,"Talpa europaea",NA,NA,"*",2,0.291,31.8,112,0.3,4.9,0.087,0.137,0.067,29.9,47.1,23,89,122,151
"Macroscelidea",NA,"Elephantulus fuscip.",NA,NA,NA,2,0.662,9.8,300,0.54,10.5,0.142,0.341,0.179,21.5,51.5,27,172,359,475
"Macroscelidea",NA,"Rhynchocyon cirnei","6","Rhynchocyon stuhlmanni",NA,2,0.666,6.5,88,0.12,1.6,0.222,0.354,0.09,33.3,53.2,13.5,79,109,70
"Scandentia",NA,"Tupaia glis",NA,NA,"*",5,2.408,17.1,585,0.8,18.3,0.974,0.832,0.602,40.4,34.6,25,632,470,856
"Scandentia",NA,"Urogale everetti",NA,NA,NA,1,2.098,NA,387,0.53,11.4,0.816,0.917,0.365,38.9,43.7,17.4,403,394,395
"Prosimians","Cheirogaleidae","Microcebus murinus",NA,NA,"*",6,1.623,15.8,757,0.97,37.7,0.498,0.655,0.47,30.7,40.4,29,622,711,1285
"Prosimians","Cheirogaleidae","Cheirogaleus major",NA,NA,NA,2,4.043,13.9,563,0.63,25.6,1.39,1.578,1.075,34.4,39,26.6,518,512,878
"Prosimians","Cheirogaleidae","Cheirogaleus medius",NA,NA,NA,2,2.663,5.9,632,0.9,26.1,0.844,1.023,0.796,31.7,38.4,29.9,536,565,1106
"Prosimians","Lemuridae","Lemur albifrons","7","Lemur fulvus",NA,3,3.211,12.6,234,0.14,15.5,0.769,1.318,1.124,23.9,41,35,150,224,481
"Prosimians","Lemuridae","Varecia variegata","8","Lemur variegatus",NA,1,5.267,NA,249,0.18,14.3,1.468,2.195,1.604,27.9,41.7,30.5,186,241,444
"Prosimians","Lemuridae","Lepilemur ruficaud.",NA,NA,NA,3,2.722,16.6,253,0.38,24.1,0.833,1.309,0.58,30.6,48.1,21.3,207,283,316
"Prosimians","Indriidae","Avahi laniger lan.",NA,NA,NA,2,3.013,3.7,231,0.31,33.8,0.816,1.489,0.708,27.1,49.4,23.5,167,265,318
"Prosimians","Indriidae","Avahi laniger occ.",NA,NA,"*",2,2.553,19.3,246,0.28,36.4,0.828,1.244,0.481,32.4,48.7,18.8,213,279,271
"Prosimians","Indriidae","Propithecus verreau.",NA,NA,"*",2,3.399,3.2,148,0.14,23.1,1.265,1.409,0.725,37.2,41.5,21.3,147,142,184
"Prosimians","Indriidae","Indri indri",NA,NA,"*",2,2.317,27.6,72,0.06,13.8,0.79,1.219,0.308,34.1,52.6,13.3,66,88,56
"Prosimians","Daubentoniidae","Daubentonia madagas.",NA,NA,NA,1,8.311,NA,409,0.2,12.1,2.945,3.469,1.897,35.4,41.7,22.8,387,397,546
"Prosimians","Lorisidae","Loris tardigradus",NA,NA,NA,1,2.3,NA,388,0.37,26.8,0.652,0.795,0.853,28.3,34.6,37.1,294,312,843
"Prosimians","Lorisidae","Nycticebus coucang",NA,NA,NA,1,4.276,NA,429,0.36,26.9,1.305,1.625,1.346,30.5,38,31.5,350,380,792
"Prosimians","Lorisidae","Perodicticus potto",NA,NA,NA,2,2.735,21,223,0.21,8.8,0.695,1.358,0.682,25.4,49.7,24.9,152,258,326
"Prosimians","Lorisidae","Galago senegalensis",NA,NA,NA,1,2.577,NA,594,0.57,32.5,0.685,1.204,0.688,26.6,46.7,26.7,423,646,929
"Prosimians","Lorisidae","Otolemur crassic.","9","Galago crassicaudatus",NA,2,2.518,7.2,244,0.26,15.2,0.647,1.147,0.724,25.7,45.6,28.8,168,259,411
"Prosimians","Lorisidae","Galagoides demid.","10","Galago demidovii","*",2,1.259,17.2,466,0.39,15.2,0.247,0.518,0.494,19.6,41.1,39.2,245,446,1072
"Prosimians","Tarsiidae","Tarsius sp.",NA,NA,NA,2,0.82,0.6,237,0.24,43.6,0.275,0.391,0.154,33.5,47.7,18.8,213,263,261
"Simians",NA,"Callithrix jacchus",NA,NA,NA,3,0.326,38.9,60,0.04,14.3,0.111,0.165,0.05,34,50.6,15.3,54,70,53
"Simians",NA,"Cebuella pygmaea",NA,NA,NA,2,0.386,17.4,105,0.09,31.4,0.128,0.211,0.047,33.2,54.7,12.2,93,133,75
"Simians",NA,"Saguinus midas","11","Saguinus tamarin","*",2,0.29,6.3,47,0.03,16.8,0.116,0.132,0.042,40,45.5,14.5,51,50,40
"Simians",NA,"Saguinus oedipus",NA,NA,NA,2,0.406,50.2,62,0.04,21.3,0.168,0.188,0.05,41.4,46.3,12.3,69,67,45
"Simians",NA,"Callimico goeldii",NA,NA,NA,1,0.512,NA,69,0.05,19,0.166,0.312,0.034,32.4,60.9,6.6,60,97,27
"Simians",NA,"Cebus sp.",NA,NA,"*",2,0.667,7.7,31,0.01,16.7,0.323,0.277,0.067,48.4,41.5,10,40,30,18
"Simians",NA,"Aotus trivirgatus",NA,NA,NA,3,0.222,82,22,0.01,4,0.086,0.126,0.01,38.7,56.8,4.5,23,29,6
"Simians",NA,"Callicebus moloch",NA,NA,"*",2,0.325,4.4,31,0.02,16.9,0.09,0.216,0.019,27.7,66.5,5.8,23,47,10
"Simians",NA,"Saimiri sciureus",NA,NA,NA,1,0.985,NA,110,0.04,36.8,0.429,0.452,0.104,43.6,45.9,10.6,129,118,68
"Simians",NA,"Pithecia monachus",NA,NA,NA,2,0.846,25.7,59,0.03,24.3,0.279,0.456,0.111,33,53.9,13.1,52,74,46
"Simians",NA,"Alouatta sp.",NA,NA,NA,2,0.595,63,18,0.01,14.4,0.19,0.356,0.049,31.9,59.8,8.2,16,25,9
"Simians",NA,"Ateles geoffroyi",NA,NA,NA,1,2.189,NA,59,0.02,24.2,0.85,0.969,0.37,38.8,44.3,16.9,61,61,59
"Simians",NA,"Lagothrix lagothr.",NA,NA,NA,3,1.429,46.1,49,0.01,19.5,0.543,0.691,0.195,38,48.4,13.6,50,56,39
