status,species_key,species_snapshot,species_csv,n_measure_mismatch,AOB_volume_snap,AOB_layer_1_2_snap,AOB_layer_3_5_snap,AOB_layer_6_snap,n_snap,AOB_volume_csv,AOB_layer_1_2_csv,AOB_layer_3_5_csv,AOB_layer_6_csv,n_csv,AOB_volume_match,AOB_layer_1_2_match,AOB_layer_3_5_match,AOB_layer_6_match,n_match
csv_only_not_in_snapshot,alouatta seniculus,NA,Alouatta seniculus,5,NA,NA,NA,NA,NA,0.595,0.19,0.356,0.049,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,alouatta sp,Alouatta sp.,NA,5,0.595,0.19,0.356,0.049,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,atelerix algirus,NA,Atelerix algirus,5,NA,NA,NA,NA,NA,1.934,0.6759999999999999,0.75,0.508,2,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,avahi laniger,NA,Avahi laniger,5,NA,NA,NA,NA,NA,3.013,0.8160000000000001,1.4889999999999999,0.708,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger lan,Avahi laniger lan.,NA,5,3.013,0.816,1.4889999999999999,0.708,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,avahi laniger occ,Avahi laniger occ.,NA,5,2.553,0.8280000000000001,1.244,0.48100000000000004,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,avahi occidentalis,NA,Avahi occidentalis,5,NA,NA,NA,NA,NA,2.553,0.8280000000000001,1.244,0.48100000000000004,2,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,callithrix pygmaea,NA,Callithrix pygmaea,5,NA,NA,NA,NA,NA,0.386,0.128,0.21100000000000002,0.047,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,cebuella pygmaea,Cebuella pygmaea,NA,5,0.386,0.128,0.21100000000000002,0.047,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,cebus albifrons,NA,Cebus albifrons,5,NA,NA,NA,NA,NA,0.6669999999999999,0.323,0.277,0.067,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,cebus sp,Cebus sp.,NA,5,0.6669999999999999,0.323,0.277,0.067,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,chrysochl stuhlm,Chrysochl. stuhlm.,NA,5,0.20400000000000001,0.067,0.109,0.028,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,chrysochloris asiat,Chrysochloris asiat.,NA,5,0.132,0.037,0.07800000000000001,0.017,1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,chrysochloris asiatica,NA,Chrysochloris asiatica,5,NA,NA,NA,NA,NA,0.132,0.037,0.07800000000000001,0.017,1,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,chrysochloris stuhlmanni,NA,Chrysochloris stuhlmanni,5,NA,NA,NA,NA,NA,0.20400000000000001,0.067,0.109,0.028,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,crocidura flavesc,Crocidura flavesc.,NA,5,0.221,0.08500000000000002,0.095,0.041,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,crocidura flavescens,NA,Crocidura flavescens,5,NA,NA,NA,NA,NA,0.221,0.085,0.095,0.041,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,daubentonia madagas,Daubentonia madagas.,NA,5,8.311,2.945,3.469,1.897,1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,daubentonia madagascariensis,NA,Daubentonia madagascariensis,5,NA,NA,NA,NA,NA,8.311,2.945,3.469,1.897,1,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,elephantulus fuscip,Elephantulus fuscip.,NA,5,0.6619999999999999,0.14200000000000002,0.34099999999999997,0.17900000000000002,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,elephantulus fuscipes,NA,Elephantulus fuscipes,5,NA,NA,NA,NA,NA,0.6619999999999999,0.14200000000000002,0.34099999999999997,0.17900000000000002,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,erinaceus algirus,Erinaceus algirus,NA,5,1.934,0.6759999999999999,0.75,0.508,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,eulemur fulvus,NA,Eulemur fulvus,5,NA,NA,NA,NA,NA,3.211,0.769,1.318,1.124,3,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,galagoides demid,Galagoides demid.,NA,5,1.259,0.24700000000000003,0.518,0.494,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,galagoides demidoff,NA,Galagoides demidoff,5,NA,NA,NA,NA,NA,1.259,0.24700000000000003,0.518,0.494,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,hemicentetes semisp,Hemicentetes semisp.,NA,5,0.196,0.08699999999999998,0.098,0.011,1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,hemicentetes semispinosus,NA,Hemicentetes semispinosus,5,NA,NA,NA,NA,NA,0.196,0.08700000000000001,0.098,0.011,1,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,lagothrix lagothr,Lagothrix lagothr.,NA,5,1.4289999999999998,0.543,0.6909999999999998,0.195,3,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,lagothrix lagothricha,NA,Lagothrix lagothricha,5,NA,NA,NA,NA,NA,1.4289999999999998,0.543,0.691,0.195,3,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,lemur albifrons,Lemur albifrons,NA,5,3.211,0.769,1.318,1.124,3,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,lepilemur ruficaud,Lepilemur ruficaud.,NA,5,2.722,0.8330000000000001,1.309,0.58,3,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,lepilemur ruficaudatus,NA,Lepilemur ruficaudatus,5,NA,NA,NA,NA,NA,2.722,0.8330000000000001,1.309,0.58,3,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,limnogale mergulus,Limnogale mergulus,NA,5,0.323,0.08,0.165,0.07800000000000001,1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,microgale dobsoni,Microgale dobsoni,NA,5,0.17800000000000002,0.059000000000000004,0.1,0.019,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,microgale mergulus,NA,Microgale mergulus,5,NA,NA,NA,NA,NA,0.323,0.08,0.165,0.07800000000000001,1,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,microgale talazaci,Microgale talazaci,NA,5,0.369,0.10200000000000001,0.183,0.08400000000000002,1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,micropotamogale lam,Micropotamogale lam.,NA,5,0.061,0.024,0.032,0.005,1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,micropotamogale lamottei,NA,Micropotamogale lamottei,5,NA,NA,NA,NA,NA,0.061,0.024,0.032,0.005,1,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,nesogale dobsoni,NA,Nesogale dobsoni,5,NA,NA,NA,NA,NA,0.17800000000000002,0.059000000000000004,0.1,0.019,2,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,nesogale talazaci,NA,Nesogale talazaci,5,NA,NA,NA,NA,NA,0.369,0.10200000000000001,0.183,0.084,1,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,oryzorictes hova,NA,Oryzorictes hova,5,NA,NA,NA,NA,NA,0.12000000000000001,0.037,0.07600000000000001,0.007,1,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,oryzorictes talpoid,Oryzorictes talpoid.,NA,5,0.12000000000000001,0.037,0.07600000000000001,0.007,1,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,otolemur crassic,Otolemur crassic.,NA,5,2.518,0.647,1.147,0.724,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,otolemur crassicaudatus,NA,Otolemur crassicaudatus,5,NA,NA,NA,NA,NA,2.518,0.647,1.147,0.724,2,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,propithecus verreau,Propithecus verreau.,NA,5,3.3989999999999996,1.265,1.4089999999999998,0.725,2,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,propithecus verreauxi,NA,Propithecus verreauxi,5,NA,NA,NA,NA,NA,3.3989999999999996,1.265,1.4089999999999998,0.725,2,FALSE,FALSE,FALSE,FALSE,FALSE
