"code","species","n","corpus_geniculatum_laterale_mm3","source"
"577","Tenrec ecaudatus",1,1.46,"Stephan_etal_1984"
"579","Setifer setosus",1,1.05,"Stephan_etal_1984"
"581","Hemicentetes semispin.",1,0.37,"Stephan_etal_1984"
"585","Echinops telfairi",1,0.37,"Stephan_etal_1984"
"689","Aethechinus algirus",1,5.02,"Stephan_etal_1984"
"695","Erinaceus europaeus",1,3.9,"Stephan_etal_1984"
"715","Sorex araneus",1,0.07,"Stephan_etal_1984"
"769","Sorex minutus",1,0.06,"Stephan_etal_1984"
"943","Crocidura occidentalis",1,0.28,"Stephan_etal_1984"
"1071","Crocidura russula",1,0.08,"Stephan_etal_1984"
"1137","Suncus murinus",1,0.18,"Stephan_etal_1984"
"1263","Tupaia glis",4,12.9,"Stephan_etal_1984"
"1269","Tupaia minor",2,9.88,"Stephan_etal_1984"
"1289","Urogale everetti",1,9.98,"Stephan_etal_1984"
"3199","Microcebus murinus",5,7.07,"Stephan_etal_1984"
"3203","Cheirogaleus major",2,21.5,"Stephan_etal_1984"
"3205","Cheirogaleus medius",2,10.8,"Stephan_etal_1984"
"3215","Lemur albifrons",2,51.8,"Stephan_etal_1984"
"3227","Varecia variegata",1,68.9,"Stephan_etal_1984"
"3239","Lepilemur ruficaudatus",3,15.6,"Stephan_etal_1984"
"3243","Avahi l. laniger",1,27.6,"Stephan_etal_1984"
"3244","Avahi l. occidentalis",2,29.3,"Stephan_etal_1984"
"3247","Propithecus verreauxi",2,64.5,"Stephan_etal_1984"
"3249","Indri indri",2,94.5,"Stephan_etal_1984"
"3251","Daubentonia madagascar.",1,58.5,"Stephan_etal_1984"
"3253","Loris tardigradus",1,24.6,"Stephan_etal_1984"
"3255","Nycticebus coucang",1,35.9,"Stephan_etal_1984"
"3259","Perodicticus potto",2,24.3,"Stephan_etal_1984"
"3265","Galago senegalensis",1,16,"Stephan_etal_1984"
"3267","Otolemur crassicaudatus",1,23.2,"Stephan_etal_1984"
"3275","Galagoides demidoff",2,10.9,"Stephan_etal_1984"
"3282","Tarsius spp.",2,20.8,"Stephan_etal_1984"
"3287","Callithrix jacchus",2,25.1,"Stephan_etal_1984"
"3311","Saguinus oedipus",1,34.2,"Stephan_etal_1984"
"3324","Cebus spp.",2,137,"Stephan_etal_1984"
"3325","Aotus trivirgatus",2,32.9,"Stephan_etal_1984"
"3327","Callicebus moloch",1,54.2,"Stephan_etal_1984"
"3335","Saimiri sciureus",1,62.9,"Stephan_etal_1984"
"3341","Pithecia monachus",1,76.3,"Stephan_etal_1984"
"3366","Alouatta spp.",1,87.4,"Stephan_etal_1984"
"3371","Ateles geoffroyi",1,151,"Stephan_etal_1984"
"3379","Lagothrix lagothricha",1,164,"Stephan_etal_1984"
"3391","Macaca mulatta",1,158,"Stephan_etal_1984"
"3407","Cercocebus albigena",1,182,"Stephan_etal_1984"
"3415","Papio anubis",1,395,"Stephan_etal_1984"
"3433","Cercopithecus ascanius",1,147,"Stephan_etal_1984"
"3453","Cercopithecus mitis",1,150,"Stephan_etal_1984"
"3469","Miopithecus talapoin",1,109,"Stephan_etal_1984"
"3477","Colobus badius",2,128,"Stephan_etal_1984"
"3539","Hylobates lar",1,175,"Stephan_etal_1984"
"3549","Pan troglodytes",1,356,"Stephan_etal_1984"
"3551","Gorilla gorilla",1,384,"Stephan_etal_1984"
"3553","Homo sapiens",1,416,"Stephan_etal_1984"
