group,species,AMY_mm3,LAM_mm3,MCB_mm3,MAM_mm3,NTO_mm3
Prosimii,Microcebus murinus,36.6,24.5,2.1,12,0.3
Prosimii,Cheirogaleus major,102.3,68.8,8.8,33.6,0.95
Prosimii,Cheirogaleus medius,64.9,40.8,3.9,24.1,0.55
Prosimii,Lemur albifrons,260.7,185.5,20,75.2,1.5
Prosimii,Varecia variegata,368.2,253.5,22.9,114.7,2.6
Prosimii,Lepilemur ruficaudatus,133.9,91.4,7.8,42.5,0.64
Prosimii,Avahi l. laniger,113.2,73.8,5.4,39.5,1.1
Prosimii,Avahi l. occidentalis,121.1,86.5,6.4,34.6,0.27
Prosimii,Propithecus verreauxi,302.2,206.4,22.5,95.8,1.1
Prosimii,Indri indri,398.5,277.7,26,120.8,0.99
Prosimii,Daubentonia madagasc.,481.7,357.1,25.3,124.6,3.6
Prosimii,Loris tardigradus,104.1,72.5,6,31.6,0.47
Prosimii,Nycticebus coucang,189.2,121.4,11.4,67.8,1.1
Prosimii,Perodicticus potto,202.2,138.8,14.1,63.5,1.9
Prosimii,Galago senegalensis,73.2,51.5,4.2,21.7,0.55
Prosimii,Otolemur crassicaudatus,148.8,103.3,8.5,45.5,1.4
Prosimii,Galagoides demidoff,57.9,40.4,3.2,17.6,0.73
Prosimii,Tarsius spp.,53.4,39.7,3.3,13.7,0.09
Simiae,Callithrix jacchus,106.1,75.6,7.7,30.5,0
Simiae,Cebuella pygmaea,75.4,57.9,7.1,17.5,0.11
Simiae,Saguinus midas tamarin,144.9,106.1,8.8,38.8,0
Simiae,Saguinus oedipus,141.8,110.2,11.4,31.6,0.12
Simiae,Callimico goeldii,146.9,111.2,11.6,35.6,0
Simiae,Cebus albifrons,458.2,337.8,36,120.4,0
Simiae,Aotus trivirgatua,193.6,136.9,14.6,56.6,0.21
Simiae,Callicebus moloch,254.1,179.5,16.3,74.6,0
Simiae,Saimiri sciureus,242.4,188.3,15.5,54.1,0
Simiae,Pithecia monachus,365.3,273.7,31.7,91.6,0
Simiae,Alouatta seniculus,426,324.3,31.4,101.7,0
Simiae,Ateles geoffroyi,868.8,644.5,74.7,224.3,0
Simiae,Lagothrix lagothricha,753.2,565.2,74.6,188,0
Simiae,Macaca mulatta,678.4,493.2,69.7,185.2,0.13
Simiae,Cercocebus albigena,781.3,515.9,83.5,265.4,0
Simiae,Papio anubis,953.5,740.2,104.7,213.3,0
Simiae,Cercopithecus ascanius,572.5,433.2,45.6,139.3,0
Simiae,Cercopithecus mitis,704,493.1,66.4,210.9,0
Simiae,Miopithecus talapoin,413.1,311.3,52.9,101.9,0
Simiae,Erythrocebus patas,688.4,489,63.7,199.4,0
Simiae,Colobus badius,500.9,377.3,47.7,123.6,0
Simiae,Pygathrix nemaeus,489.2,337.5,51.2,151.6,0
Simiae,Nasalis larvatus,718.9,499.1,55.8,219.8,0
Simiae,Hylobates lar,666.2,510.2,84.6,156,0
Simiae,Pan troglodytes,1421.8,1046.5,136,375.3,0
Simiae,Gorilla gorilla,2752.6,1998.1,227.5,754.5,0
Simiae,Homo sapiens,5286.6,3980.2,349.9,1306.4,0
