Species_canonical,Order,Suborder,Family,code_Stephan1981,Common_name,n_distinct_variant_strings,all_variant_strings,Species_Baron1983,Species_Baron1987,Species_Baron1988,Species_Baron1990,Species_Bauernfeind2013,Species_Frahm1982,Species_Frahm1994,Species_Frahm1997,Species_Frahm98,Species_Frahm_1984,Species_Matano1985a,Species_Matano1985b,Species_Sherwood_2005,Species_Stephan1981,Species_Stephan1982,Species_Stephan1984,Species_Stephan1987,Species_Zilles1988,Species_deSousa2010,Species_deSousa2013
Alouatta caraya,,,,,black howler,1,Alouatta caraya,,,,,Alouatta caraya,,,,,,,,,,,,,,,
Alouatta seniculus,Primates,Simians,,179,Colombian red howler,3,Alouatta seniculus; Alouatta sp.; Alouatta spp.,Alouatta spp.,Alouatta seniculus,Alouatta seniculus,Alouatta seniculus,,Alouatta sp.,Alouatta seniculus,,Alouatta seniculus,Alouatta sp.,Alouatta seniculus,Alouatta seniculus,Alouatta seniculus,Alouatta sp.,Alouatta sp.,Alouatta spp.,Alouatta seniculus,,Alouatta seniculus,
Aotus trivirgatus,Primates,Simians,,171,three striped night monkey,2,Aotus trivirgatua; Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,,Aotus trivirgatus,Aotus trivirgatus,,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatua,,Aotus trivirgatus,
Atelerix algirus,Insectivora,Basal Insectivora,Erinaceidae,21,North African hedgehog,3,Aethechinus algirus; Atelerix algirus; Erinaceus algirus,Erinaceus algirus,Erinaceus algirus,Erinaceus algirus,Atelerix algirus,,Erinaceus algirus,,,,,,,,Aethechinus algirus,Erinaceus algirus,Aethechinus algirus,Erinaceus algirus,,,
Ateles geoffroyi,Primates,Simians,,184,Geoffroy s spider monkey,1,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,,Ateles geoffroyi,,,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,,Ateles geoffroyi,
Avahi laniger,Primates,Prosimians,Indriidae,130,eastern woolly lemur,4,Avahi l. laniger; Avahi laniger; Avahi laniger lan.; Avahi laniger laniger,Avahi laniger laniger,Avahi l. laniger,Avahi laniger laniger,Avahi laniger laniger,,,Avahi laniger laniger,,,Avahi l. laniger,Avahi laniger laniger,Avahi l. laniger,Avahi laniger laniger,Avahi l. laniger,Avahi laniger lan.,Avahi l. laniger,Avahi l. laniger,,Avahi laniger,
Avahi occidentalis,Primates,Prosimians,Indriidae,131,western woolly lemur,5,Avahi I. occidentalis; Avahi l. occidentalis; Avahi laniger; Avahi laniger occ.; Avahi laniger occidentalis,Avahi I. occidentalis,Avahi l. occidentalis,Avahi laniger occidentalis,Avahi laniger occidentalis,Avahi laniger,Avahi laniger occidentalis,Avahi l. occidentalis,,,Avahi laniger occidentalis,Avahi l. occidentalis,Avahi l. occidentalis,Avahi laniger occidentalis,Avahi laniger occidentalis,Avahi laniger occ.,Avahi l. occidentalis,Avahi l. occidentalis,,,
Blarina brevicauda,Insectivora,,,,northern short tailed shrew ,1,Blarina brevicauda,,Blarina brevicauda,Blarina brevicauda,Blarina brevicauda,,,,,,,,,,,,,Blarina brevicauda,,,
Callicebus moloch,Primates,Simians,,172,red bellied titi,1,Callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,,,Callicebus moloch,,Callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,Callicebus moloch,,Callicebus moloch,
Callimico goeldii,Primates,Simians,,166,Goeldi s marmoset,2,Callimico goeldi; Callimico goeldii,Callimico goeldii,Callimico goeldii,Callimico goeldii,Callimico goeldii,,,Callimico goeldi,,Callimico goeldii,,,,Callimico goeldii,Callimico goeldii,Callimico goeldii,,Callimico goeldii,,,
