Species,Body_mass,Brain_mass,Brain_volume,Granular_volume,Dysgranular_volume,Agranular_volume,FI_volume,Total_insula_volume,CONVERTED:,Body_mass,Brain_mass,Brain_volume,Granular_volume,Dysgranular_volume,Agranular_volume,FI_volume,Total_insula_volume
Alouatta_caraya,6.42,55.8,53.861,0.089,0.141,0.042,,0.272,,6420,55800,53861,89,141,42,,272
Ateles_geoffroyi,7.78,106.4,102.7,0.1,0.181,0.135,,0.416,,7780,106400,102700,100,181,135,,416
Avahi_laniger,1.03,9.6,9.2568,0.013,0.018,0.007,,0.038,,1030,9600,9256.8,13,18,7,,38
Callithrix_pygmaea,0.11,4.2,4.0058,0.003,0.007,0.001,,0.011,,110,4200,4005.8,3,7,1,,11
Cebus_albifrons,3.18,79.8,77.027,0.108,0.155,0.034,,0.297,,3180,79800,77027,108,155,34,,297
Cercocebus_agilis,5.66,95.3,91.988,0.158,0.116,0.105,,0.379,,5660,95300,91988,158,116,105,,379
Cercopithecus_kandti,5.48,71.6,69.112,0.134,0.391,0.089,,0.614,,5480,71600,69112,134,391,89,,614
Colobus_angolensis,9.68,74.4,71.815,0.038,0.152,0.032,,0.222,,9680,74400,71815,38,152,32,,222
Galagoides_demidoff,0.063,3.3,3.1853,0.005,0.005,0.002,,0.012,,63,3300,3185.3,5,5,2,,12
Gorilla_gorilla,102.3425,416.25,401.785,0.3945,0.94875,0.57,0.232,2.1455,,102342.5,416250,401785,394.5,948.75,570,232,2145.5
Homo_sapiens,70.1,1406.72,1357.82,1.8738,2.9602,1.2006,0.4446,6.479,,70100,1406720,1357820,1873.8,2960.2,1200.6,444.6,6479
Hylobates_lar,5.34,92,88.803,0.117,0.131,0.04,,0.289,,5340,92000,88803,117,131,40,,289
Hylobates_muelleri,5.71,101.8,98.263,0.111,0.286,0.142,,0.539,,5710,101800,98263,111,286,142,,539
Indri_indri,5.83,33.7,32.481,0.05,0.085,0.033,,0.167,,5830,33700,32481,50,85,33,,167
Leontopithecus_rosalia,0.598,12.7,12.259,0.004,0.021,0.012,,0.037,,598,12700,12259,4,21,12,,37
Lophocebus_albigena,8.25,110.5,106.66,0.171,0.27,0.095,,0.536,,8250,110500,106660,171,270,95,,536
Loris_tardigradus,0.264,6.9,6.612,0.003,0.006,0.003,,0.012,,264,6900,6612,3,6,3,,12
Macaca_maura,6.05,83.3,80.405,0.181,0.24,0.071,,0.492,,6050,83300,80405,181,240,71,,492
Pan_paniscus,37.13333333,352,339.7666667,0.260666667,0.934333333,0.351,0.144666667,1.690333333,,37133.33333,352000,339766.6667,260.666667,934.333333,351,144.666667,1690.333333
Pan_troglodytes,46.50333333,342.7,330.79,0.667333333,0.703666667,0.164666667,0.065666667,1.600666667,,46503.33333,342700,330790,667.333333,703.666667,164.666667,65.666667,1600.666667
Perodicticus_potto,1.25,11.5,11.1,0.016,0.01,0.004,,0.031,,1250,11500,11100,16,10,4,,31
Piliocolobus_badius,7.05,75,72.394,0.072,0.116,0.053,,0.241,,7050,75000,72394,72,116,53,,241
Pithecia_pithecia,1.58,30,28.958,0.04,0.135,0.104,,0.279,,1580,30000,28958,40,135,104,,279
Pongo_abelii,35.6,345.9,333.88,0.2185,0.5995,0.3215,0.0195,1.158,,35600,345900,333880,218.5,599.5,321.5,19.5,1158
Pongo_pygmaeus,57.05,360.5,347.97,0.199,1.057,0.188,0.06,1.505,,57050,360500,347970,199,1057,188,60,1505
Saguinus_geoffroyi,0.482,10.5,10.135,0.009,0.009,0.006,,0.023,,482,10500,10135,9,9,6,,23
Saguinus_oedipus,0.418,9.3,8.9382,0.007,0.013,0.006,,0.026,,418,9300,8938.2,7,13,6,,26
Symphalangus_syndactylus,11.9,138.7,133.88,0.198,0.147,0.071,,0.416,,11900,138700,133880,198,147,71,,416
Trachypithecus_francoisi,7.7,102.1,98.552,0.249,0.217,0.16,,0.625,,7700,102100,98552,249,217,160,,625
Varecia_variegata,3.55,31.5,30.405,0.044,0.044,0.012,,0.1,,3550,31500,30405,44,44,12,,100
