Order,Clade,Species,Species_Frahm84,,n,Area_striata_total_volume,Area_striata_white_matter,Area_striata_grey_matter,Area_striata_lamina_1,Area_striata_laminae_2-6
Scandentia,,Tupaia glis,Tupaia glis,,4,179,10.2,169,19.6,149
Scandentia,,Tupaia minor,Tupaia minor,,2,164,12.5,152,_,_
Scandentia,,Urogale everetti,Urogale everetti,,1,136,12.7,123,15.5,108
Primates ,Prosimians,Microcebus murinus,Microcebus murinus,,5,144,8.24,136,15,121
Primates ,Prosimians,Cheirogaleus major,Cheirogaleus major,,2,477,44.8,433,_,_
Primates ,Prosimians,Cheirogaleus medius,Cheirogaleus medius,,2,216,17.6,199,_,_
Primates ,Prosimians,Lemur albifrons,Lemur albifrons,1),2,"1,519",267,"1,253",138,"1,114"
Primates ,Prosimians,Varecia variegata,Varecia variegata,2),1,2112,367,"1,745",_,_
Primates ,Prosimians,Lepilemur ruficaudatus,Lepilemur ruficaudatus,,3,358,31.4,326,52.5,274
Primates ,Prosimians,Avahi laniger laniger,Avahi laniger laniger,,1,542,66.5,475,_,_
Primates ,Prosimians,Avahi lan. occidentalis,Avahi lan. occidentalis,,2,527,77.2,450,64.6,385
Primates ,Prosimians,Propithecus verreauxi,Propithecus verreauxi,,2,1355,249,"1,106",131,974
Primates ,Prosimians,Indri indri,Indri indri,,2,"1,961",313,"1,648",279,"1,369"
Primates ,Prosimians,Daubentonia madagascar.,Daubentonia madagascar.,,1,"1,355",242,"1,113",189,923
Primates ,Prosimians,Loris tardigradus,Loris tardigradus,,1,588,59.6,529,_,_
Primates ,Prosimians,Nycticebus coucang,Nycticebus coucang,,1,828,132,696,93.8,603
Primates ,Prosimians,Perodicticus potto,Perodicticus potto,,2,552,57.7,495,_,_
Primates ,Prosimians,Galago senegalensis,Galago senegalensis,,1,334,32.6,301,_,_
Primates ,Prosimians,Otolemur crassicaudatus,Otolemur crassicaudatus,3),1,548,68.4,479,_,_
Primates ,Prosimians,Galagoides demidoff,Galagoides demidoff,4),2,237,22.4,214,25.6,189
Primates ,Prosimians,Tarsius sp.,Tarsius spp.,,2,370,21.3,349,41.2,307
Primates , Simians,Callithrix jacchus,Callithrix jacchus,,2,685,119,566,57.8,508
Primates , Simians,Cebuella pygmaea,Cebuella pygmaea,,1,415,51.4,363,29.7,334
Primates , Simians,Saguinus midas,Saguinus midas,5),1,"1,061",220,841,_,_
Primates , Simians,Saguinus oedipus,Saguinus oedipus,,1,977,170,807,_,_
Primates , Simians,Cebus sp.,Cebus spp.,,2,"4,703",939,"3,764",365,"3,399"
Primates , Simians,Aotus trivirgatus,Aotus trivirgatus,,2,"1,203",207,996,113,883
Primates , Simians,Callicebus moloch,Callicebus moloch,,1,"1,524",324,"1,201",_,_
Primates , Simians,Saimiri sciureus,Saimiri sciureus,,1,"2,326",442,"1,884",175,"1,709"
Primates , Simians,Pithecia monachus,Pithecia monachus,,1,"2,130",451,"1,679",_,_
Primates , Simians,Alouatta sp.,Alouatta sp.,,1,"2,461",543,"1,918",220,"1,698"
Primates , Simians,Ateles geoffroyi,Ateles geoffroyi,,1,"4,738",985,"3,753",_,_
Primates , Simians,Lagothrix lagothricha,Lagothrix lagothricha,,1,"6,082","1,226","4,856",604,"4,252"
Primates , Simians,Macaca mulatta,Macaca mulatta,,1,"6,586","1,243","5,343",_,_
Primates , Simians,Cercocebus albigena,Cercocebus albigena,,1,"6,831",1411,5420,_,_
Primates , Simians,Papio anubis,Papio anubis,,1,"13,741","3,740","10,001",919,"9,082"
Primates , Simians,Cercopithecus ascanius,Cercopithecus ascanius,,1,"5,106",834,"4,272",416,"3,855"
Primates , Simians,Cercopithecus mitis,Cercopithecus mitis,,1,"5,275","1,042","4,232",_,_
Primates , Simians,Miopithecus talapoin,Miopithecus talapoin,6),1,"3,048",709,"2,339",_,_
Primates , Simians,Proolobus badius,Colobus badius,,2,"3,979",926,"3,053",360,"2,693"
Primates , Simians,Hylobates lar,Hylobates lar,,1,"5,750","1,176","4,574",562,"4,012"
Primates , Simians,Pan troglodytes,Pan troglodytes,,1,"14,597","4,004","10,593","1,156","9,437"
Primates , Simians,Gorilla gorilla,Gorilla gorilla,,1,"15,185","3,123","12,062",_,_
Primates , Simians,Homo sapiens,Homo sapiens,,1,"20,226","5,439","14,787","1,704","13,083"
,,,,,,,,,,
Classification and species names are adapted to the list given by CORBET and HILL (1980). Different names used in former papers and in STEPHAN et al. (1981) are: 1) Lemur fulvus; 2) Lemur variegatus; 3) Galago crassicaudatus; 4) Galago demidovii; 5) Saguinis tamarin; 6) Cercopithecus talapoin (for Tables 1-3) and 7) Aethecinus algirus; and 8) Crocidura occidentalis (for Table 4).,,,,,,,,,,
Most of the area striata volumes deviate slightly from those given in the data collected by STEPHAN et al. (1981) because of a broadening of the material and/or re-investigation in more highly-enlarged photographic series.,,,,,,,,,,
