SubOrder,Clade,Species_Stephan1982,Species,,n,total_AOB,AOB_layers_1+2,AOB_layers_3-5,AOB_layers_6
Simians,,Alouatta sp.,Alouatta seniculus,,2,0.595,0.19,0.356,0.049
Simians,,Aotus trivirgatus,Aotus trivirgatus,,3,0.222,0.086,0.126,0.01
Simians,,Ateles geoffroyi,Ateles geoffroyi,,1,2.189,0.85,0.969,0.37
Prosimians,Indriidae,Avahi laniger lan.,Avahi laniger laniger,,2,3.013,0.816,1.489,0.708
Prosimians,Indriidae,Avahi laniger occ.,Avahi laniger occidentalis,,2*,2.553,0.828,1.244,0.481
Simians,,Callicebus moloch,Callicebus moloch,,2*,0.325,0.09,0.216,0.019
Simians,,Callimico goeldii,Callimico goeldii,,1,0.512,0.166,0.312,0.034
Simians,,Callithrix jacchus,Callithrix jacchus,,3,0.326,0.111,0.165,0.05
Simians,,Cebuella pygmaea,Cebuella pygmaea,,2,0.386,0.128,0.211,0.047
Simians,,Cebus sp.,Cebus albifrons,,2*,0.667,0.323,0.277,0.067
Prosimians,Cheirogaleiclae,Cheirogaleus major,Cheirogaleus major,,2,4.043,1.39,1.578,1.075
Prosimians,Cheirogaleiclae,Cheirogaleus medius,Cheirogaleus medius,,2,2.663,0.844,1.023,0.796
Progressive Insectivora,,Chrysochl. stuhlm.,Chrysochloris stuhlmanni,5,2*,0.204,0.067,0.109,0.028
Progressive Insectivora,,Chrysochloris asiat.,Chrysochloris asiatica,,1,0.132,0.037,0.078,0.017
Basal Insectivora,Soricidae,Crocidura flavesc.,Crocidura flavescens,,2,0.221,0.085,0.095,0.041
Basal Insectivora,Soricidae,Crocidura russula,Crocidura russula,,2¥,0.043,0.012,0.024,0.007
Prosimians,Daubentoniidae,Daubentonia madagas.,Daubentonia madagascariensis,,1,8.311,2.945,3.469,1.897
Progressive Insectivora,,Desmana moschata,Desmana moschata,,1,0.218,0.096,0.092,0.03
Basal Insectivora,Tenrecinae,Echinops telfairi,Echinops telfairi,,2*,0.249,0.111,0.105,0.033
,Macroscclidea,Elephantulus fuscip.,Elephantulus fuscipes,,2,0.662,0.142,0.341,0.179
Basal Insectivora,Erinaceidae,Erinaceus algirus,Erinaceus algirus,1,2,1.934,0.676,0.75,0.508
Basal Insectivora,Erinaceidae,Erinaceus europaeus,Erinaceus europaeus,,2*,1.943,0.634,0.932,0.377
Prosimians,Lorisidae,Galago senegalensis,Galago senegalensis,,1,2.577,0.685,1.204,0.688
Prosimians,Lorisidae,Galagoides demid.,Galagoides demidoff,10,2*,1.259,0.247,0.518,0.494
Progressive Insectivora,,Galemys pyrenaicus,Galemys pyrenaicus,,2,0.206,0.05,0.128,0.028
Basal Insectivora,Tenrecinae,Hemicentetes semisp.,Hemicentetes semispinosus,,1,0.196,0.087,0.098,0.011
Basal Insectivora,Erinaceidae,Hemiechinus auritus,Hemiechinus auritus,,3,1.346,0.429,0.618,0.299
Prosimians,Indriidae,Indri indri,Indri indri,,2*,2.317,0.79,1.219,0.308
Simians,,Lagothrix lagothr.,Lagothrix lagothricha,,3,1.429,0.543,0.691,0.195
Prosimians,Lemuridae,Lemur albifrons,Eulemur albifrons,7,3,3.211,0.769,1.318,1.124
Prosimians,Lemuridae,Lepilemur ruficaud.,Lepilemur ruficaudatus,,3,2.722,0.833,1.309,0.58
Progressive Insectivora,,Limnogale mergulus,Limnogale mergulus,,1,0.323,0.08,0.165,0.078
Prosimians,Lorisidae,Loris tardigradus,Loris tardigradus,,1,2.3,0.652,0.795,0.853
Prosimians,Cheirogaleiclae,Microcebus murinus,Microcebus murinus,,6*,1.623,0.498,0.655,0.47
Progressive Insectivora,,Microgale cowani,Microgale cowani,,1,0.162,0.048,0.082,0.032
Progressive Insectivora,,Microgale dobsoni,Microgale dobsoni,3,2,0.178,0.059,0.1,0.019
Progressive Insectivora,,Microgale talazaci,Microgale talazaci,4,1,0.369,0.102,0.183,0.084
Progressive Insectivora,,Micropotamogale lam.,Micropotamogale lamottei,,1,0.061,0.024,0.032,0.005
Progressive Insectivora,,Neomys fodiens,Neomys fodiens,,2,0.101,0.034,0.049,0.018
Prosimians,Lorisidae,Nycticebus coucang,Nycticebus coucang,,1,4.276,1.305,1.625,1.346
Progressive Insectivora,,Oryzorictes talpoid.,Oryzorictes talpoides,,1,0.12,0.037,0.076,0.007
Prosimians,Lorisidae,Otolemur crassic.,Otolemur crassicaudatus,9,2,2.518,0.647,1.147,0.724
Prosimians,Lorisidae,Perodicticus potto,Perodicticus potto,,2,2.735,0.695,1.358,0.682
Simians,,Pithecia monachus,Pithecia monachus,,2,0.846,0.279,0.456,0.111
Progressive Insectivora,,Potamogale velox,Potamogale velox,,2,2.307,1.251,0.735,0.321
Prosimians,Indriidae,Propithecus verreau.,Propithecus verreauxi,,2*,3.399,1.265,1.409,0.725
,Macroscclidea,Rhynchocyon cirnei,Rhynchocyon cirnei,6,2,0.666,0.222,0.354,0.09
Simians,,Saguinus midas,Saguinus midas,11,2*,0.29,0.116,0.132,0.042
Simians,,Saguinus oedipus,Saguinus oedipus,,2,0.406,0.168,0.188,0.05
Simians,,Saimiri sciureus,Saimiri sciureus,,1,0.985,0.429,0.452,0.104
Basal Insectivora,Tenrecinae,Setifer setosus,Setifer setosus,,2,0.534,0.271,0.181,0.082
Progressive Insectivora,,Solenodon paradoxus,Solenodon paradoxus,,2¥,0.218,0.051,0.146,0.021
Basal Insectivora,Soricidae,Sorex araneus,Sorex araneus,,2*,0.078,0.022,0.036,0.02
Basal Insectivora,Soricidae,Sorex minutus,Sorex minutus,,1,0.02,0.006,0.01,0.004
Basal Insectivora,Soricidae,Suncus murinus,Suncus murinus,,1,0.182,0.076,0.072,0.034
Progressive Insectivora,,Talpa europaea,Talpa europaea,,2*,0.291,0.087,0.137,0.067
Prosimians,Tarsiidae,Tarsius sp.,Tarsius sp.,,2,0.82,0.275,0.391,0.154
Basal Insectivora,Tenrecinae,Tenrec ecaudatus,Tenrec ecaudatus,,2,0.715,0.385,0.213,0.117
,Scandentia,Tupaia glis,Tupaia glis,,5*,2.408,0.974,0.832,0.602
,Scandentia,Urogale everetti,Urogale everetti,,1,2.098,0.816,0.917,0.365
Prosimians,Lemuridae,Varecia variegata,Varecia variegata,8,1,5.267,1.468,2.195,1.604
