Stephan_Species,Number_of_individuals_neocortex,neocortex_total,neocortex_white_matter,neocortex_grey_matter,neocortex_lam_1,neocortex_lam_2_6
Tenrec ecaudatus,1,270.9,35.51,235.4,72.81,162.5
Setifer setosus,1,134.1,17.4,116.7,37.48,79.23
Hemicentetes semispinosus,1,73.43,5.865,67.57,22.94,44.63
Echinops telfairi,1,51.46,5.224,46.23,15.25,30.98
Erinaceus algirus,1,500.3,63.6,436.7,117,319.7
Erinaceus europaeus,1,522.5,68.35,454.1,129.1,325
Hemiechinus auritus,1,309.5,30.8,278.7,75.03,203.7
Crocidura flavescens,1,59.11,4.99,54.12,16.15,37.97
Crocidura russula,1,25.46,1.487,23.98,6.872,17.1
Suncus murinus,1,54.13,3.54,50.59,14.07,36.51
Sorex araneus,1,26.36,1.536,24.82,5.189,19.63
Sorex minutus,1,12.65,0.844,11.81,2.436,9.371
Neomys fodiens,1,56.56,6.371,50.19,9.67,40.52
Tupaia glis,2,1036,94.83,941.4,126.8,814.6
Urogale everetti,1,1338,199.2,1139,157.2,981.6
Microceblls murinus,4,739.5,65.31,674.2,94.97,579.3
Lemur albifrons,1,12207,3035,9172,"1,298","7,874"
Lepilemur ruficaudatus,1,3282,476.6,2805,488.6,"2,317"
Avahi laniger occidentalis,1,4443,777,3666,582.7,"3,083"
Propithecus verreauxi,2,13170,3335,9835,"1,428","8,407"
Indri indri,1,20114,4223,15891,"2,702","13,189"
Daubentonia madagascar.,1,22127,5053,17074,"2,738","14,336"
Nycticebus coucang,1,6192,1240,4952,712.7,"4,240"
Galagoides demidoff,1,1568,150.6,1417,202.2,"1,215"
Tarsius sp.,1,1768,137,1631,236.3,"1,395"
Callithrix jacchus,1,4371,807.1,3564,441.8,"3,122"
Cebuella pygmaea,1,2534,395.3,2139,223.7,"1,915"
Cebus sp.,1,46429,15799,30630,"3,607","27,023"
Aotus trivirgatus,1,9950,2174,7776,"1,039","6,737"
Saimiri sciureus,1,15541,3710,11832,"1,275","10,557"
Alouatta sp.,1,31660,9869,21791,"2,918","18,874"
Lagothrix lagothricha,1,65873,16727,49147,"7,664","41,483"
Papio anubis,1,140142,54416,85726,"10,642","75,084"
Cercopithecus ascanius,1,45166,13052,32114,"4,009","28,104"
Colobus badius,1,50906,14331,36575,"5,130","31,444"
Hylobates lar,1,65800,19154,46646,"6,279","40,367"
Pan troglodytes,1,291592,118996,172597,"21,960","150,637"
Homo sapiens,1,1006525,421819,584706,"75,316","509,391"
