0,Order_Stephan1987,Species,Species_Stephan1987,Amygdala_87,Complexus_corticobasolateralis_87,Nucleus_amygdalae_basalis_pars_magnocellularis_87,Complexus_centromedialis_87,Nucleus_tractus_olfactorius_87
1,Order_Stephan1987,AAA_ANATOMY,Species_Stephan1987,AMY,LAM,MCB,MAM,NTO
74,SIMIANS,Alouatta seniculus,Alouatta seniculus,426,324.3,31.4,101.7,0
70,SIMIANS,Aotus trivirgatus,Aotus trivirgatua,193.6,136.9,14.6,56.6,0.21
75,SIMIANS,Ateles geoffroyi,Ateles geoffroyi,868.8,644.5,74.7,224.3,0
52,PROSIMIANS,Avahi laniger,Avahi l. laniger,113.2,73.8,5.4,39.5,1.1
53,PROSIMIANS,Avahi occidentalis,Avahi l. occidentalis,121.1,86.5,6.4,34.6,0.27
28,INSECTIVORA,Blarina brevicauda,Blarina brevicauda,10.9,5.9,0.89,5,0.45
71,SIMIANS,Callicebus moloch,Callicebus moloch,254.1,179.5,16.3,74.6,0
68,SIMIANS,Callimico goeldii,Callimico goeldii,146.9,111.2,11.6,35.6,0
64,SIMIANS,Callithrix jacchus,Callithrix jacchus,106.1,75.6,7.7,30.5,0
65,SIMIANS,Cebuella pygmaea,Cebuella pygmaea,75.4,57.9,7.1,17.5,0.11
69,SIMIANS,Cebus albifrons,Cebus albifrons,458.2,337.8,36,120.4,0
78,SIMIANS,Cercocebus albigena,Cercocebus albigena,781.3,515.9,83.5,265.4,0
80,SIMIANS,Cercopithecus ascanius,Cercopithecus ascanius,572.5,433.2,45.6,139.3,0
81,SIMIANS,Cercopithecus mitis,Cercopithecus mitis,704,493.1,66.4,210.9,0
47,PROSIMIANS,Cheirogaleus major,Cheirogaleus major,102.3,68.8,8.8,33.6,0.95
48,PROSIMIANS,Cheirogaleus medius,Cheirogaleus medius,64.9,40.8,3.9,24.1,0.55
17,INSECTIVORA,Chrysochloris asiatica,Chrysochloris asiatica,20,11,1.6,9.1,0.83
18,INSECTIVORA,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,23.3,11.1,2.1,12.2,0.96
29,INSECTIVORA,Crocidura flavescens,Crocidura flavescens,13,6.6,1.2,6.4,0.43
30,INSECTIVORA,Crocidura hildegardeae,Crocidura hildegardeae,6.9,3.4,0.59,3.5,0.34
31,INSECTIVORA,Crocidura jacksoni,Crocidura jacksoni,7.6,4.1,0.54,3.5,0.24
32,INSECTIVORA,Crocidura russula,Crocidura russula,6.3,3.2,0.73,3.1,0.23
56,PROSIMIANS,Daubentonia madagascariensis,Daubentonia madagasc.,481.7,357.1,25.3,124.6,3.6
40,INSECTIVORA,Desmana moschata,Desmana moschata,90.8,49.9,12.2,40.9,0.09
8,INSECTIVORA,Echinops telfairi,Echinops telfairi,22.4,11.3,3.2,11.1,0.7
2,MACROSCELIDEA,Elephantulus fuscipes,Elephantulus fuscipes,35.6,19.7,1.3,15.9,0.91
19,INSECTIVORA,Atelerix algirus,Erinaceus algirus,101.3,55.4,7.5,45.9,3.1
20,INSECTIVORA,Erinaceus europaeus,Erinaceus europaeus,108.1,63.3,11.5,44.8,3.7
83,SIMIANS,Erythrocebus patas,Erythrocebus patas,688.4,489,63.7,199.4,0
49,PROSIMIANS,Eulemur albifrons,Lemur albifrons,260.7,185.5,20,75.2,1.5
60,PROSIMIANS,Galago senegalensis,Galago senegalensis,73.2,51.5,4.2,21.7,0.55
62,PROSIMIANS,Galagoides demidoff,Galagoides demidoff,57.9,40.4,3.2,17.6,0.73
41,INSECTIVORA,Galemys pyrenaicus,Galemys pyrenaicus,36.5,21.5,5.7,15,0.23
89,SIMIANS,Gorilla gorilla,Gorilla gorilla,2752.6,1998.1,227.5,754.5,0
7,INSECTIVORA,Hemicentetes semispinosus,Hemicentetes semispinosus,22.4,12.1,2.4,10.4,1.3
21,INSECTIVORA,Hemiechinus auritus,Hemiechinus auritus,71.8,41.9,4.9,29.9,2.8
90,SIMIANS,Homo sapiens,Homo sapiens,5286.6,3980.2,349.9,1306.4,0
87,SIMIANS,Hylobates lar,Hylobates lar,666.2,510.2,84.6,156,0
55,PROSIMIANS,Indri indri,Indri indri,398.5,277.7,26,120.8,0.99
76,SIMIANS,Lagothrix lagothricha,Lagothrix lagothricha,753.2,565.2,74.6,188,0
51,PROSIMIANS,Lepilemur ruficaudatus,Lepilemur ruficaudatus,133.9,91.4,7.8,42.5,0.64
