"subject_no","species","structure","volume_cm3","hemisphere","source"
1,"Pan paniscus","Accessory_basal_nucleus",0.05272,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Accessory_basal_nucleus",0.0023,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Accessory_basal_nucleus",0.04895,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Accessory_basal_nucleus",0.00299,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Accessory_basal_nucleus",0.06926,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Accessory_basal_nucleus",0.00394,"one side","Stimpson_etal_2015"
4,"Pan paniscus","Accessory_basal_nucleus",0.05947,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Accessory_basal_nucleus",0.05929,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Accessory_basal_nucleus",0.00302,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Accessory_basal_nucleus",0.05008,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Accessory_basal_nucleus",0.00276,"one side","Stimpson_etal_2015"
7,"Pan paniscus","Accessory_basal_nucleus",0.00333,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Basal_nucleus",0.19965,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Basal_nucleus",0.00459,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Basal_nucleus",0.20341,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Basal_nucleus",0.00551,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Basal_nucleus",0.18405,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Basal_nucleus",0.00798,"one side","Stimpson_etal_2015"
4,"Pan paniscus","Basal_nucleus",0.19927,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Basal_nucleus",0.18142,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Basal_nucleus",0.00513,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Basal_nucleus",0.20654,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Basal_nucleus",0.0043,"one side","Stimpson_etal_2015"
7,"Pan paniscus","Basal_nucleus",0.00504,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Central_nucleus",0.03133,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Central_nucleus",0.00489,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Central_nucleus",0.03265,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Central_nucleus",0.00438,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Central_nucleus",0.03347,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Central_nucleus",0.00655,"one side","Stimpson_etal_2015"
4,"Pan paniscus","Central_nucleus",0.03547,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Central_nucleus",0.03052,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Central_nucleus",0.00479,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Central_nucleus",0.03732,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Central_nucleus",0.00471,"one side","Stimpson_etal_2015"
7,"Pan paniscus","Central_nucleus",0.00352,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Lateral_nucleus",0.17377,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Lateral_nucleus",0.0031,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Lateral_nucleus",0.00323,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Lateral_nucleus",0.1766,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Lateral_nucleus",0.0043,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Lateral_nucleus",0.00299,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Lateral_nucleus",0.15157,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Lateral_nucleus",0.00506,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Lateral_nucleus",0.00305,"one side","Stimpson_etal_2015"
4,"Pan paniscus","Lateral_nucleus",0.16105,"one side","Stimpson_etal_2015"
4,"Pan paniscus","Lateral_nucleus",0.00061,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Lateral_nucleus",0.12887,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Lateral_nucleus",0.00409,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Lateral_nucleus",0.00277,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Lateral_nucleus",0.13764,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Lateral_nucleus",0.00428,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Lateral_nucleus",0.00189,"one side","Stimpson_etal_2015"
7,"Pan paniscus","Lateral_nucleus",0.00357,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Whole_amygdala",0.74323,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Whole_amygdala",0.00525,"one side","Stimpson_etal_2015"
1,"Pan paniscus","Whole_amygdala",0.00174,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Whole_amygdala",0.75632,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Whole_amygdala",0.00493,"one side","Stimpson_etal_2015"
2,"Pan paniscus","Whole_amygdala",0.00189,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Whole_amygdala",0.66357,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Whole_amygdala",0.00898,"one side","Stimpson_etal_2015"
3,"Pan paniscus","Whole_amygdala",0.00176,"one side","Stimpson_etal_2015"
4,"Pan paniscus","Whole_amygdala",0.78237,"one side","Stimpson_etal_2015"
4,"Pan paniscus","Whole_amygdala",0.00035,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Whole_amygdala",0.64567,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Whole_amygdala",0.00427,"one side","Stimpson_etal_2015"
5,"Pan paniscus","Whole_amygdala",0.00114,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Whole_amygdala",0.60138,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Whole_amygdala",0.00407,"one side","Stimpson_etal_2015"
6,"Pan paniscus","Whole_amygdala",0.00159,"one side","Stimpson_etal_2015"
7,"Pan paniscus","Whole_amygdala",0.00378,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Accessory_basal_nucleus",0.11035,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Accessory_basal_nucleus",0.00258,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Accessory_basal_nucleus",0.11754,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Accessory_basal_nucleus",0.00267,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Accessory_basal_nucleus",0.10619,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Accessory_basal_nucleus",0.00269,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Accessory_basal_nucleus",0.09919,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Accessory_basal_nucleus",0.00235,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Accessory_basal_nucleus",0.08181,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Accessory_basal_nucleus",0.0024,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Accessory_basal_nucleus",0.10865,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Accessory_basal_nucleus",0.00255,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Accessory_basal_nucleus",0.09751,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Accessory_basal_nucleus",0.00278,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Basal_nucleus",0.31847,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Basal_nucleus",0.0028,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Basal_nucleus",0.25485,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Basal_nucleus",0.00261,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Basal_nucleus",0.18909,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Basal_nucleus",0.00284,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Basal_nucleus",0.3127,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Basal_nucleus",0.00269,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Basal_nucleus",0.27185,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Basal_nucleus",0.00225,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Basal_nucleus",0.16766,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Basal_nucleus",0.00294,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Basal_nucleus",0.20661,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Basal_nucleus",0.00337,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Central_nucleus",0.06746,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Central_nucleus",0.00288,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Central_nucleus",0.07259,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Central_nucleus",0.00318,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Central_nucleus",0.0514,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Central_nucleus",0.00308,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Central_nucleus",0.04619,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Central_nucleus",0.0034,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Central_nucleus",0.04467,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Central_nucleus",0.00217,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Central_nucleus",0.03773,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Central_nucleus",0.00219,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Central_nucleus",0.02024,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Central_nucleus",0.00323,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Lateral_nucleus",0.25253,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Lateral_nucleus",0.00393,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Lateral_nucleus",0.00313,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Lateral_nucleus",0.19063,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Lateral_nucleus",0.00313,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Lateral_nucleus",0.00274,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Lateral_nucleus",0.14383,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Lateral_nucleus",0.00358,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Lateral_nucleus",0.00246,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Lateral_nucleus",0.20285,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Lateral_nucleus",0.00225,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Lateral_nucleus",0.00278,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Lateral_nucleus",0.16715,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Lateral_nucleus",0.00232,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Lateral_nucleus",0.00259,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Lateral_nucleus",0.12403,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Lateral_nucleus",0.00363,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Lateral_nucleus",0.00208,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Lateral_nucleus",0.15798,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Lateral_nucleus",0.00328,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Lateral_nucleus",0.00243,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Whole_amygdala",1.06538,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Whole_amygdala",0.00349,"one side","Stimpson_etal_2015"
1,"Pan troglodytes","Whole_amygdala",0.0012,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Whole_amygdala",0.96294,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Whole_amygdala",0.00246,"one side","Stimpson_etal_2015"
2,"Pan troglodytes","Whole_amygdala",0.00148,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Whole_amygdala",0.70151,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Whole_amygdala",0.00184,"one side","Stimpson_etal_2015"
3,"Pan troglodytes","Whole_amygdala",0.0011,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Whole_amygdala",0.95921,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Whole_amygdala",0.00219,"one side","Stimpson_etal_2015"
4,"Pan troglodytes","Whole_amygdala",0.00104,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Whole_amygdala",0.85707,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Whole_amygdala",0.0016,"one side","Stimpson_etal_2015"
5,"Pan troglodytes","Whole_amygdala",0.00087,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Whole_amygdala",0.69016,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Whole_amygdala",0.00246,"one side","Stimpson_etal_2015"
6,"Pan troglodytes","Whole_amygdala",0.00181,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Whole_amygdala",0.72259,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Whole_amygdala",0.0038,"one side","Stimpson_etal_2015"
7,"Pan troglodytes","Whole_amygdala",0.0007,"one side","Stimpson_etal_2015"
