"Structure","Overall_N262_mean.mm3","Overall_N262_SD.mm3","Female_N154_mean.mm3","Female_N154_SD.mm3","Male_N108_mean.mm3","Male_N108_SD.mm3"
"Cerebral Cortex (GM)",517426,66685,490631,57077,555635,60678
"Cerebral WM",448369,55455,427040,46766,478784,52778
"Lateral Ventricle",12659,6902,11262,4941,14650,8630
"Inferior Lateral Ventricle",651,363,639,307,670,431
"Cerebellum WM",28320,3506,27375,2757,29669,3999
"Cerebellum Cortex",109909,13173,104270,9742,117948,13288
"Thalamus",14002,1518,13367,1257,14909,1397
"Caudate",7848,981,7576,883,8235,989
"Putamen",12507,1400,12060,1278,13145,1324
"Pallidum",3638,452,3477,418,3868,396
"Hippocampus",8214,889,7889,737,8677,884
"Amygdala",3540,459,3396,439,3744,407
"Accumbens",1492,266,1461,246,1536,288
"3rd Ventricle",1032,286,978,231,1108,337
"4th Ventricle",1979,576,1889,499,2108,651
"Brain Stem",21456,2385,20518,2021,22794,2220
"CSF",1195,241,1136,226,1279,239
"Total volume",1176723,125178,1119061,102916,1258945,107088
"ICV",1586302,161092,1510744,125832,1694042,143966
