Table A-11: PCF and CBLM Volume from MRI Scans,,,,
Specimen,Taxon,PCF Volume,CBLM Volume,CBLM/PCF
Gi1,Gi,7.11,9.32,1.31
Gi2,Gi,18.36,18.81,1.02
Gi3,Gi,19.82,25.98,1.31
Gi4,Gi,9.37,11.2,1.19
Or1,O,55.06,52.7,0.96
Or2,O,53.43,49.19,0.92
Or3,O,54.5,62.38,1.14
Or4,O,45.74,51.22,1.12
GO1,Go,49.38,65.71,1.33
GO2,Go,76.2,89.24,1.17
Pan1,C,37.34,56.12,1.5
Pan2,C,43.76,55.84,1.28
Pan3,C,31.38,43.46,1.38
Pan4,C,35.23,40.47,1.15
Bo1,B,37.75,54.07,1.43
Bo2,B,30.99,39.41,1.27
Bo3,B,37.51,41.82,1.11
YH2,H,141.59,153.35,1.08
YH3,H,105.1,145.47,1.38
CS1519,H,89.28,123.16,1.38
Cs1520,H,129.29,125.94,0.97
CS1523,H,86.83,100.97,1.16
CS1533,H,126.85,134.75,1.06
Cs1541,H,118.66,177.63,1.5
Cs1544,H,91.28,129.44,1.42
Cs1503,H,116.93,156.45,1.34
Cs1501,H,123.99,155.75,1.26
Cs1504,H,105.5,147.44,1.4
Cs1506,H,122.39,159.73,1.31
Cs1507,H,91.29,116.39,1.27
Cs1513,H,127.5,144.57,1.13
CS1516,H,115.93,125.84,1.09
CS1517,H,93.91,156.3,1.66
CS1518,H,75.95,147.43,1.94
