Table A-15: Data for Raw and Derived Variables,,,,,,,
Specimen,Group,CBLM (cc),BoMass (kg),BrMass (g),NetBrain (g),CQ (actual/,EQ (Martin)
C. atys (n = 4),01-NW,9.2,10.5,99.7,90.5,0.58,1.49
C. apella (n = 4),01-NW,6.5,3.2,66.5,60,0.5,2.45
S. sciureus (n = 4),01-NW,2,0.9,23.1,21.1,0.22,2.23
P. cynoceph (n = 4),02-OW,13.7,21.9,143.3,129.6,0.7,1.22
M. mulatta (n = 4),02-OW,7.1,10.4,79.1,72,0.5,1.19
Hylobates (n = 4),03-Hy,11.33,5.4,74.1,62.77,0.86,1.83
Pongo (n = 4),04-Po,48.9,73.5,433.13,384.23,1.13,1.47
Gorilla (n = 2),05-Go,67.6,85,313.14,245.54,2.23,0.95
Bonobo (n = 4),06-Bo,45.8,45.4,332.42,286.62,1.34,1.63
Chimp I,07-PanS,46.22,54.2,345.95,299.73,1.3,1.48
STS 19,08-Aust,42.09,45,450.59,408.5,0.92,2.23
KNM-ER 23000,08-Aust,50.32,46,466.76,416.44,1.08,2.27
KNM-ER 1813,09-HH,57.8,32,495.28,437.48,1.19,3.17
KNM-ER 1805,09-HH,53.29,32,546.07,492.78,0.99,3.49
KNM-ER 1470,09-HH,69.65,52,710.95,641.29,1.03,3.15
Zh Loc E /III,10-HE,98.37,61.8,859.54,761.17,1.25,3.34
KNM-WT 15000,10-HE,77.73,68,823.52,745.79,1,2.97
Pith VIII /Sangiran 17,10-HE,90.05,61.8,949.01,858.96,1.02,3.68
KNM-ER 3733,10-HE,89.11,61.8,765.1,675.99,1.26,2.97
KNM-ER 3883,10-HE,64.29,61.8,722.47,658.19,0.93,2.8
Trinil 2/Pith I,10-HE,98.32,61.8,928.2,829.89,1.15,3.6
Zhoukoudian Locus LI,10-HE,92.59,61.8,1162.65,1070.06,0.86,4.51
Broken Hill/Kabwe,11-EAH,116.48,65.6,1205.39,1088.92,1.06,4.47
Swanscombe,11-EAH,82.58,65.6,1184.63,1102.06,0.74,4.39
La Chapelle I,12-LAH,119.01,76.41,1516.76,1397.74,0.86,5.01
La Ferrassie I,12-LAH,118.33,84.99,1575.83,1457.5,0.82,4.8
Gibraltar/Forbes Quarry,12-LAH,81.71,76,1185.58,1103.87,0.74,3.93
Cro-Magnon,13-EMH,118.92,67.55,1477.34,1358.42,0.88,5.36
Homo sapiens (MRI),14-RH,140.5,58.2,1302,1161.5,1.21,5.29
