Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Specimen,taxon (extant) or fossil specimen identifier as printed (n annotation removed),,,,info,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,extant rows are taxon means; fossil rows are single specimens,
Specimen_printed,specimen cell exactly as printed (includes the n annotation),,,,info,,Weaver__2001_TableA-15,preserved printed value,
Group_code,group code as printed in Table A-15,,,,info,,Weaver__2001_TableA-15,"01-NW ... 14-RH",
Group_label,expanded group name (grouping follows Weaver 2001; expanded from the printed code),,,,info,,Weaver__2001_TableA-15,"NW/OW New & Old World monkeys; Hy Hylobates; Po Pongo; Go Gorilla; Bo Bonobo; PanS Pan; Aust Australopithecus; HH Homo habilis; HE Homo erectus; EAH/LAH early/late archaic H. sapiens; EMH early modern; RH recent H. sapiens",
n,number of individuals averaged (extant taxa only; printed as '(n = X)'),Cerebellum,,n,info,,Weaver__2001_TableA-15,NA for single fossil specimens,snapshot 'Specimen' (n = ...)
CBLM_cc,cerebellum volume as printed (cc),Cerebellum,Vol.cc,,primary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,MRI volume (extant) or calibrated volume from virtual endocast models (fossils),snapshot 'CBLM (cc)'
CBLM_Vol.mm3,cerebellum volume in project units (mm3),Cerebellum,Vol.mm3,,primary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,cc x 1000,
BoMass_kg,body mass as printed (kg),,Mass.kg,,primary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,measured (extant) or estimated by formula (fossils); see Notes for sources,snapshot 'BoMass (kg)'
Body_Mass.g,body mass in project units (g),,Mass.g,,primary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,kg x 1000,
BrMass_g,brain mass as printed (g),Brain,Mass.g,,primary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,from measured brain volume (extant) or endocranial volume via Ruff et al. 1997 (fossils),snapshot 'BrMass (g)'
Brain_Mass.mg,brain mass in project units (mg),Brain,Mass.mg,,primary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,g x 1000,
NetBrain_g,net brain mass as printed (g); NetBrain = BrMass - CBLM,NetBrain,Mass.g,,secondary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,derived (brain minus cerebellum),snapshot 'NetBrain (g)'
NetBrain_Mass.mg,net brain mass in project units (mg),NetBrain,Mass.mg,,secondary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,g x 1000,
CQ,cerebellar quotient = actual/predicted cerebellum size (relative index),Cerebellum,size.index,,secondary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,"printed header truncated as 'CQ (actual/'; empirically based on the present sample (Table 11-2: CQ relates CBLM to NetBrain)",snapshot 'CQ (actual/'
EQ,encephalization quotient (Martin 1990 regression),NetBrain,size.index,,secondary,"monkeys, apes, fossil hominids, humans",Weaver__2001_TableA-15,relative index; EQ = NetBrain/BoMass expressed as observed/expected via Martin 1990,snapshot 'EQ (Martin)'
Method:units,"structure volume -> mm3 (cc x 1000); body mass -> g (kg x 1000); brain/net-brain mass -> mg (g x 1000)",,,,method,,Weaver__2001_TableA-15,project-standard unit conversions,
Method:sources,"data provenance per variable and taxon group is given in Weaver__2001_NotesforTableA-15",,,,method,,Weaver__2001_TableA-15,see the Notes item,
