"species_sci","Species","MSW3_ID","Family","Diet_Inv","Diet_Vend","Diet_Vect","Diet_Vfish","Diet_Vunk","Diet_Scav","Diet_Fruit","Diet_Nect","Diet_Seed","Diet_PlantO","Diet_dominant","Diet_breadth","Trophic_guild","Diet_Certainty","ForStrat_Value","ForStrat_stratum","ForStrat_Certainty","Activity_Nocturnal","Activity_Crepuscular","Activity_Diurnal","Activity_pattern","Activity_Certainty","BodyMass.g","BodyMass_SpecLevel"
"Tachyglossus aculeatus","Tachyglossus aculeatus","1","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",3025,"1"
"Zaglossus attenboroughi","Zaglossus attenboroughi","2","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",8532.39,"0"
"Zaglossus bartoni","Zaglossus bartoni","3","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","G","Ground","A","1","0","0","Nocturnal","ABC",7180,"1"
"Zaglossus bruijni","Zaglossus bruijni","4","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",10139.5,"1"
"Ornithorhynchus anatinus","Ornithorhynchus anatinus","5","Ornithorhynchidae",80,0,0,20,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",1484.25,"1"
"Caluromys philander","Caluromys philander","6","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Other plant",5,"Herbivore","ABC","Ar","Arboreal","A","1","1","0","Nocturnal","ABC",229.25,"1"
"Caluromys derbianus","Caluromys derbianus","7","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Other plant",5,"Herbivore","ABC","Ar","Arboreal","A","1","1","0","Nocturnal","ABC",297,"1"
"Caluromys lanatus","Caluromys lanatus","8","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Other plant",5,"Herbivore","ABC","Ar","Arboreal","A","1","1","0","Nocturnal","ABC",325,"1"
"Caluromysiops irrupta","Caluromysiops irrupta","9","Didelphidae",20,0,0,0,0,0,20,40,0,20,"Nectar",4,"Herbivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",250,"1"
"Glironia venusta","Glironia venusta","10","Didelphidae",40,0,0,0,20,0,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",114,"1"
