Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,accepted species binomial,,Species,,primary,Primates,Young_etal_2013_Table1,Saimiri sciuresis->sciureus (typo); two Papio labels = homotypic synonyms,
species_as_published,species name exactly as printed,,Species,,info,Primates,Young_etal_2013_Table1,verbatim; incl. "Macaca nemenstrina" (misspelled),
species_note,note printed in the source table,,,,info,Primates,Young_etal_2013_Table1,,
specimen_source,institution the brain came from,,,,info,Primates,Young_etal_2013_Table1,Vanderbilt / Texas Biomedical / Washington NPRC,
n_hemispheres,number of cortical hemispheres averaged,,,n,info,Primates,Young_etal_2013_Table1,values are means over this many hemispheres,
M1_mass_g,primary motor cortex (M1) tissue mass,M1,Mass.g,mean,primary,Primates,Young_etal_2013_Table1,,
M1_mass_g_sd,SD of M1 mass,M1,Mass.g,sd,info,Primates,Young_etal_2013_Table1,,
M1_pct_total_mass,M1 mass as percent of total cortical mass,M1,pct,mean,primary,Primates,Young_etal_2013_Table1,,
M1_pct_total_mass_sd,SD,M1,pct,sd,info,Primates,Young_etal_2013_Table1,,
M1_area_mm2,M1 cortical surface area (REGIONAL - motor cortex only),M1,Area.mm2,mean,primary,Primates,Young_etal_2013_Table1,regional sub-trait; not whole-cortex surface; NA for Macaca nemestrina,
M1_area_mm2_sd,SD of M1 surface area,M1,Area.mm2,sd,info,Primates,Young_etal_2013_Table1,,
M1_pct_total_area,M1 area as percent of total cortical surface area,M1,pct,mean,primary,Primates,Young_etal_2013_Table1,,
M1_pct_total_area_sd,SD,M1,pct,sd,info,Primates,Young_etal_2013_Table1,,
M1_cell_density_per_g_M,M1 total-cell density (millions of cells per gram),M1,Density.per_g,mean,primary,Primates,Young_etal_2013_Table1,units = millions/g,
M1_cell_density_per_g_M_sd,SD,M1,Density.per_g,sd,info,Primates,Young_etal_2013_Table1,,
M1_cell_density_per_mm2_M,M1 total-cell density (millions per mm2 surface),M1,Density.per_mm2,mean,primary,Primates,Young_etal_2013_Table1,units = millions/mm2; NA where area not measured,
M1_cell_density_per_mm2_M_sd,SD,M1,Density.per_mm2,sd,info,Primates,Young_etal_2013_Table1,,
M1_pct_neurons,percent of M1 cells that are neurons (NeuN+),M1,pct,mean,primary,Primates,Young_etal_2013_Table1,,
M1_pct_neurons_sd,SD,M1,pct,sd,info,Primates,Young_etal_2013_Table1,,
M1_neuron_density_per_g_M,M1 neuron density (millions of neurons per gram),M1,Density.per_g,mean,primary,Primates,Young_etal_2013_Table1,units = millions/g,
M1_neuron_density_per_g_M_sd,SD,M1,Density.per_g,sd,info,Primates,Young_etal_2013_Table1,,
M1_neuron_density_per_mm2_M,M1 neuron density (millions per mm2 surface),M1,Density.per_mm2,mean,primary,Primates,Young_etal_2013_Table1,NA where area not measured,
M1_neuron_density_per_mm2_M_sd,SD,M1,Density.per_mm2,sd,info,Primates,Young_etal_2013_Table1,,
M1_pct_neuron_diff_from_avg,percent difference of M1 neuron density from the whole-cortex average,M1,pct,mean,primary,Primates,Young_etal_2013_Table1,negative = M1 below cortical average,
M1_pct_neuron_diff_from_avg_sd,SD,M1,pct,sd,info,Primates,Young_etal_2013_Table1,,
specimen_overlap_Collins2010,whether the specimens are shared with Collins et al. 2010,,,,info,Primates,Young_etal_2013_Table1,likely_same_specimens (Vanderbilt galago & owl monkey) / unconfirmed (baboon) / no,
source,source identifier,,Source,,info,Primates,Young_etal_2013_Table1,,
