Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,accepted species binomial (olive baboon),,Species,,info,Primates,Young_etal_2013_b_Table1,all four cases are anubis-type baboons; matches Collins 2010 spelling,
species_as_published,species label expanded from the Table S1 code,,Species,,info,Primates,Young_etal_2013_b_Table1,PHA / PHX,
species_code,species code as printed in Table S1,,,,info,Primates,Young_etal_2013_b_Table1,PHA=Papio hamadryas anubis; PHX=P. hamadryas anubis/cynocephalus hybrid,
case,case / animal identifier,,,,info,Primates,Young_etal_2013_b_Table1,09-27 11-31 normal; 10-04 11-45 epileptic,
neurological_condition,Normal or Epilepsy,,,,info,Primates,Young_etal_2013_b_Table1,study design variable,
region,cortical region the row summarises,,,,info,Primates,Young_etal_2013_b_Table1,Cortex (all areas) / V1 / S1 / M1,
total_cells,total number of cells in the region,Neocortex,count,,secondary,Primates,Young_etal_2013_b_Table1,converted from printed millions/billions,isotropic/flow fractionator
cell_density_per_cm2,cell density per cm2 of cortical surface,Neocortex,Density.per_cm2,,secondary,Primates,Young_etal_2013_b_Table1,source header typo "Cell censity",
total_neurons,total number of neurons (NeuN+) in the region,Neocortex,count,,secondary,Primates,Young_etal_2013_b_Table1,,
neuron_density_per_cm2,neuron density per cm2 of cortical surface,Neocortex,Density.per_cm2,,secondary,Primates,Young_etal_2013_b_Table1,,
pct_neurons,average percent of cells that are neurons,Neocortex,pct,,secondary,Primates,Young_etal_2013_b_Table1,,
age_y,age in years (Table S1),,,,info,Primates,Young_etal_2013_b_Table1,,
sex,sex (Table S1),,,,info,Primates,Young_etal_2013_b_Table1,all Female,
body_weight_kg,body weight (Table S1),,Mass.kg,,info,Primates,Young_etal_2013_b_Table1,,
brain_weight_g,brain weight (Table S1),WholeBrain,Mass.g,,info,Primates,Young_etal_2013_b_Table1,NA for case 11-31,
hemisphere,cortical hemisphere analysed,,,,info,Primates,Young_etal_2013_b_Table1,,
cortical_surface_area_cm2,total cortical surface area of the hemisphere (Table S1),Neocortex,Area.cm2,,secondary,Primates,Young_etal_2013_b_Table1,x100 for mm2; 09-27 = 186 cm2 = the Collins 2010 baboon (18577 mm2),
perfusion_method,perfusion / fixation method (Table S1),,,,info,Primates,Young_etal_2013_b_Table1,,
specimen_duplicate_of,Item this specimen is duplicated from,,,,info,Primates,Young_etal_2013_b_Table1,case 09-27 = Collins_etal_2010_DatasetS1 (same brain),
comparative_use,whether the row may be used as comparative data,,,,info,Primates,Young_etal_2013_b_Table1,include (11-31 only) / exclude_epileptic / exclude_duplicate_Collins2010,
source,source identifier,,Source,,info,Primates,Young_etal_2013_b_Table1,,
