structure,status,volume_mm3_snap,value_csv,csv_column
Medulla oblongata,matched,5500,5500,Medulla_oblongata
Cerebellum (without pons),matched,42900,42900,Cerebellum
Pons,snapshot_only_not_in_csv,4300,NA,NA
Mesencephalon,matched,4000,4000,Mesencephalon
Diencephalon,matched,13500,13500,Diencephalon
Telencephalon,matched,238300,238300,Telencephalon
Neocortex,matched,219800,219800,Neocortex
Gray (without area striata),snapshot_only_not_in_csv,129900,NA,NA
Gray area striata,snapshot_only_not_in_csv,8400,NA,NA
White matter,snapshot_only_not_in_csv,81500,NA,NA
Hippocampus,matched,2700,2700,Hippocampus
Regio entorhinalis,snapshot_only_not_in_csv,1300,NA,NA
Paleocortex,matched,2400,2400,Palaeocortex
Regio praepiriformis,snapshot_only_not_in_csv,1000,NA,NA
Corpus amygdaloideum,matched,1400,1400,Amygdala
Septum,matched,600,600,Septum
Corpus striatum,matched,11500,11500,Striatum
Globus pallidus,matched,1800,1800,Pallidum
Body_weight,csv_only_not_in_snapshot,NA,54000,Body_weight
Brain_weight,csv_only_not_in_snapshot,NA,333000,Brain_weight
Lobus_piriformis,csv_only_not_in_snapshot,NA,3800,Lobus_piriformis
