"species_sci","Species","Common_name","Order","Family","Brain_size","GI","Ref","GI_method"
"Zaglossus bruijni","Zaglossus bruijni","Western long-beaked echidna","Monotremata","Tachyglossidae",53,1.51,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Marmosa sp.","Marmosa sp.","Mouse opossum","Didelphimorhia","Didelphidae",1.24,1.01,"[5]","stereological (formalin-fixed, histology)"
"Didelphis virginiana","Didelphis virginiana","Opossum","Didelphimorhia","Didelphidae",4.25,1.11,"[5]","stereological (formalin-fixed, histology)"
"Sarcophilus harrisii","Sarcophilus harrisii","Tasmanian devil","Dasyuromorphia","Dasyuridae",15,1.33,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Wallabia rufogrisea","Wallabia rufogrisea","Wallaby","Diprotodontia","Macropodidae",25,1.23,"[5]","stereological (formalin-fixed, histology)"
"Macropus melanops","Macropus melanops","Kangaroo","Diprotodontia","Macropodidae",39,1.41,"[5]","stereological (formalin-fixed, histology)"
"Trichosurus vulpecula","Trichosurus vulpecula","Common brushtail possum","Diprotodontia","Phalangeridae",12.5,1.23,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Loxodonta africana","Loxodonta africana","African elephant","Proboscidea","Elephantidae",4925,3.81,"[7]","brain-surface coverage with paper (formalin-fixed postmortem)"
"Castor canadensis","Castor canadensis","North American beaver","Rodentia","Castoridae",39,1.02,"[4]","contour-based (Wisconsin/MSU collections)"
"Mesocricetus auratus","Mesocricetus auratus","Hamster","Rodentia","Cricetidae",0.9,1.01,"[4]","contour-based (Wisconsin/MSU collections)"
"Rattus norvegicus","Rattus norvegicus","Rat","Rodentia","Muridae",2.48,1.02,"[4]","contour-based (Wisconsin/MSU collections)"
"Mus musculus","Mus musculus","Mouse","Rodentia","Muridae",0.65,1.03,"[4]","contour-based (Wisconsin/MSU collections)"
"Dolichotis patagonum","Dolichotis patagonum","Patagonian mara","Rodentia","Caviidae",29,1.42,"[87]","stereological (formalin-fixed, histology)"
"Hydrochaeris hydrochaeris","Hydrochaeris hydrochaeris","Capybara","Rodentia","Caviidae",51,1.3,"[4]","contour-based (Wisconsin/MSU collections)"
"Dasyprocta leporina","Dasyprocta leporina","Agouti","Rodentia","Dasyproctidae",17.2,1.23,"[4]","contour-based (Wisconsin/MSU collections)"
"Oryctolagus cuniculus","Oryctolagus cuniculus","Rabbit","Lagomorpha","Leporidae",12,1.15,"[87]","stereological (formalin-fixed, histology)"
"Vulpes vulpes","Vulpes vulpes","Fox","Carnivora","Canidae",45,2.01,"[5]","stereological (formalin-fixed, histology)"
"Vulpes vulpes","Vulpes vulpes","Fox","Carnivora","Canidae",45,1.8,"[87]","stereological (formalin-fixed, histology)"
