Species,V1,V2,MT,DM,DL,FST,MST,VPP,VP,CT,Vr,A1,R,A1+R,S1/3b,SII,3a,PV,1,2,SII+PV,M1,FEF,FV,SMA,FR,MST,Visual_Acuity,Sound_localisation,Auditory_acuity_Low,Auditory_Acuity_High
Aotus_trivirgatus,177.1979,90.88745,25.3053,24.06225,,21.34862,,14.65989,,,,10.90546506,,,38.72041,7.34969,22.00312,6.99389,16.28666,14.00999,,22.42880418,5.17759,5.20159,14.138356,5.45489,16.45345,10,,,49.5
Callithrix_jacchus,132.1001232,70.27755793,15.81922732,14.30358765,,8.696748807,,,,,,4.570523549,2.177328128,,27.36412995,4.867103128,13.2535665,5.453028638,10.19487544,,,14.48785532,2.460582565,3.371641529,7.416773783,,,30,15,,30
Cheirogaleus_medius,61.48046875,,5.1640625,,,,,,,,,,,9.890625,18.08984375,,,,,,,,,,,,,2.84,,,
Galago_senegalensis,90.14737144,31.1806952,10.33524849,3.326055731,12.89255961,9.66561333,9.892559609,,,,,3.929330652,,,20.57483482,2.61763861,,2.647802356,,,,11.91180695,1.496696352,3.679689744,,,,6.7,,0.36,47
Homo_sapiens,2325.52133,2057.971,316.9370835,,,,,,565.0299756,,,139.6825397,,,1234.46712,,,,,,,669.103838,,,,,,64,1.3,0.031,17.6
Macaca_mulatta,24.14269521,10.19787907,58.55417343,,,63.50579893,,,86.94189051,,,23.84472087,224.1860465,,136.0014422,107.5416141,114.2479418,,126.5789316,,,,75.23586323,,81.5575987,,32.18556577,53.6,5,0.028,37
Otolemur_garnettii,51.12970036,31.1806952,10.33524849,3.326055731,12.89255961,9.66561333,9.892559609,,,,,7.55891734,,,57.08762309,2.61763861,,2.647802356,,,,11.91180695,1.496696352,3.679689744,,,,,,0.092,65
Nycticebus_coucang,166.4839261,75.40020175,18.48603131,,,,,,,,,26.91110039,,,75.60194728,,19.31494233,,,,,49.34871278,,,,,,,,0.083,44
Saguinus_fuscicollis,115.48545,95.9793,25.13177,,36.73544,,,,,,,24.97702,455.2259,,34.22983,5.57739,,,,,,,,,,,,24.87,,,
Saimiri_sciureus,578.6772735,271.372013,32.40362126,42.96226314,136.2423611,87.62987394,,,,,,,,,47.28005827,13.36460398,34.32868866,12.11079045,26.64656109,,,36.09854119,10.44374257,10.86705582,,,,40.5,6,0.1,43
Pteropus_niger,94.99245,31.33838,14.05858,,,,,,,,,5.34079,,,22.37023,8.3715,16.69762587,8.09821,,,,,,3.525227,10.67927,,,5.5,15,3.7,104
Tupaia_belangeri,79.9626,23.25532,,,,,,,,,,14.42944,,,,,,,,,,,,,,,,2.4,,1.8,44
Rattus_norvegicus,10.42333333,,,,,,,,,,,9.227777778,,,32.58333333,6.836666667,,,,,,,,,,,,1.6,12.8,0.53,70.5
Otospermophilus_beecheyi,16.28692626,5.108367531,,,,,,,,,,,,,22.05173334,2.149617962,,1.994880915,,,,,,,,,,4,,,
Dasyurus_hallucatus,25.33544763,7.544259601,,,,,,,,,,3.817726974,39.2737574,,13.88226671,,,,,,,,,,,,,2.8,,,
Didelphis_marsupialis,29.63485447,14.97745545,,,,,,,,4.041206321,,4.326688752,,,22.06512481,16.42363635,,11.16641316,,,,,,,,,,1.25,4.6,1.03,68
Sminthopsis_crassicaudata,3.265914785,,,,,,,,,0.495110123,,0.410548796,,,1.715742221,,,,,,,,,,,,,2.36,,,
Monodelphis_domestica,11.28381188,,,,,,,,,2.162340628,,1.846683859,,,7.691839727,,,,,,,,,,,,,,,3.6,77
Ornithorhynchus_anatinus,35.70068027,,,,,,,,,,20.97052154,3.446712018,,,75.93650794,,,36.49886621,,,,121.2879819,,,,,,1.8,,,
Tachyglossus_aculeatus,13.96434287,,,,,,,,,,8.393461404,4.45670517,,,235.4254506,,,75.28117817,,,,102.0585484,,,,,,1.69,,2.3,18.4
Echinops_telfairi,1.277046157,,,,,,,,,,,1.01731939,,,2.417820088,,,,,,1.196766974,,,,,,,,,2,40
Erinaceus_europaeus,11.16326531,6.484693878,,,,,,,,,,6.489795918,,,15.50510204,,,8.408163265,,,,10.45918367,,,,,,,19,0.52,59.5
Sciurus_carolinensis,26.10062572,11.4137591,,,,,,,,,,2.990320651,2.259286528,,40.29111114,4.389213108,,5.32180808,,,,27.31901593,,,,,,3.9,,,
Nannospalax_galili,3.696483261,,,,,,,,,,,2.338656653,,,21.00957124,,,,,,,,,,,,,,30,0.054,5.9
Mustela_putorius,12.46544912,15.72030403,,,,,,,,,,7.820105953,,,29.55176881,,,,,,,,,,,,,3.57,12.9,0.036,44
Mus_musculus,2.638659719,1.661460226,,,,,,,,,,0.782643939,,,8.253135092,1.884756942,,,,,,,,,,,,0.49,7,2.3,92
