Species,A1,DM,FEF,FST,FV,MT,PV,R,S1/3b,SII,SMA,V1,V2,VPP,NA,A1+R,1,SII+PV,M1,DL,MST,VP,3a,Vr
Callithrix_jacchus,4.387042113271769,13.991934808793916,2.406544082052647,8.358866690586588,3.3150191404908305,15.61397165789193,5.309332863104204,2.1690635488974133,19.866590827868286,4.8463205028644385,14.182793299685638,126.78622652797708,70.01419001541717,8.423443474825651,32.621125666553276,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus_medius,NA,NA,NA,NA,NA,5.1640625,NA,NA,18.08984375,NA,NA,61.48046875,NA,NA,NA,9.890625,NA,NA,NA,NA,NA,NA,NA,NA
Dasyurus_hallucatus,3.817726973941431,NA,NA,NA,NA,NA,NA,39.273757404069016,13.882266705461294,NA,NA,25.33544762728559,7.5442596010569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didelphis_marsupialis,4.326688752134155,NA,NA,NA,NA,NA,11.16641316304212,NA,22.06512480740197,16.423636345429784,NA,29.634854466672294,14.977455447456178,NA,4.041206320771878,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinops_telfairi,NA,NA,NA,NA,NA,NA,NA,NA,2.417820087998249,NA,NA,1.2770461569700573,NA,NA,31.89527544739098,NA,1.0173193897046202,1.1967669743607403,NA,NA,NA,NA,NA,NA
Erinaceus_europaeus,6.489795918367347,NA,NA,NA,NA,NA,8.408163265306122,NA,15.505102040816327,NA,NA,11.16326530612245,6.48469387755102,NA,NA,NA,NA,NA,10.459183673469388,NA,NA,NA,NA,NA
Galago_senegalensis,3.9293306521114624,3.3260557311117496,1.4966963516230969,9.665613329503016,3.679689744326343,10.335248491812697,2.6478023556449295,NA,20.574834817581156,2.6176386095949438,NA,90.14737144498707,31.18069520252801,NA,NA,NA,NA,NA,11.91180695202528,12.89255960930767,9.89255960930767,NA,NA,NA
Homo_sapiens,139.68253968253967,NA,NA,NA,NA,316.937083477573,NA,NA,1234.4671201814058,NA,NA,2325.532255300258,2057.970600725565,NA,NA,NA,NA,NA,669.1038379641936,NA,NA,565.0299756492067,NA,NA
Macaca_mulatta,23.844720870140016,NA,75.23586322937324,63.505798930352746,NA,58.5541734270777,NA,224.1860465116279,136.00144222102037,107.54161408569196,81.55759870200109,24.142695205787586,10.197879066231087,NA,41.31963223363981,NA,126.57893155459408,NA,NA,NA,32.185565771287784,86.94189051138754,114.24794183041885,NA
Monodelphis_domestica,1.846683859,NA,NA,NA,NA,NA,NA,NA,7.691839727,NA,NA,11.28381188,NA,NA,2.162340628,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus_musculus,0.7826439385643564,NA,NA,NA,NA,NA,NA,NA,8.253135092261985,1.8847569424466493,NA,2.638659719425309,1.661460225511621,NA,0.24982701993720982,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela_putorius,7.820105953380808,NA,NA,NA,NA,NA,NA,NA,29.55176881330221,NA,NA,12.465449119997913,15.72030403032398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nannospalax_galili,2.3386566526155574,NA,NA,NA,NA,NA,NA,NA,21.00957123989058,NA,NA,3.69648326103306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nycticebus_coucang,26.911100390333758,NA,NA,NA,NA,18.486031314416035,NA,NA,75.6019472830139,NA,NA,166.4839261435902,75.40020174553747,NA,NA,NA,NA,NA,49.34871277575545,NA,NA,NA,19.314942327090918,NA
Ornithorhynchus_anatinus,3.4467120181405897,NA,NA,NA,NA,NA,36.49886621315193,NA,75.93650793650794,NA,NA,35.70068027210884,NA,NA,146.63038548752834,NA,NA,NA,121.28798185941044,NA,NA,NA,NA,20.970521541950113
Otolemur_garnettii,7.558917340209669,11.52836270682484,5.23251897740721,2.4840948302616317,NA,24.626180732648113,2.7994877651799768,2.9001131301301157,57.08762309133911,1.9133838051712933,6.169686555450292,51.129700363619705,41.10921625992829,NA,NA,NA,NA,NA,54.388760691109276,43.74950568653043,6.719371384879408,NA,22.819429776901593,NA
Otospermophilus_beecheyi,NA,NA,NA,NA,NA,NA,1.9948809152246156,208.28371779605476,22.051733335901698,2.1496179621256877,NA,16.286926262587304,5.108367530734075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pteropus_niger,5.3407941828399235,NA,NA,NA,3.5252273936267082,14.058582547282867,8.098219556721858,NA,22.370230831799244,8.371501542643351,10.679270744577673,94.99245646330846,31.338378927264955,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.697625872520156,NA
Rattus_norvegicus,9.227777777777778,NA,NA,NA,NA,NA,NA,NA,32.583333333333336,NA,NA,10.423333333333334,NA,NA,NA,NA,NA,6.836666666666667,NA,NA,NA,NA,NA,NA
Saguinus_fuscicollis,24.977017893488814,NA,NA,NA,NA,25.131772234867526,NA,455.2259255520141,34.22982988527726,5.577396384044047,NA,115.48542725386346,95.97930813314733,NA,NA,NA,NA,NA,NA,36.73543579421269,NA,NA,NA,NA
Saimiri_sciureus,NA,42.9622631417996,10.443742567337482,87.62987394080197,10.867055815579302,32.40362126422506,12.110790454461222,NA,47.280058273866175,13.364603980206041,NA,578.6772734560587,271.37201300622297,NA,NA,NA,26.646561088136302,NA,36.098541188164376,136.24236105794358,NA,NA,34.32868865503905,NA
Sciurus_carolinensis,3.5960895897877236,NA,NA,NA,NA,NA,4.990548489154872,2.7390575041915874,40.17544483888109,4.511472440105671,NA,24.203635307354894,16.535208156391487,NA,NA,NA,NA,NA,23.313674323428124,NA,NA,NA,NA,NA
Sminthopsis_crassicaudata,0.4105487961041255,NA,NA,NA,NA,NA,NA,NA,1.7157422210184525,NA,NA,3.265914784759084,NA,NA,0.49511012321168224,NA,NA,NA,NA,NA,NA,NA,NA,NA
