"Standard_old","DosSantos2017_old"
"Body_Mass_g","MBD"
"Cerebellum_Mass_g","MCB"
"Cerebellum_N_n","NCB"
"Cerebellum_Nmg","DNCB"
"Cerebellum_ON","O/NCB"
"CerebralCortex_Mass_g","MCX"
"CerebralCortex_N_n","NCX"
"CerebralCortex_Nmg","DNCX"
"CerebralCortex_ON","O/NCX"
"CerebralCortexGreyMatter_N_n","NGM"
"CerebralCortexGreyMatter_Nmg","DNGM"
"CerebralCortexGreyMatter_ON","O/NGM"
"DiencephalonStriatum_Mass_g","MD+S"
"DiencephalonStriatum_N_n","ND+S"
"DiencephalonStriatum_Nmg","DND + S"
"DiencephalonStriatum_ON","O/ND+S "
"Hippocampus_Mass_g","MHP"
"Hippocampus_N_n","NHP"
"Hippocampus_Nmg","DNHP"
"Hippocampus_ON","O/NHP"
"Mesencephalon_Mass_g","MMES"
"Mesencephalon_N_n","NMES"
"Mesencephalon_Nmg","DNMES"
"Mesencephalon_ON","O/NMES"
"MesencephalonDiencephalonStriatum_Mass_g","MMES+D+S"
"MesencephalonDiencephalonStriatum_N_n","NMES+D+S"
"MesencephalonDiencephalonStriatum_Nmg","DNMES+D+S"
"MesencephalonDiencephalonStriatum_ON","O/NMES+D+S"
"OlfactoryBulb_Mass_g","MOB"
"OlfactoryBulb_N_n","NOB"
"OlfactoryBulb_Nmg","DNOB"
"OlfactoryBulb_ON","O/NOB"
"PonsMedulla_Mass_g","MP+M"
"PonsMedulla_N_n","NP+M"
"PonsMedulla_Nmg","DNP+M"
"PonsMedulla_ON","O/NP+M"
"RoB_Mass_g","MROB"
"RoB_N_n","NROB"
"RoB_Nmg","DNROB"
"RoB_ON","O/NROB"
"WholeBrain_Mass_g","MBR"
"WholeBrain_N_n","NBR"
"WholeBrain_ON","O/NBR"
