JardimMessender2017_old,Standard_old
MBD.kg,Body_Mass_kg
MBR.g,WholeBrain_Mass_g
MCxT.g,CerebralCortex_Mass_g
MHP.g,Hippocampus_Mass_g
MCB.g,Cerebellum_Mass_g
MRoB.g,RoB_Mass_g
MOB.g,OlfactoryBulb_Mass_g
NBR,WholeBrain_N_n
NCxT,CerebralCortex_N_n
NHP,Hippocampus_N_n
NCB,Cerebellum_N_n
NRoB,RoB_N_n
NOB,OlfactoryBulb_N_n
OBR,WholeBrain_O_n
OCxT,CerebralCortex_O_n
OHP,Hippocampus_O_n
OCB,Cerebellum_O_n
ORoB,RoB_O_n
OOB,OlfactoryBulb_O_n
DNCxT,CerebralCortex_Nmg
DNHP,Hippocampus_Nmg
DNCB,Cerebellum_Nmg
DNRoB,RoB_Nmg
DNOB,OlfactoryBulb_Nmg
O/NBR,WholeBrain_ON
O/NCXT,CerebralCortex_ON
O/NHP,Hippocampus_ON
O/NCB,Cerebellum_ON
O/NRoB,RoB_ON
O/NOB,OlfactoryBulb_ON
