"species"	"specimen"	"age"	"sex"	"hemispheres_cm3"	"AC_L"	"AC_R"	"AC_total"	"BLD_L"	"BLD_R"	"BLD_total"	"lateral_L"	"lateral_R"	"lateral_total"	"basal_L"	"basal_R"	"basal_total"	"accessory_basal_L"	"accessory_basal_R"	"accessory_basal_total"	"section_plane"	"note"	"source"
"Homo sapiens"	"SN207/84"	"75"	"M"	1151.0	2.032	1.773	3.805	1.191	1.233	2.424	0.551	0.595	1.146	0.452	0.429	0.881	0.1879	0.2085	0.3964	"coronal"	"NA"	"Barger_etal_2007"
"Pan troglodytes"	"Bathsheba"	"24"	"F"	286.0	0.584	0.561	1.145	0.379	0.353	0.732	0.126	0.105	0.231	0.183	0.187	0.37	0.0701	0.0615	0.1316	"coronal"	"NA"	"Barger_etal_2007"
"Pan troglodytes"	"Schimp"	"22"	"F"	318.0	0.685	0.733	1.418	0.432	0.477	0.909	0.138	0.136	0.274	0.224	0.255	0.479	0.0701	0.087	0.1571	"coronal"	"NA"	"Barger_etal_2007"
"Pan troglodytes"	"YN89-278"	"22"	"M"	326.0	0.634	0.748	1.382	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"axial"	"axial sections; subnuclei not collected"	"Barger_etal_2007"
"Pan paniscus"	"Zahlia"	"11"	"F"	248.0	0.623	0.66	1.283	0.417	0.445	0.862	0.124	0.137	0.261	0.223	0.236	0.459	0.0695	0.0721	0.1416	"coronal"	"NA"	"Barger_etal_2007"
"Pan paniscus"	"YN86-137"	"2"	"F"	304.0	0.654	0.634	1.288	0.425	0.42	0.845	0.159	0.164	0.323	0.203	0.191	0.394	0.0623	0.066	0.1283	"coronal"	"NA"	"Barger_etal_2007"
"Gorilla gorilla"	"YN82-140"	"20"	"F"	300.0	0.651	0.655	1.306	0.442	0.423	0.865	0.1	0.1	0.2	0.247	0.238	0.485	0.0958	0.0855	0.1813	"coronal"	"NA"	"Barger_etal_2007"
"Pongo pygmaeus"	"Harry"	"37"	"M"	351.0	0.688	0.66	1.348	0.447	0.422	0.869	0.121	0.127	0.248	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"coronal"	"basal & accessory basal not discriminable (tissue damage)"	"Barger_etal_2007"
"Pongo pygmaeus"	"Briggs"	"34"	"M"	279.0	0.528	0.52	1.048	"NA"	0.308	"NA"	"NA"	0.105	"NA"	"NA"	0.151	"NA"	"NA"	0.0516	"NA"	"coronal"	"left temporal damage; left subnuclei not collected (right hemisphere doubled in Barger's analysis)"	"Barger_etal_2007"
"Pongo pygmaeus"	"YN85-38"	"16"	"M"	309.0	0.637	0.514	1.151	0.415	0.307	0.722	0.124	0.105	0.229	0.228	0.153	0.381	0.0622	0.0489	0.1111	"coronal"	"NA"	"Barger_etal_2007"
"Hylobates lar"	"Disco"	"22"	"F"	93.2	0.27	0.367	0.637	0.169	0.179	0.348	0.06	0.054	0.114	0.086	0.086	0.172	0.0223	0.0387	0.061	"coronal"	"NA"	"Barger_etal_2007"
"Hylobates lar"	"YN81-146"	"Adult"	"F"	68.3	0.203	0.204	0.407	0.13	0.129	0.259	0.046	0.041	0.087	0.063	0.065	0.128	0.0206	0.0236	0.0442	"coronal"	"NA"	"Barger_etal_2007"
