"Infraclass"	"Order"	"Suborder"	"Parvorder"	"Family"	"Scientific name"	"ILA Pial Dorsal"	"ILA Pial Ventral"	"ILA Subpial Dorsal"	"ILA Subpial Ventral"
"Metatheria"	"Diprotodontia"	"Macropodidae"	NA	NA	"Macropus parma"	"No"	"rudimetary"	"No"	"No"
"Metatheria"	"Diprotodontia"	"Macropodidae"	NA	NA	"Macropus rufus"	"No"	"rudimetary"	"No"	"No"
"Metatheria"	"Didelphimorphia"	"Didelphidae"	NA	NA	"Monodelphis domestica"	"No"	"rudimetary"	"No"	"No"
"Eutheria"	"Xenarthra"	NA	NA	"Megalonychidae"	"Choloepus didactylus"	"rudimetary"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Xenarthra"	NA	NA	"Myrmecophagidae"	"Myrmecophaga tridactyla"	"rudimetary"	NA	"No"	NA
"Eutheria"	"Hyracoidea"	NA	NA	"Procaviidae"	"Procavia capensis"	"Yes"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Proboscidea"	NA	NA	"Elephantidae"	"Loxodonta africana"	"Yes"	"Yes"	"No"	"rudimetary"
"Eutheria"	"Rodentia"	"Myomorpha"	NA	"Muridae"	"Mus musculus"	"rudimetary"	"rudimetary"	"No"	"rudimetary"
"Eutheria"	"Rodentia"	"Myomorpha"	NA	"Muridae"	"Rattus norvegicus"	"rudimetary"	"rudimetary"	"No"	"rudimetary"
"Eutheria"	"Rodentia"	"Muroidea"	NA	"Cricetidae"	"Microtus orchogaster"	"rudimetary"	"rudimetary"	"No"	"No"
"Eutheria"	"Scandentia"	"Muroidea"	NA	"Tupaiidae"	"Tupaia belangeri"	"rudimetary"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Primates"	"Strepsirrhini"	NA	"Cheirogaleidae"	"Cheirogaleus medius"	"Yes"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Primates"	"Strepsirrhini"	NA	"Lorisidae"	"Perodicticus potto"	"Yes"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Primates"	"Strepsirrhini"	NA	"Lemuridae"	"Lemur catta"	"Yes"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Primates"	"Tarsiiformes"	NA	"Tarsiidae"	"Tarsius bancanus"	"Yes"	"Yes"	"rudimetary"	"rudimetary"
