"Species_Bauernfeind2013"	"Individual"	"granular_R_mm3"	"dysgranular_R_mm3"	"agranular_R_mm3"	"FI_R_mm3"	"total_insula_R_mm3"
"Homo sapiens"	"H9-88"	1984	3509	2062	253	7809
"Homo sapiens"	"MU-88-65"	1136	2208	1710	391	5445
"Homo sapiens"	"SN207-84"	1914	1860	1973	233	5980
"Homo sapiens"	"W2-2-70"	1456	3638	1653	509	7255
"Homo sapiens"	"STD-IIA-54"	673	2650	485	454	4262
"Pan paniscus"	"Nambo"	310	728	394	199	1631
"Pan paniscus"	"MCZ-2007-52"	250	756	302	163	1470
"Pan paniscus"	"Zahlia"	252	902	408	103	1665
"Pan troglodytes"	"CA0171"	346	816	160	146	1468
"Pan troglodytes"	"YN00-170"	585	366	155	82	1188
"Gorilla gorilla"	"862094"	349	996	276	136	1757
"Gorilla gorilla"	"YN82-140"	282	933	798	71	2084
"Pongo abelii"	"M00305"	186	652	361	0	1199
"Pongo pygmaeus"	"Sabtu"	313	997	474	0	1784
"Pongo pygmaeus"	"Briggs"	83	637	654	72	1446
