"Species"	"common_name"	"case_number"	"pct_17"	"pct_18"	"pct_DL"	"pct_DM"	"pct_DI"	"pct_FST"	"pct_MT"	"pct_MST"	"pct_total_8fields"	"measure"	"source"
"Saimiri sciureus"	"squirrel monkey"	1	19.5	7.6	4.4	0.8	1	2.7	1.3	1.4	39.7	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Saimiri sciureus"	"squirrel monkey"	2	19.9	8.9	4.7	0.4	1	3.1	1.1	1.1	41.2	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Saimiri sciureus"	"squirrel monkey"	3	17.4	8.7	4.2	0.2	0.9	3	1.6	1.2	38.2	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Saimiri sciureus"	"squirrel monkey"	4	19.7	6.5	3.4	0.2	1	2.6	1.3	1.4	37.1	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Saimiri sciureus"	"squirrel monkey"	5	19.1	9.4	4	0.3	1.3	2.4	1.4	1.1	40	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Saimiri sciureus"	"squirrel monkey"	6	13.7	7.1	5.7	0.4	1.4	3.2	1.6	1.8	35.9	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Aotus trivirgatus"	"owl monkey"	1	14.6	9.2	3.5	1.7	1.5	2	2.1	1.7	36.3	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Aotus trivirgatus"	"owl monkey"	2	18.4	8.8	3.3	2.4	1.8	1.2	1.8	1.1	38.8	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Aotus trivirgatus"	"owl monkey"	3	15	5	2.2	1.5	1.6	1.5	1.3	1.3	29.4	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Aotus trivirgatus"	"owl monkey"	4	6.7	7.5	4.2	1.7	1.3	2.1	1.8	1.8	27.1	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Callithrix jacchus"	"marmoset"	1	16.1	8.2	4	1.8	2.8	2.5	1.5	1.1	38	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Callithrix jacchus"	"marmoset"	2	16.9	8.8	3.5	1.5	2.2	2.7	2.3	1.6	39.5	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Callithrix jacchus"	"marmoset"	3	20	8.8	3.7	1.1	1.9	2.4	2	1.5	41.4	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Callithrix jacchus"	"marmoset"	4	15.7	7.5	4.1	1.3	1.7	2.5	1.9	1.7	36.4	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Callithrix jacchus"	"marmoset"	5	22.3	9.6	3.1	1.4	2	1.7	1.7	1.3	43.1	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Callithrix jacchus"	"marmoset"	6	18.5	9.3	4.4	1.3	2.2	2	1.6	1.1	40.4	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Galago senegalensis"	"galago"	1	19.6	6.8	2.9	0.6	0.7	2.2	2.3	2.2	37.4	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Galago senegalensis"	"galago"	2	15.9	4.6	2	0.8	1	2.7	1.9	1.4	30.3	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Galago senegalensis"	"galago"	3	13.5	8	2.5	1.2	1.3	2.7	2.5	1.9	33.6	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
"Galago senegalensis"	"galago"	4	16	4.4	2.6	0.8	1.4	1.8	2	2.1	31.1	"percent_of_total_neocortex_surface"	"Krubitzer_Kaas_1990_Table1"
