"Species"	"Play scores_Complexity index"	"Play scores_Wrestling"	"Play scores_Play fighting"	"Play scores_Locomotor play"	"Play scores_Total play"	"Brain Size"
"Acomys cahirinus"	NA	0	0	0	0	-0.057
"Apodemus flavicollis"	NA	0	0	1	1	-0.007
"Cricetomys gambianus"	NA	1	2	1	3	0.011
"Cricetus cricetus"	NA	1	2	0	2	-0.145
"Meriones unguiculatus"	0.38	1	1	1	2	-0.033
"Mesocricetus auratus"	0.75	1	2	0	2	-0.151
"Micromys minutus"	NA	1	1	0	1	0.008
"Microtus agrestis"	0.13	0	0	2	2	-0.113
"Microtus montanus"	0.31	1	1	0	1	-0.152
"Microtus ochrogaster"	0.5	1	2	0	2	-0.229
"Microtus pennsylvanicus"	NA	1	1	0	1	-0.094
"Mus musculus"	0.13	0	0	2	2	-0.094
"Neotoma albigula"	0.13	0	0	2	2	0.114
"Notomys alexis"	0.13	0	0	0	0	0.134
"Ondatra zibethicus"	NA	1	2	0	1	-0.012
"Onychomys leucogaster"	0.44	1	2	0	1	0.068
"Peromyscus gossypinus"	NA	0	0	0	0	-0.003
"Peromyscus maniculatus"	0.38	1	1	0	1	-0.016
"Phodopus campbelli"	0.31	1	1	0	1	-0.182
"Pseudomys albicinereus"	0	0	0	0	0	0.041
"Pseudomys shortridgei"	0	0	0	0	0	0.09
"Rattus norvegicus"	0.94	1	2	2	4	-0.104
"Rattus rattus"	NA	1	2	2	4	0.045
