"species_sci"	"Taxon"	"Mean Group Size"	"References"
"Alouatta caraya"	"Alouatta_caraya"	"6.6833333333333336"	"38"
"Alouatta palliata"	"Alouatta_palliata"	"15.5484375"	"38"
"Alouatta seniculus"	"Alouatta_seniculus"	"6.9650000000000007"	"38"
"Aotus trivirgatus"	"Aotus_trivirgatus"	"3.5125000000000002"	"38"
"Ateles geoffroyi"	"Ateles_geoffroyi"	"28.017857142857142"	"38"
"Ateles paniscus"	"Ateles_paniscus"	"25.5"	"38"
"Avahi laniger"	"Avahi_laniger"	"2.6666666666666665"	"38"
"Avahi occidentalis"	"Avahi_occidentalis"	"NA"	"NA"
"Callicebus moloch"	"Callicebus_moloch"	"3.3666666666666663"	"38"
"Callimico goeldii"	"Callimico_goeldii"	"6.5"	"38"
"Callithrix jacchus"	"Callithrix_jacchus"	"7.8777777777777782"	"38"
"Callithrix pygmaea"	"Callithrix_pygmaea"	"5.6285714285714281"	"38"
"Cebus albifrons"	"Cebus_albifrons"	"21.125"	"38"
"Sapajus apella"	"Cebus_apella"	"12.059999999999999"	"38"
"Cercocebus agilis"	"Cercocebus_agilis"	"15"	"38"
"Cercocebus torquatus"	"Cercocebus_torquatus_atys"	"95"	"38"
"Cercopithecus ascanius"	"Cercopithecus_ascanius"	"26.293749999999999"	"38"
"Cercopithecus mitis"	"Cercopithecus_mitis"	"21.274999999999999"	"38"
"Cercopithecus nictitans"	"Cercopithecus_nictitans"	"18.25"	"38"
"Cheirogaleus major"	"Cheirogaleus_major"	"5.5"	"38"
"Cheirogaleus medius"	"Cheirogaleus_medius"	"2"	"38"
"Colobus angolensis"	"Colobus_angolensis"	"9"	"38"
"Daubentonia madagascariensis"	"Daubentonia_madagascariensis"	"1.75"	"38"
"Erythrocebus patas"	"Erythrocebus_patas"	"26.519999999999996"	"38"
"Eulemur fulvus"	"Eulemur_fulvus_fulvus"	"10.08"	"38"
"Eulemur mongoz"	"Eulemur_mongoz"	"2.6999999999999997"	"38"
"Galago senegalensis"	"Galago_senegalensis"	"1"	"38"
"Galagoides demidoff"	"Galagoides_demidoff"	"2.25"	"38"
"Gorilla beringei"	"Gorilla_beringei"	"13"	"38"
"Gorilla sp."	"Gorilla_gorilla_gorilla"	"10.047058823529412"	"38"
"Gorilla gorilla graueri"	"Gorilla_gorilla_graueri"	"6.4"	"102"
"Hylobates lar"	"Hylobates_lar"	"3.5142857142857147"	"38"
"Hylobates muelleri"	"Hylobates_muelleri"	"3.45"	"38"
"Indri indri"	"Indri_indri"	"3.28"	"38"
"Lagothrix lagothricha"	"Lagothrix_lagotricha"	"20.309090909090909"	"38"
"Lemur catta"	"Lemur_catta"	"15.75"	"38"
"Leontopithecus rosalia"	"Leontopithecus_rosalia"	"5.4"	"38"
"Lepilemur ruficaudatus"	"Lepilemur_ruficaudatus"	"NA"	"NA"
"Lophocebus albigena"	"Lophocebus_albigena"	"15.680952380952384"	"38"
"Loris tardigradus"	"Loris_tardigradus"	"2"	"38"
"Macaca fascicularis"	"Macaca_fascicularis"	"27.521428571428572"	"38"
"Macaca maura"	"Macaca_maura"	"22"	"104"
"Macaca mulatta"	"Macaca_mulatta"	"36.362499999999997"	"38"
"Mandrillus sphinx"	"Mandrillus_sphinx"	"95"	"38"
"Microcebus murinus"	"Microcebus_murinus"	"5.0999999999999996"	"38"
"Miopithecus talapoin"	"Miopithecus_talapoin"	"68.375"	"38"
"Nasalis larvatus"	"Nasalis_larvatus"	"9.9400000000000013"	"38"
"Nomascus concolor"	"Nomascus_concolor"	"3.5"	"38"
"Nycticebus coucang"	"Nycticebus_coucang"	"1"	"38"
"Otolemur crassicaudatus"	"Otolemur_crassicaudatus"	"2.25"	"38"
"Pan paniscus"	"Pan_paniscus"	"67.5"	"38"
"Pan troglodytes"	"Pan_troglodytes_troglodytes"	"42.707142857142863"	"38"
"Papio anubis"	"Papio_anubis"	"47.045161290322575"	"38"
"Papio cynocephalus"	"Papio_cynocephalus"	"48.204999999999998"	"38"
"Papio hamadryas"	"Papio_hamadryas"	"41.125"	"38"
"Perodicticus potto"	"Perodicticus_potto"	"1.25"	"38"
"Piliocolobus badius"	"Piliocolobus_badius"	"29.180000000000003"	"38"
"Pithecia monachus"	"Pithecia_monachus"	"2.9"	"11"
"Pithecia pithecia"	"Pithecia_pithecia"	"2.6500000000000004"	"38"
"Pongo sp."	"Pongo_abelii"	"2"	"38"
"Pongo pygmaeus"	"Pongo_pygmaeus"	"1.5999999999999999"	"38"
"Propithecus verreauxi"	"Propithecus_verreauxi"	"5.92"	"38"
"Pygathrix nemaeus"	"Pygathrix_nemaeus"	"21.45"	"38"
"Saguinus geoffroyi"	"Saguinus_geoffroyi"	"5.15"	"38"
"Saguinus midas"	"Saguinus_midas"	"5"	"38"
"Saguinus oedipus"	"Saguinus_oedipus"	"6.2983333333333329"	"38"
"Saimiri sciureus"	"Saimiri_sciureus"	"37.80833333333333"	"38"
"Semnopithecus entellus"	"Semnopithecus_entellus"	"24.75"	"38"
"Symphalangus syndactylus"	"Symphalangus_syndactylus"	"3.8600000000000003"	"38"
"Tarsius syrichta"	"Tarsius_syrichta"	"2"	"38"
"Trachypithecus francoisi"	"Trachypithecus_francoisi"	"5.3666666666666671"	"103"
"Varecia variegata"	"Varecia_variegata_variegata"	"5.9333333333333336"	"38"
