"Species"	"MC"	"study_site"	"n_bouts"	"n_individuals"	"ECV_ml"	"body_mass_g"	"neocortex_g"	"cerebellum_g"	"brain_assoc_body_mass_g"	"terrestriality"	"diet_quality"	"diet_category"	"tool_use"	"extractive_foraging"	"cog_test_1"	"cog_test_2"	"group_size"	"source"
"Ateles fusciceps"	1.35	"Parc Zool. et Bot. de Mulhouse"	26	"4"	107.6	9160	NA	NA	NA	0	NA	NA	0	0	1.28	-0.64	2.75	"Heldstab_etal_2016"
"Ateles geoffroyi"	2.48	"Zoo Basel"	21	"7"	103.5	7700	70.86	12.44	8000	0	434.2	1	0	0	1.28	-0.64	3.9	"Heldstab_etal_2016"
"Callicebus cupreus"	1.85	"Zoo Basel"	26	"4"	17.4	887	11.16	1.62	900	0	524.3	1	0	0	NA	NA	3.4	"Heldstab_etal_2016"
"Callimico goeldii"	1.43	"Zoo Zurich"	23	"8"	11.1	485	6.48	1.24	480	0	552.5	1	0	0	NA	NA	6.3	"Heldstab_etal_2016"
"Callithrix geoffroyi"	1.32	"Zoo Zurich"	22	"7"	9.8	338	4.37	0.78	280	0	541.2	0	0	1	-1.2	-0.86	7.5	"Heldstab_etal_2016"
"Callithrix jacchus"	1.33	"University of Zurich"	24	"5"	7.4	322	4.37	0.78	280	0	519.1	0	0	1	-1.2	-0.86	8.4	"Heldstab_etal_2016"
"Cercocebus atys"	2.24	"Bioparco di Roma"	21	"5"	85.9	6200	68.73	10.73	7900	1	439.7	1	0	0	0.25	-0.36	50	"Heldstab_etal_2016"
"Cercopithecus diana"	2.03	"Parc Zool. et Bot. de Mulhouse"	31	"3/2"	57.3	3900	47.55	6.29	4850	0	554.2	1	0	0	0.39	0.14	22	"Heldstab_etal_2016"
"Cercopithecus hamlyni"	3.84	"Parc Zool. et Bot. de Mulhouse"	25	"5"	51.2	2097	47.55	6.29	4850	0.5	605.2	0	0	0	0.39	0.14	8	"Heldstab_etal_2016"
"Cercopithecus lhoesti"	2.77	"Parc Zool. et Bot. de Mulhouse"	22	"5"	66.5	3450	47.55	6.29	4850	0.5	362.2	0	0	1	0.39	0.14	30	"Heldstab_etal_2016"
"Colobus guereza"	2.38	"Toni's Zoo Rothenburg"	21	"3"	72.6	7503	50.91	8.65	7000	0	348.3	0	0	0	NA	-0.64	9.3	"Heldstab_etal_2016"
"Eulemur coronatus"	1.6	"Parc Zool. et Bot. de Mulhouse"	20	"5"	19.2	1422	12.21	3.33	1400	0	493.4	1	0	0	-0.5	-0.71	5.5	"Heldstab_etal_2016"
"Eulemur macaco"	1.23	"Parc Zool. et Bot. de Mulhouse"	22	"2/2/2"	22.7	1908	12.21	3.33	1400	0	453.6	1	0	0	-0.5	-0.71	8.5	"Heldstab_etal_2016"
"Gorilla gorilla"	5	"Zoo Zurich"	33	"9"	434.4	71500	341.44	69.25	105000	1	359	0	0	1	0.96	0.87	10.5	"Heldstab_etal_2016"
"Hapalemur griseus"	1.78	"Parc Zool. et Bot. de Mulhouse"	27	"2/1"	13.7	935	NA	NA	NA	0	296	0	0	0	NA	NA	4.4	"Heldstab_etal_2016"
"Homo sapiens"	5.4	"University of Zurich"	30	"12"	1212.7	56700	1006.53	137.42	65000	1	690.6	1	1	1	NA	NA	37.7	"Heldstab_etal_2016"
"Hylobates pileatus"	2.14	"Zoo Zurich"	21	"5/4"	90.5	5440	65.8	12.08	5700	0	486.5	1	0	0	0.11	-0.79	4	"Heldstab_etal_2016"
"Lemur catta"	1.48	"Zoo Basel"	21	"4"	23.4	2210	10.69	2.59	NA	0.5	527.6	1	0	0	-0.8	-0.79	14	"Heldstab_etal_2016"
"Leontopithecus chrysomelas"	1.63	"University of Zurich"	30	"6"	11.8	655	NA	NA	NA	0.5	489.8	1	0	1	NA	-1.36	4.75	"Heldstab_etal_2016"
"Leontopithecus rosalia"	1.2	"Zoo Zurich"	20	"1"	12.6	594.5	NA	NA	NA	0	471.2	1	0	1	NA	-1.36	5.4	"Heldstab_etal_2016"
"Macaca fascicularis"	4.11	"Zoo Basel"	27	"17"	61	3516	63.48	8.97	7800	0.5	432.4	1	1	1	0.55	1.64	27	"Heldstab_etal_2016"
"Macaca sylvanus"	3.76	"Toni's Zoo Rothenburg"	21	"9"	94.8	9625	63.48	8.97	7800	1	429.5	1	0	1	0.55	1.64	24	"Heldstab_etal_2016"
"Macaca tonkeana"	3	"Parc Zool. et Bot. de Mulhouse"	24	"3"	93.7	9000	63.48	8.97	7800	0.5	471.8	1	0	0	0.55	1.64	24	"Heldstab_etal_2016"
"Mandrillus sphinx"	2.21	"Bioparco di Roma"	38	"12"	137.3	12800	95.75	8.74	NA	1	482.2	1	0	0	0.43	-0.57	215	"Heldstab_etal_2016"
"Pan troglodytes"	4.38	"Zoo Basel"	26	"10"	391.6	33700	291.59	43.66	46000	0.5	491.5	1	1	1	1.66	2.8	5.6	"Heldstab_etal_2016"
"Pithecia pithecia"	1.86	"Zoo Basel"	37	"7"	31.6	1816	21.03	3.91	1500	0	479.9	1	0	0	NA	NA	4.4	"Heldstab_etal_2016"
"Pongo abelii"	3.89	"Zoo Zurich"	35	"7"	349.7	41151	200.26	97.8	73500	0	581.2	1	1	1	1.75	1.71	1.7	"Heldstab_etal_2016"
"Propithecus verreauxi"	1.44	"Parc Zool. et Bot. de Mulhouse"	27	"1/1"	26.1	3250	13.17	3.96	3480	0	318.8	0	0	0	NA	-1	5.5	"Heldstab_etal_2016"
"Saguinus bicolor"	1	"Parc Zool. et Bot. de Mulhouse"	21	"2/2/5"	9.5	473	5.89	0.98	380	0	500	1	0	0	NA	0.43	4.9	"Heldstab_etal_2016"
"Saguinus imperator"	1.62	"Zoo Zurich"	21	"2"	10.7	446	5.89	0.98	380	0	NA	NA	0	1	NA	0.43	4	"Heldstab_etal_2016"
"Saguinus labiatus"	2.27	"Zoo Basel"	22	"2"	10	520	5.89	0.98	380	0	493	1	0	0	NA	0.43	5	"Heldstab_etal_2016"
"Saguinus oedipus"	1.7	"Zoo Basel"	37	"4"	9.7	427	5.89	0.98	380	0	684.4	1	0	0	NA	0.43	5.6	"Heldstab_etal_2016"
"Saimiri sciureus"	1.94	"University of Zurich"	31	"7"	23.5	821	15.54	2.26	660	0	435.4	1	0	1	-0.9	-0.79	45	"Heldstab_etal_2016"
"Sapajus apella"	2.54	"Zoo Zurich"	41	"6"	64.2	2501	46.43	7.87	3100	0	543	1	1	1	0.19	1.43	13.9	"Heldstab_etal_2016"
"Symphalangus syndactylus"	3.08	"Zoo Zurich"	24	"3"	124.5	11295	NA	NA	NA	0	432	0	0	0	NA	NA	3.6	"Heldstab_etal_2016"
"Theropithecus gelada"	4.17	"Zoo Zurich"	23	"27"	123.2	14171	NA	NA	NA	1	313.2	0	0	0	NA	-0.43	103.8	"Heldstab_etal_2016"
"Varecia rubra"	1.33	"Parc Zool. et Bot. de Mulhouse"	21	"4"	29.4	3300	15.29	4.29	3000	0	454	1	0	0	-0.4	NA	5.5	"Heldstab_etal_2016"
