"Species"	"common_name"	"specimen"	"hemisphere"	"piece_id"	"piece_type"	"surface_area_mm2"	"tissue_weight_g"	"total_cells"	"neun_percent_printed"	"neun_ratio"	"total_neurons"	"cell_density_per_g"	"cell_density_per_mm2"	"neuron_density_per_g"	"neuron_density_per_mm2"	"source"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"1"	"grid"	33.378	0.03	9320313	0.6	0.6	5592188	310677100	279235	186406266.666667	167541.134879262	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"2"	"grid"	25.06	0.031	8617188	0.602	0.602	5187547	277973806	343862	167340225.806452	207005.067837191	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"3"	"grid"	26.772	0.036	8906250	0.597	0.597	5317031	247395833	332670	147695305.555556	198604.176004781	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"4"	"grid"	28.747	0.037	6679688	0.556	0.556	3713907	180532108	232361	100375864.864865	129192.854906599	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"5"	"grid"	10.787	0.0134	3257813	0.517	0.517	1684289	243120373	302013	125693208.955224	156140.632242514	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"6"	"grid"	19.286	0.022	4984375	0.488	0.488	2432375	226562500	258445	110562500	126121.279684745	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"7"	"grid"	30.119	0.04	9171875	0.439	0.439	4026453	229296875	304521	100661325	133684.816892991	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"8"	"grid"	30.827	0.046	8546875	0.354	0.354	3025594	185801630	277253	65773782.6086957	98147.5330067798	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"9"	"grid"	31.763	0.047	7976563	0.399	0.399	3182649	169714106	251128	67715936.1702128	100199.88666058	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"10"	"grid"	24.937	0.037	8195313	0.38	0.38	3114219	221494946	328641	84168081.0810811	124883.466335165	"Collins_etal_2010_DatasetS1"
"Otolemur garnetti"	"galago"	"07-104"	"left"	"11"	"grid"	33.002	0.045	6679688	0.468	0.468	3126094	148437511	202403	69468755.5555556	94724.3803405854	"Collins_etal_2010_DatasetS1"
