"species"	"common_name"	"subject_no"	"sex"	"age_years"	"brain_mass_g"	"source"
"Pan paniscus"	"Bonobo"	1	"Male"	5	353.3	"Stimpson_etal_2015"
"Pan paniscus"	"Bonobo"	2	"Female"	25	337	"Stimpson_etal_2015"
"Pan paniscus"	"Bonobo"	3	"Male"	25	307.4	"Stimpson_etal_2015"
"Pan paniscus"	"Bonobo"	4	"Female"	13	326.7	"Stimpson_etal_2015"
"Pan paniscus"	"Bonobo"	5	"Male"	34	313.2	"Stimpson_etal_2015"
"Pan paniscus"	"Bonobo"	6	"Female"	52	305.1	"Stimpson_etal_2015"
"Pan paniscus"	"Bonobo"	7	"Female"	62	295.7	"Stimpson_etal_2015"
"Pan troglodytes"	"Chimpanzee"	1	"Male"	40	341.2	"Stimpson_etal_2015"
"Pan troglodytes"	"Chimpanzee"	2	"Male"	19	346.6	"Stimpson_etal_2015"
"Pan troglodytes"	"Chimpanzee"	3	"Female"	12	401.8	"Stimpson_etal_2015"
"Pan troglodytes"	"Chimpanzee"	4	"Female"	41	327.8	"Stimpson_etal_2015"
"Pan troglodytes"	"Chimpanzee"	5	"Male"	24	375.5	"Stimpson_etal_2015"
"Pan troglodytes"	"Chimpanzee"	6	"Female"	35	348.1	"Stimpson_etal_2015"
"Pan troglodytes"	"Chimpanzee"	7	"Female"	45	312.9	"Stimpson_etal_2015"
