"subject_no"	"species"	"structure"	"volume_cm3"	"SERT_axon_density_um_per_um3"	"hemisphere"	"source"
1	"Pan paniscus"	"Accessory_basal_nucleus"	0.05272	0.0023	"one side"	"Stimpson_etal_2015"
2	"Pan paniscus"	"Accessory_basal_nucleus"	0.04895	0.00299	"one side"	"Stimpson_etal_2015"
3	"Pan paniscus"	"Accessory_basal_nucleus"	0.06926	0.00394	"one side"	"Stimpson_etal_2015"
4	"Pan paniscus"	"Accessory_basal_nucleus"	0.05947	NA	"one side"	"Stimpson_etal_2015"
5	"Pan paniscus"	"Accessory_basal_nucleus"	0.05929	0.00302	"one side"	"Stimpson_etal_2015"
6	"Pan paniscus"	"Accessory_basal_nucleus"	0.05008	0.00276	"one side"	"Stimpson_etal_2015"
7	"Pan paniscus"	"Accessory_basal_nucleus"	NA	0.00333	"one side"	"Stimpson_etal_2015"
1	"Pan paniscus"	"Basal_nucleus"	0.19965	0.00459	"one side"	"Stimpson_etal_2015"
2	"Pan paniscus"	"Basal_nucleus"	0.20341	0.00551	"one side"	"Stimpson_etal_2015"
3	"Pan paniscus"	"Basal_nucleus"	0.18405	0.00798	"one side"	"Stimpson_etal_2015"
4	"Pan paniscus"	"Basal_nucleus"	0.19927	NA	"one side"	"Stimpson_etal_2015"
5	"Pan paniscus"	"Basal_nucleus"	0.18142	0.00513	"one side"	"Stimpson_etal_2015"
6	"Pan paniscus"	"Basal_nucleus"	0.20654	0.0043	"one side"	"Stimpson_etal_2015"
7	"Pan paniscus"	"Basal_nucleus"	NA	0.00504	"one side"	"Stimpson_etal_2015"
1	"Pan paniscus"	"Caudate_nucleus"	NA	0.00323	"one side"	"Stimpson_etal_2015"
2	"Pan paniscus"	"Caudate_nucleus"	NA	0.00299	"one side"	"Stimpson_etal_2015"
3	"Pan paniscus"	"Caudate_nucleus"	NA	0.00305	"one side"	"Stimpson_etal_2015"
4	"Pan paniscus"	"Caudate_nucleus"	NA	0.00061	"one side"	"Stimpson_etal_2015"
5	"Pan paniscus"	"Caudate_nucleus"	NA	0.00277	"one side"	"Stimpson_etal_2015"
6	"Pan paniscus"	"Caudate_nucleus"	NA	0.00189	"one side"	"Stimpson_etal_2015"
1	"Pan paniscus"	"Central_nucleus"	0.03133	0.00489	"one side"	"Stimpson_etal_2015"
2	"Pan paniscus"	"Central_nucleus"	0.03265	0.00438	"one side"	"Stimpson_etal_2015"
3	"Pan paniscus"	"Central_nucleus"	0.03347	0.00655	"one side"	"Stimpson_etal_2015"
4	"Pan paniscus"	"Central_nucleus"	0.03547	NA	"one side"	"Stimpson_etal_2015"
5	"Pan paniscus"	"Central_nucleus"	0.03052	0.00479	"one side"	"Stimpson_etal_2015"
6	"Pan paniscus"	"Central_nucleus"	0.03732	0.00471	"one side"	"Stimpson_etal_2015"
7	"Pan paniscus"	"Central_nucleus"	NA	0.00352	"one side"	"Stimpson_etal_2015"
1	"Pan paniscus"	"Lateral_nucleus"	0.17377	0.0031	"one side"	"Stimpson_etal_2015"
2	"Pan paniscus"	"Lateral_nucleus"	0.1766	0.0043	"one side"	"Stimpson_etal_2015"
3	"Pan paniscus"	"Lateral_nucleus"	0.15157	0.00506	"one side"	"Stimpson_etal_2015"
4	"Pan paniscus"	"Lateral_nucleus"	0.16105	NA	"one side"	"Stimpson_etal_2015"
5	"Pan paniscus"	"Lateral_nucleus"	0.12887	0.00409	"one side"	"Stimpson_etal_2015"
6	"Pan paniscus"	"Lateral_nucleus"	0.13764	0.00428	"one side"	"Stimpson_etal_2015"
7	"Pan paniscus"	"Lateral_nucleus"	NA	0.00357	"one side"	"Stimpson_etal_2015"
1	"Pan paniscus"	"Middle_temporal_gyrus"	NA	0.00174	"one side"	"Stimpson_etal_2015"
2	"Pan paniscus"	"Middle_temporal_gyrus"	NA	0.00189	"one side"	"Stimpson_etal_2015"
3	"Pan paniscus"	"Middle_temporal_gyrus"	NA	0.00176	"one side"	"Stimpson_etal_2015"
4	"Pan paniscus"	"Middle_temporal_gyrus"	NA	0.00035	"one side"	"Stimpson_etal_2015"
5	"Pan paniscus"	"Middle_temporal_gyrus"	NA	0.00114	"one side"	"Stimpson_etal_2015"
6	"Pan paniscus"	"Middle_temporal_gyrus"	NA	0.00159	"one side"	"Stimpson_etal_2015"
1	"Pan paniscus"	"Whole_amygdala"	0.74323	0.00525	"one side"	"Stimpson_etal_2015"
2	"Pan paniscus"	"Whole_amygdala"	0.75632	0.00493	"one side"	"Stimpson_etal_2015"
