"Museum"	"Accession"	"Genus"	"Species"	"Species_binomial"	"Sex"	"ECV_ml"	"Right_foramen_area_mm2"	"Right_major_diam_mm"	"Right_minor_diam_mm"	"Right_radius_from_D_mm"	"Right_radius_from_area_mm"	"Left_foramen_area_mm2"	"Left_major_diam_mm"	"Left_minor_diam_mm"	"Left_radius_from_D_mm"	"Left_radius_from_area_mm"
"USNM"	"395636"	"Gorilla"	"beringei"	"Gorilla beringei"	"M"	500	17.7705	5.4215	4.1735	NA	2.37834518782053	18.981	5.807	4.158	NA	2.45801544943365
"USNM"	"396934"	"Gorilla"	"beringei"	"Gorilla beringei"	"M"	425	15.901	4.6215	4.3805	NA	2.24976565450903	15.999	4.888	4.1815	NA	2.25668780939111
"USNM"	"397351"	"Gorilla"	"beringei"	"Gorilla beringei"	"M"	450	15.555	4.5345	4.362	NA	2.22515399008448	12.5495	4.5235	3.5315	NA	1.99865702827261
"USNM"	"545035"	"Gorilla"	"beringei"	"Gorilla beringei"	"M"	500	25.917	5.8	5.69	NA	2.87221818813009	18.224	5.1995	4.4415	NA	2.40850147722882
"USNM"	"545036"	"Gorilla"	"beringei"	"Gorilla beringei"	"M"	525	17.662	5.219	4.3005	NA	2.3710734298579	17.82	5.084	4.4625	NA	2.38165534278055
"USNM"	"545032"	"Gorilla"	"beringei"	"Gorilla beringei"	"M"	450	15.8865	4.8325	4.1775	NA	2.24873964852732	13.57	4.649	3.7245	NA	2.07833230151341
"USNM"	"260582"	"Gorilla"	"beringei"	"Gorilla beringei"	"F"	475	13.7775	4.8855	3.5985	NA	2.09416199394822	12.913	4.777	3.442	NA	2.02739625142479
"USNM"	"545031"	"Gorilla"	"beringei"	"Gorilla beringei"	"F"	450	13.7305	4.6215	3.7785	NA	2.09058697313614	13.4595	4.394	3.8975	NA	2.06985311389256
"USNM"	"545029"	"Gorilla"	"beringei"	"Gorilla beringei"	"F"	425	13.446	4.7755	3.5815	NA	2.06881481279192	17.128	5.22	4.176	NA	2.33495433157824
"USNM"	"545027"	"Gorilla"	"beringei"	"Gorilla beringei"	"F"	400	14.709	4.8545	3.855	NA	2.16379761435246	15.22	4.9395	3.922	NA	2.20106257696534
"USNM"	"396935"	"Gorilla"	"beringei"	"Gorilla beringei"	"F"	450	17.151	5.448	4.008	NA	2.33652152952593	12.853	4.59	3.5635	NA	2.02268063893445
"USNM"	"397353"	"Gorilla"	"beringei"	"Gorilla beringei"	"F"	425	23.6345	5.7125	5.2675	NA	2.74282609820798	20.3515	5.927	4.371	NA	2.54520797748817
"UWits"	"Za1290"	"Gorilla"	"beringei"	"Gorilla beringei"	NA	555	14.514	4.613	4.006	NA	2.14940682237485	12.796	4.206	3.874	NA	2.01819060140706
"UWits"	"Za1311"	"Gorilla"	"beringei"	"Gorilla beringei"	NA	565	14.638	4.669	3.992	NA	2.15856899680282	15.546	4.98	3.974	NA	2.2245101686918
"UWits"	"Za95"	"Gorilla"	"beringei"	"Gorilla beringei"	NA	500	11.265	4.094	3.503	NA	1.89361053753416	15.901	4.755	4.257	NA	2.24976565450903
"UWits"	"Za1312"	"Gorilla"	"beringei"	"Gorilla beringei"	NA	620	13.141	4.627	3.616	NA	2.04521642237226	13.306	4.408	3.843	NA	2.05801636183037
"USNM"	"176216"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"M"	500	18.964	5.041	4.79	NA	2.45691446362901	18.964	5.041	4.79	NA	2.45691446362901
"USNM"	"176211"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"M"	575	18.925	5.466	4.4075	NA	2.45438680652179	16.8415	5.1555	4.1595	NA	2.31534359181619
"USNM"	"590970"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"M"	600	18.2585	4.821	4.821	NA	2.41078017597763	15.993	4.762	4.2775	NA	2.2562646142989
"USNM"	"176217"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"M"	575	15.2035	4.5875	4.219	NA	2.19986916760867	16.7365	4.907	4.3435	NA	2.30811468738341
"USNM"	"599166"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"F"	550	11.2545	3.8465	3.7255	NA	1.892727823554	10.051	3.663	3.4935	NA	1.78866784676006
"USNM"	"252579"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"F"	450	10.7675	3.8195	3.588	NA	1.85132430964539	10.5535	3.8135	3.522	NA	1.83283479447566
"USNM"	"252577"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"F"	400	8.0825	3.3395	3.0815	NA	1.60397620153183	6.4475	2.9775	2.751	NA	1.43258611998371
"USNM"	"599168"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"F"	450	18.0295	5.1895	4.4405	NA	2.39561434562215	15.439	4.7925	4.1015	NA	2.21684152180338
"USNM"	"252582"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"F"	375	13.135	4.5385	3.6845	NA	2.04474946020878	12.1055	4.2715	3.606	NA	1.96298250812326
"USNM"	"574138"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"M"	500	24.625	5.811	5.3825	NA	2.79971086851408	21.6465	5.7	4.816	NA	2.62493713282384
"SAM"	"A50163"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"M?"	519	NA	NA	NA	2.071	NA	NA	NA	NA	1.9135	NA
"SAM"	"A50164"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"M?"	525	NA	NA	NA	1.7915	NA	NA	NA	NA	1.806	NA
"SAM"	"A50162"	"Gorilla"	"gorilla"	"Gorilla gorilla"	"F?"	400	NA	NA	NA	1.5385	NA	NA	NA	NA	1.5385	NA
"UWits"	"BPI/C544"	"Gorilla"	"sp."	"Gorilla sp."	NA	510	10.823	3.926	3.51	NA	1.85608941006816	9.89	3.749	3.359	NA	1.77428429919156
