"species_sci"	"Species"	"Order"	"Habitat"	"Duty_Factor"	"Phase"	"Gait"	"Foot_Posture"	"Hindlimb_Length.mm"	"Body_Mass.g"
"Ateles geoffroyi"	"Ateles geoffroyi"	"Primates"	"arboreal"	60.68357468	71.8768163	"DSDC"	"plantigrade"	458.53	7582.4
"Ateles fusciceps"	"Ateles fusciceps"	"Primates"	"arboreal"	59.80060125	71.24029949	"DSDC"	"plantigrade"	410.64	9067.94
"Trichosurus vulpecula"	"Trichosurus vulpecula"	"Diprotodontia"	"arboreal"	56.55711	66.972	"DSDC"	"plantigrade"	213.82	2800
"Daubentonia madagascariensis"	"Daubentonia madagascariensis"	"Primates"	"arboreal"	57.36413584	65.79056326	"DSDC"	"plantigrade"	362.12	2731.37
"Lemur catta"	"Lemur catta"	"Primates"	"terrestrial"	64.50073161	65.24681401	"DSDC"	"plantigrade"	294.15	2626.48
"Pygathrix nemaeus"	"Pygathrix nemaeus"	"Primates"	"arboreal"	63.20615207	64.94111999	"DSDC"	"plantigrade"	469.83	9411.1
"Priodontes maximus"	"Priodontes maximus"	"Cingulata"	"terrestrial"	59.11835749	64.79469	"DSDC"	"digitigrade"	346.5	40641.89
"Hapalemur griseus"	"Hapalemur griseus"	"Primates"	"arboreal"	61.92340311	64.61677814	"DSDC"	"plantigrade"	214.86	916
"Cyclopes didactylus"	"Cyclopes didactylus"	"Pilosa"	"arboreal"	87.63	64.59	"DSDC"	"plantigrade"	91.86	263.95
"Varecia variegata"	"Varecia variegata"	"Primates"	"arboreal"	57.19757351	64.53997173	"DSDC"	"plantigrade"	323.41	3849.99
"Pygathrix cinerea"	"Pygathrix cinerea"	"Primates"	"arboreal"	66.18556425	64.50219231	"DSDC"	NA	476.73	10900
"Trachypithecus poliocephalus"	"Trachypithecus poliocephalus"	"Primates"	"arboreal"	60.99488998	64.09781361	"DSDC"	NA	466.64	9000
"Ateles paniscus"	"Ateles paniscus"	"Primates"	"arboreal"	60.59999272	63.99376761	"DSDC"	"plantigrade"	458.53	8697.25
"Macaca fascicularis"	"Macaca fascicularis"	"Primates"	"arboreal"	60.20866946	63.07784027	"DSDC"	"plantigrade"	313.28	4569.32
"Macaca mulatta"	"Macaca mulatta"	"Primates"	"terrestrial"	62.76238395	63.03289724	"DSDC"	"plantigrade"	311.22	6455.19
"Propithecus coquereli"	"Propithecus coquereli"	"Primates"	"terrestrial"	63.27471447	62.88913796	"DSDC"	"plantigrade"	482.8	4189.27
"Cebus capucinus"	"Cebus capucinus"	"Primates"	"arboreal"	59.37513743	62.83883438	"DSDC"	"plantigrade"	291.03	3005.99
"Eulemur mongoz"	"Eulemur mongoz"	"Primates"	"arboreal"	53.53277563	62.43998388	"DSDC"	"plantigrade"	313.78	1771.13
"Rhinopithecus roxellana"	"Rhinopithecus roxellana"	"Primates"	"arboreal"	69.43838721	62.15191445	"DSDC"	"plantigrade"	430.82	13456.8
"Trachypithecus hatinhensis"	"Trachypithecus hatinhensis"	"Primates"	"arboreal"	60.93216843	61.45227488	"DSDC"	NA	487.94	8700
"Trachypithecus phayrei"	"Trachypithecus phayrei"	"Primates"	"arboreal"	63.83	61.25	"DSDC"	"plantigrade"	496.73	7681.72
"Trachypithecus delacouri"	"Trachypithecus delacouri"	"Primates"	"arboreal"	60.89086618	59.72837684	"DSDC"	NA	452.21	8200
"Saimiri sciureus"	"Saimiri sciureus"	"Primates"	"arboreal"	54.255435	58.76699956	"DSDC"	"plantigrade"	199.81	749.47
"Aotus nancymaae"	"Aotus nancymaae"	"Primates"	"arboreal"	59.59001804	58.37598712	"DSDC"	"plantigrade"	215.28	791.03
