"species"	"group"	"Body_weight"	"Brain_weight"	"Ventricles"	"Meninges_hypophysis_nerves_etc."	"Total_brain_net_volume"	"Medulla_oblongata"	"Cerebellum"	"Mesencephalon"	"Diencephalon"	"Telencephalon"	"source"
"Solenodon paradoxus"	"Insectivore"	900	4670	56.4	169	4282	466	753	206	269	2486	"Stephan_etal_1981_TableI"
"Tenrec ecaudatus"	"Insectivore"	832	2570	65.3	101	2315	313	309	132	153	1407	"Stephan_etal_1981_TableI"
"Setifer setosus"	"Insectivore"	248	1510	21.3	32.3	1404	183	142	75.7	99.7	903	"Stephan_etal_1981_TableI"
"Hemicentetes semispinosus"	"Insectivore"	110	830	15.5	29	757	108	117	44.8	48.5	438	"Stephan_etal_1981_TableI"
"Echinops telfairi"	"Insectivore"	87.5	620	8.34	23.9	566	89.9	57.9	43.8	40.1	335	"Stephan_etal_1981_TableI"
"Oryzorictes talpoides"	"Insectivore"	44.2	580	4.83	17.3	538	61	81.3	26.6	36.9	332	"Stephan_etal_1981_TableI"
"Microgale cowani"	"Insectivore"	15.2	420	7.12	6.4	392	45.3	49.5	24	25.4	248	"Stephan_etal_1981_TableI"
"Limnogale mergulus"	"Insectivore"	92	1150	12.6	51	1046	204	176	67.4	81	518	"Stephan_etal_1981_TableI"
"Nesogale dobsoni"	"Insectivore"	32.6	560	5.31	21.9	513	59	57.3	37.9	32.8	326	"Stephan_etal_1981_TableI"
"Nesogale talazaci"	"Insectivore"	50.4	790	6.02	16	741	85.3	92.3	47.2	43.8	472	"Stephan_etal_1981_TableI"
"Micropotamogale lamottei"	"Insectivore"	64.2	800	11.9	17.2	743	135	82.7	58.6	62.8	404	"Stephan_etal_1981_TableI"
"Potamogale velox"	"Insectivore"	660	4160	16.6	121	3878	756	605	254	298	1964	"Stephan_etal_1981_TableI"
"Chlorotalpa stuhlmanni"	"Insectivore"	39.8	740	7	13.8	693	68.3	74.7	42	51.8	457	"Stephan_etal_1981_TableI"
"Chrysochloris asiatica"	"Insectivore"	49	700	8.12	10.7	657	58.5	72.6	43.2	52.8	430	"Stephan_etal_1981_TableI"
"Aethechinus algirus"	"Insectivore"	790	3200	121	109	2859	336	358	153	246	1766	"Stephan_etal_1981_TableI"
"Erinaceus europaeus"	"Insectivore"	860	3350	105	78.8	3050	333	394	151	241	1931	"Stephan_etal_1981_TableI"
"Hemiechinus auritus"	"Insectivore"	250	1900	82.5	41.2	1710	187	198	110	142	1073	"Stephan_etal_1981_TableI"
"Elephantulus fuscipes"	"Insectivore"	57	1330	18.1	32.9	1233	120	183	117	112	700	"Stephan_etal_1981_TableI"
"Rhynchocyon stuhlmanni"	"Insectivore"	490	6100	97.2	111	5680	507	798	523	524	3328	"Stephan_etal_1981_TableI"
"Sorex minutus"	"Insectivore"	5.3	110	0.46	2.47	103	17	11	5.91	8.69	60.7	"Stephan_etal_1981_TableI"
"Sorex araneus"	"Insectivore"	10.3	200	1.17	3.96	188	27.1	20.4	10.8	13.7	116	"Stephan_etal_1981_TableI"
"Neomys fodiens"	"Insectivore"	15.2	320	1.63	8.13	299	42.2	38.9	17.3	25.2	175	"Stephan_etal_1981_TableI"
"Crocidura occidentalis"	"Insectivore"	28	440	2.67	14	408	59.8	51.3	27.7	28.4	241	"Stephan_etal_1981_TableI"
"Crocidura russula"	"Insectivore"	11	190	1.67	3.85	178	23.6	21.8	11.7	15	106	"Stephan_etal_1981_TableI"
"Suncus murinus"	"Insectivore"	35.5	380	4.6	7.8	354	50.5	44.8	24.2	26	209	"Stephan_etal_1981_TableI"
"Talpa europaea"	"Insectivore"	76	1020	10.9	20.6	953	95.4	174	49.8	80.4	554	"Stephan_etal_1981_TableI"
"Desmana moschata"	"Insectivore"	440	4000	138	104	3620	402	514	219	344	2140	"Stephan_etal_1981_TableI"
"Galemys pyrenaicus"	"Insectivore"	57.5	1330	27.5	25.9	1230	147	184	62.2	105	733	"Stephan_etal_1981_TableI"
