"species"	"group"	"Palaeocortex"	"Amygdala"	"Complexus_centromedialis"	"Nucleus_tractus_olfactorius"	"Complexus_corticobasolateralis"	"Nucleus_amygdalae_basalis_pars_magnocellularis"	"source"
"Tupaia glis"	"Prosimian"	182	76.5	24.2	1.71	52.3	4.27	"Stephan_etal_1981_TableXI"
"Cheirogaleus major"	"Prosimian"	233	99.4	34.1	0.851	65.3	7.32	"Stephan_etal_1981_TableXI"
"Cheirogaleus medius"	"Prosimian"	135	63.2	23.3	0.472	39.8	NA	"Stephan_etal_1981_TableXI"
"Microcebus murinus"	"Prosimian"	66.8	36.4	12.1	0.264	24.3	NA	"Stephan_etal_1981_TableXI"
"Lepilemur ruficaudatus"	"Prosimian"	170	133	42.5	0.624	90.4	7.18	"Stephan_etal_1981_TableXI"
"Lemur fulvus"	"Prosimian"	389	251	71.7	1.37	179	19.6	"Stephan_etal_1981_TableXI"
"Propithecus verreauxi"	"Prosimian"	292	251	78.7	0.921	172	18.8	"Stephan_etal_1981_TableXI"
"Daubentonia madagascar."	"Prosimian"	1065	473	122	3.53	351	24.9	"Stephan_etal_1981_TableXI"
"Galago demidovii"	"Prosimian"	122	50.2	14.9	0.62	35.3	2.82	"Stephan_etal_1981_TableXI"
"Tarsius sp."	"Prosimian"	39.1	49.8	11.1	0.0752	38.7	5.35	"Stephan_etal_1981_TableXI"
"Callithrix jacchus"	"Simian"	99.3	113	28.3	0.195	84.6	8.57	"Stephan_etal_1981_TableXI"
"Aotus trivirgatus"	"Simian"	203	201	54.5	0.201	147	15.7	"Stephan_etal_1981_TableXI"
"Alouatta sp."	"Simian"	488	413	94.9	0	318	30.7	"Stephan_etal_1981_TableXI"
"Cebus sp."	"Simian"	567	502	118	0	384	41	"Stephan_etal_1981_TableXI"
"Saimiri sciureus"	"Simian"	186	227	45.9	0	181	15	"Stephan_etal_1981_TableXI"
"Cercopithecus ascanius"	"Simian"	450	601	136	0	465	48.9	"Stephan_etal_1981_TableXI"
"Colobus badius"	"Simian"	458	479	114	0	365	45.5	"Stephan_etal_1981_TableXI"
"Homo sapiens sapiens"	"Simian"	6016	3015	592	0	2424	246	"Stephan_etal_1981_TableXI"
