"species"	"group"	"Nucleus_septalis_triangularis"	"Corpus_subfornicale"	"Nucleus_habenularis_medialis"	"Corpus_pineal"	"Corpus_subcommissurale"	"source"
"Callithrix jacchus"	"Simian"	0.44	0.133	1.63	0.486	0.0789	"Stephan_etal_1981_TableXVI"
"Saguinus oedipus"	"Simian"	1.08	0.167	1.55	0.392	0.0921	"Stephan_etal_1981_TableXVI"
"Saguinus tamarin"	"Simian"	0.559	0.0795	1.18	0.216	0.0994	"Stephan_etal_1981_TableXVI"
"Aotus trivirgatus"	"Simian"	0.964	0.162	3.21	1.55	0.14	"Stephan_etal_1981_TableXVI"
"Callicebus moloch"	"Simian"	0.89	0.135	2.66	2.9	0.154	"Stephan_etal_1981_TableXVI"
"Pithecia monacha"	"Simian"	1.31	0.3	2.53	0.0623	0.189	"Stephan_etal_1981_TableXVI"
"Alouatta sp."	"Simian"	1.72	0.372	3.3	0.254	0.402	"Stephan_etal_1981_TableXVI"
"Ateles geoffroyi"	"Simian"	3.18	0.443	7.29	3.1	0.608	"Stephan_etal_1981_TableXVI"
"Lagothrix lagotricha"	"Simian"	2.6	0.583	7.01	10.6	0.885	"Stephan_etal_1981_TableXVI"
"Cebus sp."	"Simian"	1.5	0.41	4.9	3.8	0.425	"Stephan_etal_1981_TableXVI"
"Saimiri sciureus"	"Simian"	0.598	0.255	2.77	2.71	0.143	"Stephan_etal_1981_TableXVI"
"Macaca mulatta"	"Simian"	2.83	0.36	7.66	12.4	0.27	"Stephan_etal_1981_TableXVI"
"Cercocebus albigena"	"Simian"	1.69	0.658	6	11.9	0.233	"Stephan_etal_1981_TableXVI"
"Papio anubis"	"Simian"	1.86	0.405	12.7	51.1	0.347	"Stephan_etal_1981_TableXVI"
"Cercopithecus mitis"	"Simian"	1.96	0.432	5.38	15.3	0.258	"Stephan_etal_1981_TableXVI"
"Cercopithecus ascanius"	"Simian"	2.13	0.509	4.23	4.66	0.217	"Stephan_etal_1981_TableXVI"
"Cercopithecus talapoin"	"Simian"	0.866	0.192	2.07	2.03	0.22	"Stephan_etal_1981_TableXVI"
"Colobus badius"	"Simian"	2.26	0.454	4.54	7.31	0.265	"Stephan_etal_1981_TableXVI"
"Pan troglodytes"	"Simian"	2.7	0.606	9.4	38	0.387	"Stephan_etal_1981_TableXVI"
"Gorilla gorilla"	"Simian"	5.79	1.3	23.9	7.96	1.41	"Stephan_etal_1981_TableXVI"
"Homo sapiens sapiens"	"Simian"	0.524	0.508	17	142	0.0203	"Stephan_etal_1981_TableXVI"
