"species_sci"	"Species"	"Body_weight"	"Brain_weight_g"	"Neonate_brain_weight_g"	"Neocortex_mm^3"	"GI"	"Ventricle_mm^3"	"Maximum_lifespan_yrs"	"Age_at_first_breeding_F_mnths"	"Age_at_first_breeding_days"	"Female_sexual_maturity_days"	"Male_sexual_maturity_days"	"Gestation_days"	"Litter_size"	"Litters_per_year"	"Inter-litter_interval_days"	"Weaning_period_days"	"Weight_at_birth_g"	"Weight_at_weaning_g"	"Juvenility_primates_years"	"Juvenility_days"	"Max_home_range_ha"	"% Fruit and seeds"	"Activity_timing"	"Diet_breadth"	"Trophic_level"	"Population_group_size"	"Social_group_size"	"Adult_head_body_length_mm"	"Age_at_eye_opening_days"	"Altricial_precocial"	"Basal_metabolic_rate"	"Dispersal_age_days"	"Habitat_breadth"	"Social_system"	"Glia_neuron_ratio"	"Neuronal_density"	"Glial_cell_density"	"Neurogenic_period_days"	"Phylo_rank"
"Tachyglossus aculeatus"	"Tachyglossus_aculeatus"	4720	27.5	"NA"	"NA"	1.3555	"NA"	"49.5"	"NA"	"NA"	"548"	"548"	"22"	"1"	"NA"	"730"	"200"	"0.379"	"400"	"NA"	"NA"	"62"	"NA"	"2"	"1"	"3"	"NA"	"1"	"375"	"NA"	"NA"	"414.04"	"NA"	"2"	"NA"	"NA"	"NA"	"NA"	"NA"	1
"Mus musculus"	"Mus_musculus"	22.25	0.55	"0.09"	"NA"	1.03	"NA"	"4"	"4.59"	"139.6125"	"42"	"42"	"19"	"6"	"5.4"	"30"	"22"	"1.375"	"8.9"	"NA"	"117.6125"	"0.06"	"NA"	"1"	"6"	"1"	"NA"	"NA"	"80"	"14"	"1"	"56.76"	"NA"	"2"	"3"	"NA"	"NA"	"NA"	"9"	2
"Rattus norvegicus"	"Rattus_norvegicus"	314.6666667	2.406666667	"0.28"	"NA"	1.02	"NA"	"4"	"2.99"	"90.94583333"	"90"	"70"	"21"	"8.949999999999999"	"3.7"	"NA"	"25"	"5.365"	"63.8"	"NA"	"65.94583333"	"0.253"	"NA"	"2"	"1"	"1"	"NA"	"NA"	"399"	"15"	"1"	"NA"	"NA"	"2"	"3"	"NA"	"NA"	"NA"	"10"	3
"Mesocricetus auratus"	"Mesocricetus_auratus"	115	1.01	"0.06"	"NA"	1.01	"NA"	"3.9"	"2.42"	"73.60833332999999"	"48"	"48"	"16"	"7.65"	"3"	"NA"	"20"	"2.125"	"22.93"	"NA"	"53.60833333"	"NA"	"NA"	"1"	"4"	"2"	"NA"	"NA"	"180"	"13"	"1"	"NA"	"NA"	"1"	"3"	"NA"	"NA"	"NA"	"9"	4
"Castor canadensis"	"Castor_canadensis"	21750	41.16666667	"13.9"	"NA"	1.02	"NA"	"23.4"	"22.28"	"677.6833333"	"639"	"639"	"128"	"3.2"	"1"	"365"	"60"	"451"	"NA"	"NA"	"617.6833333"	"6"	"NA"	"2"	"3"	"1"	"NA"	"5.1"	"754.74"	"0.5"	"2"	"NA"	"729.99"	"3"	"NA"	"NA"	"NA"	"NA"	"NA"	5
"Hydrochoerus hydrochaeris"	"Hydrochoerus_hydrochaeris"	42250	63.5	"24.8"	"NA"	1.3	"NA"	"15.1"	"24.99"	"760.1125"	"456"	"456"	"136.5"	"3.9"	"1.25"	"245"	"103"	"1350"	"8299"	"NA"	"657.1125"	"10"	"NA"	"2"	"5"	"1"	"NA"	"10"	"1208.39"	"0"	"2"	"6596.25"	"NA"	"3"	"4"	"NA"	"NA"	"NA"	"NA"	6
"Dasyprocta leporina"	"Dasyprocta_leporina"	3265	17.2	"7.72"	"NA"	1.23	"NA"	"17.8"	"NA"	"NA"	"193"	"NA"	"112"	"1"	"NA"	"NA"	"140"	"164.81"	"NA"	"NA"	"NA"	"NA"	"NA"	"3"	"3"	"1"	"NA"	"NA"	"572.29"	"0"	"2"	"1558.46"	"NA"	"1"	"1"	"1.12"	"77625"	"87096"	"NA"	7
"Oryctolagus cuniculus"	"Oryctolagus_cuniculus*"	2000	6.5	"1.29"	"NA"	1.15	"NA"	"9"	"3.99"	"121.3625"	"730"	"274"	"30"	"5"	"4.3"	"29"	"26"	"41.5"	"214"	"NA"	"95.3625"	"1.65"	"NA"	"2"	"2"	"1"	"NA"	"NA"	"400"	"10"	"1"	"NA"	"NA"	"NA"	"3"	"NA"	"NA"	"NA"	"13"	8
"Cercopithecus mitis"	"Cercopithecus_mitis"	5041.29	67	"NA"	"NA"	1.785	"NA"	"37.8"	"68.64"	"2087.8"	"1673"	"1673"	"132"	"1"	"0.5"	"515"	"315"	"366.4"	"NA"	"NA"	"1772.8"	"10"	"NA"	"3"	"4"	"2"	"NA"	"16"	"575"	"NA"	"2"	"3455.75"	"NA"	"NA"	"3"	"0.16"	"245471"	"39811"	"NA"	9
"Erythrocebus patas"	"Erythrocebus_patas"	7421.4	105.65	"NA"	"77141"	1.91	"561"	"21.6"	"36"	"1095"	"1246.07"	"1246.07"	"167"	"1"	"NA"	"365"	"234"	"546.5"	"1950"	"1.96"	"861"	"2824"	"75"	"3"	"4"	"2"	"20.5"	"28"	"665"	"NA"	"2"	"NA"	"NA"	"NA"	"4"	"0.37"	"416869"	"154882"	"NA"	10
"Miopithecus talapoin"	"Miopithecus_talapoin"	1381	39.1	"NA"	"26427"	1.74	"262"	"NA"	"52.56"	"1598.7"	"1395"	"2008"	"164.5"	"1"	"1"	"730.5"	"168.3333333"	"187.1"	"450"	"3.44"	"1430.366667"	"120"	"NA"	"3"	"3"	"2"	"66.5"	"91.2"	"354.99"	"NA"	"2"	"NA"	"NA"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	11
"Mandrillus sphinx"	"Mandrillus_sphinx*"	12125	159.4	"NA"	"NA"	2.1384	"NA"	"40"	"48"	"1460"	"2122.11"	"2122.11"	"197.5"	"1"	"NA"	"510"	"349"	"751.5"	"3000"	"2.56"	"1111"	"2634"	"NA"	"3"	"4"	"2"	"30"	"13.9"	"758.9400000000001"	"NA"	"2"	"NA"	"NA"	"2"	"NA"	"0.52"	"263027"	"138038"	"NA"	12
"Lophocebus albigena"	"Lophocebus_albigena"	7992.75	103.375	"NA"	"68733"	1.865	"742"	"32.7"	"49.05"	"1491.9375"	"2525.48"	"2525.48"	"175"	"1.01"	"NA"	"NA"	"365"	"498.58"	"2170"	"2.61"	"1126.9375"	"410"	"64"	"3"	"3"	"2"	"17"	"16"	"521.55"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	13
"Papio hamadryas"	"Papio_hamadryas"	16000	182	"75"	"NA"	1.985	"NA"	"37.5"	"63.12"	"1919.9"	"1514"	"1762"	"171"	"1"	"0.8"	"568"	"300"	"814"	"3950"	"NA"	"1619.9"	"1737"	"NA"	"3"	"2"	"1"	"54"	"36.9"	"675"	"NA"	"2"	"NA"	"NA"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	14
"Macaca mulatta"	"Macaca_mulatta"	7102.833333	89.22	"58"	"63482"	1.79	"834"	"36"	"50"	"1520.833333"	"1231"	"2007"	"165.6666667"	"1"	"1"	"404.5"	"292.5"	"485.825"	"1435"	"2.46"	"1228.333333"	"400"	"63"	"3"	"1"	"2"	"48"	"38.5"	"555"	"NA"	"2"	"2239"	"NA"	"NA"	"3"	"0.27"	"422149"	"113783"	"60"	15
"Piliocolobus badius"	"Piliocolobus_badius"	7854.833333	76.75	"NA"	"50906"	1.805	"455"	"NA"	"45.45"	"1382.4375"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"656.2"	"NA"	"NA"	"NA"	"726.2375"	"71"	"26"	"3"	"NA"	"NA"	"NA"	">10"	"NA"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	16
"Pygathrix nemaeus"	"Pygathrix_nemaeus"	8481.666667	84.83333333	"NA"	"48763"	1.635	"911"	"30"	"48"	"1460"	"1460"	"NA"	"190.5"	"1"	"1"	"365"	"330"	"428.25"	"NA"	"NA"	"1130"	"NA"	"NA"	"3"	"2"	"1"	"9.300000000000001"	"9.300000000000001"	"326.37"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	17
"Gorilla gorilla"	"Gorilla_gorilla"	99648.4	477.44	"227"	"341444"	2.26	"3608"	"50"	"103.5"	"3148.125"	"2829"	"4015"	"264.5"	"1"	"0.3"	"1403.5"	"1004"	"1979.25"	"12595"	"6.58"	"2144.125"	"1800"	"67"	"3"	"3"	"NA"	"10"	"6"	"1594.44"	"NA"	"2"	"NA"	"5248.98"	"1"	"4"	"0.95"	"144544"	"138038"	"NA"	18
"Homo sapiens"	"Homo_sapiens"	61770.315	1300	"335"	"NA"	2.56	"NA"	"122.5"	"174"	"5292.5"	"4745"	"5110"	"274.78"	"1"	"0.3"	"958.12"	"725.86"	"3421"	"8999"	"11.2"	"4566.64"	"NA"	"NA"	"3"	"8"	"2"	"NA"	"NA"	"NA"	"0"	"2"	"NA"	"NA"	"3"	"1"	"0.72"	"234423"	"169824"	"112"	19
"Pan troglodytes"	"Pan_troglodytes"	41057.09091	392.06	"128"	"291592"	2.455	"1899"	"59.4"	"164.8"	"5012.666667"	"3376"	"2920"	"234"	"1"	"0.2"	"1320"	"1579.5"	"1736.25"	"8500"	"8.300000000000001"	"3433.166667"	"1085"	"66"	"3"	"6"	"2"	"45"	"45"	"796.09"	"0"	"2"	"9000"	"NA"	"2"	"3"	"0.59"	"208930"	"123027"	"NA"	20
"Pongo pygmaeus"	"Pongo_pygmaeus"	42447.66667	347.75	"129"	"NA"	2.21	"NA"	"59"	"125.04"	"3803.3"	"2555"	"2555"	"248.5"	"1"	"0.2"	"1787"	"1206.25"	"1654.5"	"11000"	"7.88"	"2597.05"	"777"	"64"	"3"	"5"	"2"	"1"	"1"	"890"	"NA"	"2"	"NA"	"NA"	"2"	"3"	"0.96"	"151356"	"144544"	"NA"	21
"Hylobates lar"	"Hylobates_lar"	5724.857143	101.52	"65"	"65800"	1.855	"555"	"44"	"101.1933333"	"3077.963888"	"2555"	"1825"	"212"	"1"	"0.5"	"997.5"	"626"	"378.55"	"1070"	"6.73"	"2451.963888"	"57"	"60"	"3"	"4"	"2"	"NA"	"3.2"	"545"	"NA"	"2"	"NA"	"NA"	"NA"	"2"	"NA"	"NA"	"NA"	"NA"	22
"Alouatta palliata"	"Alouatta_palliata*"	5892.8	52.75	"30.8"	"NA"	1.3275	"NA"	"24.3"	"45.5"	"1383.958333"	"1578.42"	"1578.42"	"186"	"1"	"NA"	"240"	"483.3333333"	"380"	"1100"	"1.35"	"900.625"	"31"	"NA"	"3"	"2"	"1"	"NA"	"13.1"	"576.35"	"NA"	"2"	"4670"	"NA"	"1"	"4"	"0.28"	"176349"	"49168"	"NA"	23
"Alouatta seniculus"	"Alouatta_seniculus"	5889.571429	54.95	"NA"	"NA"	1.465	"NA"	"25"	"58.5"	"1779.375"	"1475"	"NA"	"190.5"	"1.42"	"0.7"	"424"	"372"	"279"	"NA"	"3.04"	"1407.375"	"23"	"42"	"3"	"6"	"2"	"NA"	"7.9"	"560.21"	"NA"	"2"	"NA"	"NA"	"1"	"4"	"NA"	"NA"	"NA"	"NA"	24
"Ateles paniscus"	"Ateles_paniscus"	8447.428571	108.5	"NA"	"NA"	1.68	"NA"	"33"	"60"	"1825"	"1516"	"1280"	"229.5"	"1"	"0.5"	"680"	"788.3333333"	"459.375"	"3790"	"NA"	"1036.666667"	"225"	"82.90000000000001"	"3"	"6"	"2"	"NA"	"20"	"575.96"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	25
"Lagothrix lagothricha"	"Lagothrix_lagothricha"	5959	95.575	"NA"	"65873"	1.97	"1090"	"30"	"75.5"	"2296.458333"	"2555"	"1520"	"224"	"1"	"0.5"	"288"	"391.3333333"	"393"	"NA"	"3.53"	"1905.125"	"400"	"79"	"3"	"4"	"2"	"NA"	"33"	"536.39"	"NA"	"2"	"NA"	"NA"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	26
"Callicebus moloch"	"Callicebus_moloch*"	980	19	"NA"	"NA"	1.2537	"NA"	"24.6"	"36"	"1095"	"1262.74"	"1262.74"	"164"	"1.01"	"NA"	"365"	"60"	"74.40000000000001"	"1262.74"	"NA"	"1035"	"30"	"NA"	"3"	"3"	"2"	"NA"	"2.95"	"358.65"	"NA"	"2"	"NA"	"NA"	"1"	"2"	"0.27"	"467735"	"125893"	"NA"	27
"Aotus trivirgatus"	"Aotus_trivirgatus"	783.6	17.4	"10.1"	"9950"	1.31	"105"	"25.25"	"28.56666667"	"868.9027779"	"821"	"730"	"137.5"	"1"	"1.4"	"269"	"110.3333333"	"91.25"	"360"	"1.81"	"758.5694446"	"8.5"	"45.5"	"1"	"3"	"2"	"NA"	"3.15"	"357.99"	"NA"	"2"	"459.45"	"NA"	"1"	"2"	"0.12"	"410950"	"59930"	"NA"	28
"Callimico goeldii"	"Callimico_goeldii"	492.2	10.95	"5.8"	"6476"	1.255	"47.9"	"17.9"	"15.73333333"	"478.5555555"	"309.5"	"395"	"153"	"1"	"1.2"	"206.6666667"	"69.25"	"49.5125"	"167.5"	"0.7"	"409.3055555"	"45"	"NA"	"3"	"2"	"2"	"NA"	"6.85"	"280"	"NA"	"2"	"NA"	"NA"	"1"	"4"	"NA"	"NA"	"NA"	"NA"	29
"Callithrix jacchus"	"Callithrix_jacchus"	288.12	7.614285714	"3.63"	"4371"	1.17	"52"	"16.75"	"18.25"	"555.1041667"	"421"	"382"	"146"	"2.31"	"2"	"163"	"70.40000000000001"	"27.9325"	"107.785"	"0.85"	"484.7041667"	"6.5"	"22"	"3"	"5"	"2"	"NA"	"8.550000000000001"	"NA"	"NA"	"2"	"152"	"NA"	"1"	"2"	"NA"	"NA"	"NA"	"58"	30
"Saguinus midas"	"Saguinus_midas"	439.2	10.5	"NA"	"5883"	1.195	"251"	"13.3"	"24"	"730"	"608"	"NA"	"140.5"	"2"	"1.4"	"240"	"70.5"	"38"	"NA"	"NA"	"659.5"	"9"	"69"	"3"	"4"	"2"	"NA"	"5.55"	"264.21"	"NA"	"2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	31
"Saguinus oedipus"	"Saguinus_oedipus"	368.8333333	9.8	"NA"	"5894"	1.195	"NA"	"23.08"	"22.8"	"693.5"	"548"	"550"	"161.5"	"1.9"	"1"	"262"	"52"	"41.28"	"105"	"NA"	"641.5"	"32"	"NA"	"3"	"4"	"2"	"NA"	"7.05"	"239.99"	"NA"	"2"	"NA"	"NA"	"1"	"2"	"0.3"	"328541"	"102329"	"NA"	32
"Cebus albifrons"	"Cebus_albifrons"	2482.8	71.23333333	"33.65"	"NA"	1.69	"NA"	"44"	"48.1"	"1463.041667"	"1310"	"1310"	"158.3333333"	"1"	"0.7"	"546"	"270.6"	"230.85"	"917.6900000000001"	"2.85"	"1192.441667"	"15"	"24.6"	"3"	"5"	"2"	"NA"	"25"	"384.28"	"NA"	"2"	"NA"	"NA"	"2"	"3"	"NA"	"NA"	"NA"	"NA"	33
"Saimiri sciureus"	"Saimiri_sciureus"	680.6	22.98	"15.24"	"15541"	1.55	"299"	"27"	"30"	"912.5"	"1003"	"1826"	"168"	"1"	"1"	"351"	"176"	"138.6"	"410.5"	"NA"	"736.5"	"157"	"28"	"3"	"3"	"2"	"NA"	"36.09"	"322"	"NA"	"2"	"738.8099999999999"	"NA"	"1"	"3"	"0.25"	"478630"	"117490"	"NA"	34
"Tarsius bancanus"	"Tarsius_bancanus"	115.875	3	"2.09"	"NA"	1.075	"NA"	"12"	"30.24"	"919.8"	"920"	"NA"	"178"	"1"	"1.5"	"270"	"80"	"28.5"	"NA"	"NA"	"839.8"	"2"	"NA"	"1"	"3"	"2"	"NA"	"1"	"106.59"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"0.26"	"234510"	"60256"	"NA"	35
"Tarsius syrichta"	"Tarsius_syrichta"	112.05	3.833333333	"NA"	"NA"	1.1	"NA"	"30"	"30.2"	"918.5833333"	"NA"	"NA"	"179"	"1"	"NA"	"240"	"81.33333333"	"24.925"	"NA"	"1.82"	"837.25"	"1.3"	"NA"	"1"	"1"	"1"	"NA"	"1"	"117.74"	"NA"	"2"	"76.7"	"NA"	"1"	"NA"	"0.25"	"200103"	"50425"	"NA"	36
"Microcebus murinus"	"Microcebus_murinus"	71.828	1.846666667	"NA"	"740"	1.1	"11.3"	"15.5"	"14.83333333"	"451.1805555"	"243"	"243"	"60.75"	"2"	"1"	"250"	"39"	"5.525"	"NA"	"0.73"	"412.1805555"	"2"	"51"	"1"	"5"	"2"	"3.5"	"1"	"143.61"	"NA"	"2"	"84.06999999999999"	"NA"	"1"	"1"	"0.59"	"190546"	"112202"	"NA"	37
"Cheirogaleus major"	"Cheirogaleus_major"	433.25	6.433333333	"NA"	"2938"	1.15	"83.40000000000001"	"15"	"NA"	"NA"	"365"	"365"	"70"	"2.5"	"1"	"365"	"45"	"14.09"	"NA"	"NA"	"NA"	"4.2"	"NA"	"1"	"5"	"2"	"1"	"1"	"225"	"NA"	"2"	"NA"	"NA"	"1"	"1"	"NA"	"NA"	"NA"	"NA"	38
"Cheirogaleus medius"	"Cheirogaleus_medius"	214	3.013333333	"NA"	"1221"	1.11	"24.6"	"19.25"	"14.33333333"	"435.9722221"	"365"	"730"	"61.66666667"	"2.25"	"1"	"365"	"61.5"	"19"	"NA"	"0.86"	"374.4722221"	"4"	"NA"	"1"	"5"	"2"	"1"	"1"	"225"	"NA"	"2"	"148.1"	"NA"	"1"	"1"	"0.59"	"186209"	"109648"	"NA"	39
"Avahi laniger"	"Avahi_laniger"	1200.1428	10.6475	"NA"	"4813"	1.255	"172"	"NA"	"30.9"	"939.875"	"NA"	"NA"	"135"	"1"	"NA"	"365"	"165"	"29"	"500"	"NA"	"774.875"	"1.5"	"NA"	"1"	"3"	"1"	"NA"	"2"	"275"	"NA"	"2"	"NA"	"NA"	"2"	"2"	"NA"	"NA"	"NA"	"NA"	40
"Avahi occidentalis"	"Avahi_occidentalis"	832.333	9.685	"NA"	"4443"	1.145	"73.7"	"NA"	"NA"	"NA"	"NA"	"NA"	"135"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"1.5"	"NA"	"2"	"1"	"1"	"NA"	"3"	"NA"	"NA"	"2"	"NA"	"NA"	"1"	"2"	"NA"	"NA"	"NA"	"NA"	41
"Propithecus verreauxi"	"Propithecus_verreauxi"	3547.125	26.9	"NA"	"13170"	1.345	"231"	"20.6"	"43.46666667"	"1322.111111"	"912"	"912"	"146.75"	"1"	"1"	"448.5"	"173.25"	"94.15000000000001"	"1000"	"2.62"	"1148.861111"	"8.5"	"41"	"3"	"3"	"1"	"7.5"	"6.3"	"472.49"	"NA"	"2"	"670"	"NA"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	42
"Indri indri"	"Indri_indri"	7410.8333	37.35	"NA"	"20114"	1.455	"330"	"34.5"	"84"	"2555"	"2008"	"2008"	"159.5"	"1"	"0.42"	"906"	"364.3333333"	"300"	"NA"	"NA"	"2190.666667"	"18"	"43"	"3"	"4"	"1"	"3.5"	"3.1"	"734.99"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	43
"Daubentonia madagascariensis"	"Daubentonia_madagascariensis"	2640.285	44.8875	"NA"	"22127"	1.25	"392"	"24.25"	"35.5"	"1079.791667"	"882"	"NA"	"164.5"	"1"	"1"	"756"	"244"	"119.3333333"	"1535"	"2.04"	"835.7916667"	"11"	"0"	"1"	"6"	"2"	"1"	"1"	"400"	"NA"	"2"	"1393.9"	"NA"	"2"	"NA"	"NA"	"NA"	"NA"	"NA"	44
"Eulemur fulvus"	"Eulemur_fulvus"	1933.8	28.1	"10.69"	"12207"	1.46	"194"	"36"	"29.875"	"908.6979167"	"548"	"548"	"120"	"1"	"NA"	"730"	"159"	"75.7"	"1350"	"1.46"	"749.6979167"	"8.75"	"NA"	"2"	"4"	"2"	"9.25"	"9.15"	"469.62"	"NA"	"2"	"NA"	"NA"	"1"	"3"	"NA"	"NA"	"NA"	"NA"	45
"Eulemur mongoz"	"Eulemur_mongoz"	1632.75	20.75	"NA"	"NA"	1.33	"NA"	"30"	"30.1"	"915.5416667"	"550"	"550"	"127.6666667"	"1.05"	"1"	"NA"	"152"	"58.4"	"60"	"1.75"	"763.5416667"	"70"	"65"	"2"	"4"	"2"	"4"	"2.7"	"354.85"	"NA"	"2"	"940"	"NA"	"1"	"NA"	"0.59"	"234423"	"138038"	"NA"	46
"Lemur catta"	"Lemur_catta"	2264.25	23.05	"8.77"	"NA"	1.325	"NA"	"30"	"29.72"	"903.9833333"	"595"	"912"	"135.3333333"	"1.133333333"	"0.9"	"433.6666667"	"139.6666667"	"63.516"	"1080"	"1.35"	"764.3166666"	"35"	"54"	"2"	"4"	"2"	"15"	"16.45"	"425"	"1"	"2"	"651.4"	"NA"	"2"	"NA"	"0.85"	"70795"	"60256"	"NA"	47
"Varecia variegata"	"Varecia_variegata"	3344.857	49.825	"10.59"	"15293"	1.315	"299"	"13"	"23.3"	"708.7083333"	"604"	"608"	"119.5"	"2.1"	"1"	"365"	"109.25"	"88.2"	"2696.5"	"NA"	"599.4583333"	"25.8"	"73.90000000000001"	"2"	"4"	"1"	"3.5"	"2.8"	"547.35"	"NA"	"2"	"603.6"	"NA"	"2"	"3"	"NA"	"NA"	"NA"	"NA"	48
"Lepilemur ruficaudatus"	"Lepilemur_ruficaudatus"	821.8933	7.5	"NA"	"3282"	1.135	"76.5"	"NA"	"19.5"	"593.125"	"595"	"NA"	"163"	"1"	"1"	"365"	"121"	"27"	"250"	"NA"	"472.125"	"NA"	"NA"	"1"	"2"	"1"	"NA"	"1"	"NA"	"NA"	"2"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	49
"Perodicticus potto"	"Perodicticus_potto"	1008.4285	13.54	"NA"	"6683"	1.265	"127"	"26"	"24.55"	"746.7291667"	"547"	"547"	"186"	"1"	"1"	"304"	"142.25"	"40.55"	"NA"	"1.09"	"604.4791667"	"12"	"65"	"1"	"4"	"2"	"NA"	"1"	"320"	"NA"	"2"	"347.82"	"NA"	"1"	"1"	"NA"	"NA"	"NA"	"NA"	50
"Loris tardigradus"	"Loris_tardigradus"	281.44	6.633333333	"2.69"	"3524"	1.285	"51.6"	"16.4"	"18"	"547.5"	"380"	"365"	"165.75"	"1.45"	"1.5"	"234"	"160"	"11.175"	"139"	"0.58"	"387.5"	"1"	"15"	"1"	"4"	"2"	"NA"	"1"	"224.49"	"NA"	"2"	"147.5"	"NA"	"1"	"4"	"NA"	"NA"	"NA"	"NA"	51
"Nycticebus coucang"	"Nycticebus_coucang"	828.1875	11.73333333	"4"	"6.192"	1.205	"142"	"26.5"	"25.3"	"769.5416667"	"578"	"NA"	"192"	"1"	"1"	"428.5"	"157.25"	"46.16"	"520"	"1.09"	"612.2916667"	"5"	"60"	"1"	"6"	"2"	"NA"	"1"	"300"	"NA"	"2"	"240"	"NA"	"1"	"1"	"0.49"	"109648"	"53703"	"NA"	52
"Galago senegalensis"	"Galago_senegalensis"	178.7	4.8	"2.3"	"2139"	1.17	"40.2"	"17"	"11.4"	"346.75"	"240"	"300"	"130.6666667"	"1.55"	"2"	"242.5"	"87.33333333"	"15.55"	"125"	"0.74"	"259.4166667"	"11"	"0"	"1"	"3"	"2"	"NA"	"3.5"	"160"	"NA"	"2"	"180.225"	"NA"	"NA"	"4"	"0.45"	"338844"	"151356"	"NA"	53
"Otolemur crassicaudatus"	"Otolemur_crassicaudatus"	952.428	10.6	"4"	"4723"	1.255	"147"	"15.66"	"23"	"699.5833333"	"430"	"639"	"134"	"1.533333333"	"1"	"281.3333333"	"121"	"43.96"	"500"	"1.47"	"578.5833333"	"10"	"27"	"1"	"5"	"2"	"NA"	"3.5"	"307"	"NA"	"2"	"457.15"	"NA"	"NA"	"1"	"NA"	"NA"	"NA"	"NA"	54
