"Family"	"Species"	"ecology"	"ecology_ref"	"female_endocranial_volume_ml"	"endocranial_volume_ref"	"endocranial_volume_notes"	"habitual_tool_use"	"tool_use_ref"	"tool_use_notes"	"name_in_tree"	"source"
"Atelidae"	"Ateles fusciceps"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	107.549	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Ateles_fusciceps"	"Caspar_etal_2022"
"Atelidae"	"Ateles geoffroyi"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	103.459	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Ateles_geoffroyi"	"Caspar_etal_2022"
"Atelidae"	"Ateles hybridus"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	102.594	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Ateles_belzebuth"	"Caspar_etal_2022"
"Callitrichidae"	"Leontopithecus chrysomelas"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	11.836	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	"Pooled data for males and females"	"No"	NA	NA	"Leontopithecus_chrysomelas"	"Caspar_etal_2022"
"Callitrichidae"	"Leontopithecus chrysopygus"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	13.04	"Kirk, E. C. (2006). Visual influences on primate encephalization. Journal of Human Evolution, 51(1), 76-90."	"Data from closely related species (L. rosalia), pooled data for males and females"	"No"	NA	NA	"Leontopithecus_chrysopygus"	"Caspar_etal_2022"
"Callitrichidae"	"Leontopithecus rosalia"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	13.04	"Kirk, E. C. (2006). Visual influences on primate encephalization. Journal of Human Evolution, 51(1), 76-90."	"Pooled data for males and females"	"No"	NA	NA	"Leontopithecus_rosalia"	"Caspar_etal_2022"
"Cebidae"	"Sapajus flavius"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	63.653	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	"Data from sister species (S. libidinosus)"	"Yes"	"Souto, A., Bione, C. B., Bastos, M., Bezerra, B. M., Fragaszy, D., & Schiel, N. (2011). Critically endangered blonde capuchins fish for termites and use new techniques to accomplish the task. Biology Letters, 7(4), 532-535."	NA	"Sapajus_flavius"	"Caspar_etal_2022"
"Cebidae"	"Sapajus apella"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	64.136	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"Yes"	"Boinski, S., Quatrone, R. P., & Swartz, H. (2000). Substrate and tool use by brown capuchins in Suriname: ecological contexts and cognitive bases. American Anthropologist, 102(4), 741-761."	NA	"Cebus_apella"	"Caspar_etal_2022"
"Cebidae"	"Sapajus xanthosternos"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	64.005	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"Yes"	"Canale, G. R., Guidorizzi, C. E., Kierulff, M. C. M., & Gatto, C. A. F. R. (2009). First record of tool use by wild populations of the yellow‐breasted capuchin monkey (Cebus xanthosternos) and new records for the bearded capuchin (Cebus libidinosus). American Journal of Primatology: Official Journal of the American Society of Primatologists, 71(5), 366-372."	NA	"Cebus_xanthosternos"	"Caspar_etal_2022"
"Cebidae"	"Saimiri sciureus"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	23.523	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Saimiri_sciureus"	"Caspar_etal_2022"
"Cercopithecidae"	"Cercocebus torquatus"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	93.482	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Cercocebus_torquatus"	"Caspar_etal_2022"
"Cercopithecidae"	"Cercopithecus diana/roloway"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	57.293	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Cercopithecus_diana"	"Caspar_etal_2022"
"Cercopithecidae"	"Cercopithecus neglectus"	"Arboreal"	"Gautier-Hion, A (1988) Polyspecific associations among
forest guenons: Ecological, behavioral and evolutionary aspects. In A Gautier-Hion, F Bourliere, J-P Gautier, and J Kingdon (eds.): A Primate Radiation-Evolutionary Biology of the African Guenons. Cambridge:
Cambridge Press, pp. 452-476."	60.862	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Cercopithecus_neglectus"	"Caspar_etal_2022"
"Cercopithecidae"	"Macaca fascicularis"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	60.934	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"Yes"	"Malaivijitnond, S., Lekprayoon, C., Tandavanittj, N., Panha, S., Cheewatham, C., & Hamada, Y. (2007). Stone‐tool usage by Thai long‐tailed macaques (Macaca fascicularis). American Journal of Primatology: Official Journal of the American Society of Primatologists, 69(2), 227-233."	NA	"Macaca_fascicularis"	"Caspar_etal_2022"
"Cercopithecidae"	"Macaca nemestrina"	"Terrestrial"	"Ruppert, N., Holzner, A., See, K. W., Gisbrecht, A., & Beck, A. (2018). Activity budgets and habitat use of wild southern pig-tailed macaques (Macaca nemestrina) in oil palm plantation and forest. International Journal of Primatology, 39(2), 237-251."	97.854	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Macaca_nemestrina"	"Caspar_etal_2022"
"Cercopithecidae"	"Macaca silenus"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	78	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Macaca_silenus"	"Caspar_etal_2022"
"Cercopithecidae"	"Macaca sylvanus"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	92.913	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Macaca_sylvanus"	"Caspar_etal_2022"
"Cercopithecidae"	"Mandrillus sphinx"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	136.422	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Mandrillus_sphinx"	"Caspar_etal_2022"
"Cercopithecidae"	"Papio hamadryas"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	137	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Papio_hamadryas"	"Caspar_etal_2022"
"Cercopithecidae"	"Semnopithecus entellus"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	95.237	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Semnopithecus_entellus"	"Caspar_etal_2022"
"Cercopithecidae"	"Theropithecus gelada"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	123.223	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Theropithecus_gelada"	"Caspar_etal_2022"
"Cercopithecidae"	"Trachypithecus auratus"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	62.594	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Trachypithecus_auratus"	"Caspar_etal_2022"
"Cercopithecidae"	"Papio anubis"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	156.056	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Papio_anubis"	"Caspar_etal_2022"
"Cercopithecidae"	"Rhinopithecus roxellana"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	115.535	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	"Pooled data for males and females"	"No"	NA	NA	"Rhinopithecus_roxellana"	"Caspar_etal_2022"
"Cercopithecidae"	"Trachypithecus hathinensis"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	81	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	"Data from closely related species (T. francoisi)"	"No"	NA	NA	"Trachypithecus_francoisi"	"Caspar_etal_2022"
"Cercopithecidae"	"Pygathrix cinerea"	"Arboreal"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	94.85	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	"Data from sister species (P. nemaeus), pooled data for males and females"	"No"	NA	NA	"Pygathrix_cinerea"	"Caspar_etal_2022"
"Cercopithecidae"	"Macaca tonkeana"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	93.791	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	NA	"Macaca_tonkeana"	"Caspar_etal_2022"
"Hominidae"	"Pan paniscus"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	326.5	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	"Wild bonobos do use tools, but those are almost exclusively associated with social and self-care activities and not with foraging, which is of special relevance for the the tool use hypothesis of handedness evolution. We therefore categorize bonobos as non-habitual tool users for the context of our analyses. Compare Musgrave, S., & Sanz, C. (2018). Tool use in nonhuman primates. The international encyclopedia of anthropology, 1-7."	"Pan_paniscus"	"Caspar_etal_2022"
"Hominidae"	"Gorilla gorilla"	"Terrestrial"	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	433.735	"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765."	NA	"No"	NA	"Tool use in wild gorillas has been demonstrated, but is exceedingly rare when compared to other great apes or capuchins. Thus, we do not recognize them as habitual tool users here (see Musgrave, S., & Sanz, C. (2018). Tool use in nonhuman primates. The international encyclopedia of anthropology, 1-7.)"	"Gorilla_gorilla_gorilla"	"Caspar_etal_2022"
