"species"	"group"	"bulbus_olfactorius_mm3"	"palaeocortex_plus_amygdala_mm3"	"septum_mm3"	"striatum_mm3"	"schizocortex_mm3"	"hippocampus_mm3"	"neocortex_mm3"	"source"
"Callithrix jacchus"	"Simian"	28.4	224	49.7	332	85.2	238	4357	"Stephan_etal_1970_Table6"
"Saguinus oedipus"	"Simian"	24.6	282	68.6	420	99.6	259	6050	"Stephan_etal_1970_Table6"
"Saguinus tamarin"	"Simian"	16.8	203	43.6	415	113	278	5969	"Stephan_etal_1970_Table6"
"Aotes trivirgatus"	"Simian"	60.3	394	92.9	779	255	479	9354	"Stephan_etal_1970_Table6"
"Callicebus moloch"	"Simian"	16.8	425	64.7	721	212	481	8973	"Stephan_etal_1970_Table6"
"Pithecia monacha"	"Simian"	38.2	699	123	1642	283	850	21266	"Stephan_etal_1970_Table6"
"Alouatta seniculus"	"Simian"	45.2	943	154	2566	428	1325	29843	"Stephan_etal_1970_Table6"
"Cebus sp."	"Simian"	49.6	1186	212	3295	436	892	47045	"Stephan_etal_1970_Table6"
"Cebus albifrons"	"Simian"	37.2	892	161	3635	401	1029	53073	"Stephan_etal_1970_Table6"
"Saimiri sciureus"	"Simian"	25.4	411	83	929	154	316	14246	"Stephan_etal_1970_Table6"
"Ateles geoffroyi"	"Simian"	92.6	1625	324	4950	732	1366	70856	"Stephan_etal_1970_Table6"
"Lagothrix logotricha"	"Simian"	83	1502	241	4662	597	1381	66087	"Stephan_etal_1970_Table6"
"Macaca mulatta"	"Simian"	84.3	1220	271	4032	639	1353	63481	"Stephan_etal_1970_Table6"
"Cercocebus albigena"	"Simian"	121	1639	294	4146	630	1485	68733	"Stephan_etal_1970_Table6"
"Cercopithecus talapoin"	"Simian"	22.3	732	121	1835	237	684	25747	"Stephan_etal_1970_Table6"
"Cercopithecus ascanius"	"Simian"	96.5	1136	243	2627	673	1154	43818	"Stephan_etal_1970_Table6"
"Cercopithecus mitis"	"Simian"	118	1282	249	2769	625	1385	50599	"Stephan_etal_1970_Table6"
"Colobus badius"	"Simian"	51.3	998	288	3156	814	1671	50906	"Stephan_etal_1970_Table6"
"Pan troglodytes"	"Simian"	267	2852	882	12700	2093	3919	302392	"Stephan_etal_1970_Table6"
"Gorilla gorilla"	"Simian"	294	4530	1090	13547	2537	4446	317542	"Stephan_etal_1970_Table6"
"Homo sapiens"	"Simian"	114	9161	2610	28559	6142	10287	1006525	"Stephan_etal_1970_Table6"
