species	Neocortex_GMWM	Neocortex_GM	n_decasien_entries	source
Cebus apella	45000.0	31900.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Cercocebus torquatus	63900.0	42700.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Gorilla gorilla	246900.0	152700.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Hylobates lar	56600.0	39900.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Macaca mulatta	55700.0	36500.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Pan paniscus	218500.0	142900.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Pan troglodytes	238000.0	147100.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Papio cynocephalus	100100.0	65000.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Pongo pygmaeus	287700.0	193300.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
Saimiri sciureus	16500.0	11700.0	1	Rilling_Insel_1999_viaDeCasien (via DeCasien_Higham_2019 MOESM3, ref 62-63)
