"Species"	"Reference"	"n"	"Anesthesia"	"Mode"	"Region"	"CMRgl_umol_100g_min"	"CMRgl_SD"	"CMRO2_umol_100g_min"	"CMRO2_SD"	"CBF_ml_100g_min"	"CBF_SD"	"source"
"Homo"	"(Baxter et al., 1987)"	7	"none"	"PET"	"Basal Ganglia"	29.4	3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Baxter et al., 1987)"	7	"none"	"PET"	"Basal Ganglia"	35.9	4.3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Baxter et al., 1988)"	10	"none"	"PET"	"Basal Ganglia"	33.5	7.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Bromberg et al., 1990)"	12	"none"	"PET"	"Basal Ganglia"	39.8	9.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Brooks et al., 1987)"	27	"none"	"PET"	"Basal Ganglia"	46.9	8.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Buchsbaum et al., 1989)"	10	"none"	"PET"	"Basal Ganglia"	24.8	6.4	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Chugani et al., 1987)"	7	"none"	"PET"	"Basal Ganglia"	32.9	1.3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Clark et al., 2001)"	32	"none"	"PET"	"Basal Ganglia"	42.5	6.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Delvenne et al., 1997)"	10	"none"	"PET"	"Basal Ganglia"	30.6	2.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Delvenne et al., 1999)"	10	"none"	"PET"	"Basal Ganglia"	30.6	2.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Duara et al., 1983)"	18	"none"	"PET"	"Basal Ganglia"	29.4	7.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Foster et al., 1984)"	8	"none"	"PET"	"Basal Ganglia"	39.4	1.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Gilman et al., 1990)"	13	"none"	"PET"	"Basal Ganglia"	34.5	6.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Gilman et al., 1990)"	10	"none"	"PET"	"Basal Ganglia"	38.3	8.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Heiss et al., 1985)"	6	"none"	"PET"	"Basal Ganglia"	41.1	4.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Hu et al., 2000)"	9	"none"	"PET"	"Basal Ganglia"	41.3	10.3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Kuhl et al., 1982)"	25	"none"	"PET"	"Basal Ganglia"	36.3	8.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Ludolph et al., 1992)"	12	"none"	"PET"	"Basal Ganglia"	48.2	11	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Mazziotta et al., 1981)"	7	"none"	"PET"	"Basal Ganglia"	38.5	9.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Peranietal., 1995)"	15	"none"	"PET"	"Basal Ganglia"	41.1	4.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Phillips et al., 1991)"	14	"none"	"PET"	"Basal Ganglia"	36.2	6.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Redies et al., 1989)"	4	"none"	"PET"	"Basal Ganglia"	31	2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Rudolf et al., 2000)"	16	"none"	"PET"	"Basal Ganglia"	39.4	6.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Schapiro et al., 1990)"	13	"none"	"PET"	"Basal Ganglia"	55.4	8.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Tedeschi et al., 1995)"	11	"none"	"PET"	"Basal Ganglia"	35.9	6.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Tommasino et al., 1995)"	10	"none"	"PET"	"Basal Ganglia"	38.1	4.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Volkow et al., 1992)"	11	"none"	"PET"	"Basal Ganglia"	42.2	5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Wu et al., 1992)"	15	"none"	"PET"	"Basal Ganglia"	27.1	6.5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"Present Study"	5	"none"	"PET"	"Basal Ganglia"	42.6	4.1	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(De Voider et al., 1997)"	3	"none"	"PET"	"Basal Ganglia"	41.1	5.3	177.3	15.3	50.4	6.6	"Kaufman__2004"
"Homo"	"(Hatazawa et al., 1988)"	7	"none"	"PET"	"Basal Ganglia"	27.3	4.1	144.2	37.5	50.1	7.1	"Kaufman__2004"
"Homo"	"(Herold et al., 1988)"	8	"none"	"PET"	"Basal Ganglia"	24.3	2.4	136.4	11.6	40.1	7.5	"Kaufman__2004"
"Homo"	"(Leenders etal., 1990)"	34	"none"	"PET"	"Basal Ganglia"	NA	NA	137.1	18.3	42.4	7.6	"Kaufman__2004"
"Homo"	"(Bums and Tyrrell, 1992)"	4	"none"	"PET"	"Basal Ganglia"	NA	NA	167	21	NA	NA	"Kaufman__2004"
"Homo"	"(Kaisti et al., 2003)"	8	"none"	"PET"	"Basal Ganglia"	NA	NA	217.2	40.4	NA	NA	"Kaufman__2004"
"Homo"	"(Kaisti et al., 2003)"	8	"Sevoflurane"	"PET"	"Basal Ganglia"	NA	NA	151.1	28.1	NA	NA	"Kaufman__2004"
"Homo"	"(Langsjo et al., 2003)"	10	"none"	"PET"	"Basal Ganglia"	NA	NA	179.7	23.9	NA	NA	"Kaufman__2004"
"Homo"	"(Perlmutter et al., 1987)"	32	"none"	"PET"	"Basal Ganglia"	NA	NA	133	34.8	NA	NA	"Kaufman__2004"
"Homo"	"(Sasaki et al., 1986)"	7	"none"	"PET"	"Basal Ganglia"	NA	NA	159.4	29.6	NA	NA	"Kaufman__2004"
"Homo"	"(Wessen et al., 1997)"	6	"none"	"PET"	"Basal Ganglia"	NA	NA	238	30	NA	NA	"Kaufman__2004"
"Homo"	"(Yamaguchi et al., 1986)"	14	"none"	"PET"	"Basal Ganglia"	NA	NA	176.8	28.3	NA	NA	"Kaufman__2004"
"Papio"	"(Meguro et al., 1999)"	8	"Phencyclidine, N 20"	"PET"	"Basal Ganglia"	47.7	6.1	NA	NA	NA	NA	"Kaufman__2004"
"Papio"	"Present Study"	2	"70% N 20"	"PET"	"Basal Ganglia"	44.6	5.8	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Brownell et al., 1994)"	2	"Ketamine"	"PET"	"Basal Ganglia"	50.6	2.4	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Enlund et al., 1997)"	4	"Ketamine, N 20"	"PET"	"Basal Ganglia"	37.1	8.1	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1988)"	3	"none"	"Sokoloff"	"Basal Ganglia"	40	3	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1990)"	4	"none"	"Sokoloff"	"Basal Ganglia"	51.3	4	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1991)"	4	"none"	"Sokoloff"	"Basal Ganglia"	46	3	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Porrino et al., 1987)"	3	"none"	"Sokoloff"	"Basal Ganglia"	40.8	3	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Noda et al., 2002)"	6	"none"	"PET"	"Basal Ganglia"	40.9	9.1	NA	NA	60.5	11.1	"Kaufman__2004"
"M mulatta"	"(Cross et al., 2000)"	6	"none"	"PET"	"Basal Ganglia"	NA	NA	255	32	NA	NA	"Kaufman__2004"
"M fascic"	"(Brownell et al., 1994)"	1	"Ketamine"	"PET"	"Basal Ganglia"	57.8	4.8	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Deuel and Collins, 1984)"	4	"none"	"Sokoloff"	"Basal Ganglia"	55.8	NA	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Kennedy et al., 1978)"	7	"none"	"Sokoloff"	"Basal Ganglia"	45.5	NA	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Kuge et al., 2001)"	4	"Sevoflurane, N 20"	"PET"	"Basal Ganglia"	35.5	8.8	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Lyons et al., 1996)"	3	"none"	"Sokoloff"	"Basal Ganglia"	42.2	3	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Schwartzman et al., 1988)"	6	"none"	"Sokoloff"	"Basal Ganglia"	38	1.6	NA	NA	NA	NA	"Kaufman__2004"
"Saimiri"	"1993)"	4	"Fentanyl, N 20"	"Sokoloff"	"Basal Ganglia"	97	6	NA	NA	NA	NA	"Kaufman__2004"
"Sus"	"(Manohar, 1986)"	6	"none"	"Microspheres"	"Basal Ganglia"	NA	NA	NA	NA	102.6	5.8	"Kaufman__2004"
"Sus"	"(Manohar, 1986)"	6	"Sevoflurane"	"MicTospheres"	"Basal Ganglia"	NA	NA	NA	NA	86	7.3	"Kaufman__2004"
"Sus"	"(Manohar, 1986)"	6	"Sevoflurane"	"Microspheres"	"Basal Ganglia"	NA	NA	NA	NA	83.7	7.2	"Kaufman__2004"
"Lepus"	"(Passero et al., 1981)"	5	"none"	"Sokoloff"	"Basal Ganglia"	58.7	3.6	NA	NA	NA	NA	"Kaufman__2004"
"Felis"	"(Hovda et al., 1996)"	7	"none"	"Sokoloff"	"Basal Ganglia"	59.4	12	NA	NA	NA	NA	"Kaufman__2004"
