Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Acinonyx jubatus,gait,Duty_Factor,percent,70,70,1,1,1,True,Wimberly,primary,70,70
Acinonyx jubatus,gait,Foot_Posture,category,digitigrade,,1,1,1,True,Wimberly,primary,,
Acinonyx jubatus,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Acinonyx jubatus,gait,Phase,percent,18,18,1,1,1,True,Wimberly,primary,18,18
Acrobates pygmaeus,gait,Duty_Factor,percent,55.35,55.35,1,1,1,True,Wimberly,primary,55.35,55.35
Acrobates pygmaeus,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Acrobates pygmaeus,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
Acrobates pygmaeus,locomotion,Locomotor_diversity_index,index,1.46311620781614,1.46311620781614,1,1,1,True,Granatosky,primary,1.46311620781614,1.46311620781614
Acrobates pygmaeus,gait,Phase,percent,50.19,50.19,1,1,1,True,Wimberly,primary,50.19,50.19
Aepyceros melampus,gait,Duty_Factor,percent,68,68,1,1,1,True,Wimberly,primary,68,68
Aepyceros melampus,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Aepyceros melampus,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Aepyceros melampus,gait,Phase,percent,19,19,1,1,1,True,Wimberly,primary,19,19
Ailuropoda melanoleuca,gait,Duty_Factor,percent,66.04377104,66.04377104,1,1,1,True,Wimberly,primary,66.04377104,66.04377104
Ailuropoda melanoleuca,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Ailuropoda melanoleuca,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Ailuropoda melanoleuca,gait,Phase,percent,20.16835,20.16835,1,1,1,True,Wimberly,primary,20.16835,20.16835
Ailurus fulgens,gait,Duty_Factor,percent,61.16666667,61.16666667,1,1,1,True,Wimberly,primary,61.16666667,61.16666667
Ailurus fulgens,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
