"Species","Variable","Value","Source"
"Orycteropus afer","Species_as_printed","Orycteropus afer","Heffner & Masterton 1975 (dexterity)"
"Orycteropus afer","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Orycteropus afer","Digital dexterity","2","Heffner & Masterton 1975 (dexterity)"
"Orycteropus afer","Body weight kg","60","Heffner & Masterton 1975 (dexterity)"
"Orycteropus afer","Area of tract mmˆ2","0.53","Heffner & Masterton 1975 (dexterity)"
"Orycteropus afer","Penetration down spinal cord","Upper C","VERHAART, 1970"
"Myrmecophaga jubata","Species_as_printed","Myrmecophaga jubata","Heffner & Masterton 1975 (dexterity)"
"Myrmecophaga jubata","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Myrmecophaga jubata","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Myrmecophaga jubata","Body weight kg","20","Heffner & Masterton 1975 (dexterity)"
"Myrmecophaga jubata","Largest fiber diameter µm","10","VERHAART, 1970"
"Myrmecophaga jubata","Area of tract mmˆ2","0.6","Heffner & Masterton 1975 (dexterity)"
"Dasypus novemcinctus","Species_as_printed","Dasypus novemcinctus","Heffner & Masterton 1975 (dexterity)"
"Dasypus novemcinctus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Dasypus novemcinctus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Dasypus novemcinctus","Body weight kg","5","Heffner & Masterton 1975 (dexterity)"
"Dasypus novemcinctus","Largest fiber diameter µm","2","VERHAART, 1970"
"Dasypus novemcinctus","Area of tract mmˆ2","0.6","Heffner & Masterton 1975 (dexterity)"
"Dasypus novemcinctus","Penetration down spinal cord","T3","FISHER el al., 1969"
"Dasypus novemcinctus","Lamina of axon terminals deepest","8","FISHER el al., 1969"
"Dasypus novemcinctus","Lamina of axon terminals densest","6","Heffner & Masterton 1975 (dexterity)"
"Desmodus rufus","Species_as_printed","Desmodus rufus","Heffner & Masterton 1975 (dexterity)"
"Desmodus rufus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Desmodus rufus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Desmodus rufus","Body weight kg","0.033","Heffner & Masterton 1975 (dexterity)"
"Desmodus rufus","Area of tract mmˆ2","0.01","Heffner & Masterton 1975 (dexterity)"
"Horpyiocepalus leucogostra","Species_as_printed","Horpyiocepalus leucogostra","Heffner & Masterton 1975 (dexterity)"
"Horpyiocepalus leucogostra","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Horpyiocepalus leucogostra","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Horpyiocepalus leucogostra","Body weight kg","0.01","Heffner & Masterton 1975 (dexterity)"
"Horpyiocepalus leucogostra","Area of tract mmˆ2","0.04","Heffner & Masterton 1975 (dexterity)"
"Myotis","Species_as_printed","Myotis","Heffner & Masterton 1975 (dexterity)"
"Myotis","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Myotis","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Myotis","Body weight kg","0.03","Heffner & Masterton 1975 (dexterity)"
"Myotis","Area of tract mmˆ2","0.01","Heffner & Masterton 1975 (dexterity)"
"Myotis","Penetration down spinal cord","S","BROERE, 1966"
"Pteropus edulis","Species_as_printed","Pteropus edulis","Heffner & Masterton 1975 (dexterity)"
"Pteropus edulis","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Pteropus edulis","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Pteropus edulis","Body weight kg","0.9","Heffner & Masterton 1975 (dexterity)"
"Pteropus edulis","Area of tract mmˆ2","0.12","Heffner & Masterton 1975 (dexterity)"
"Rhinolophus","Species_as_printed","Rhinolophus","Heffner & Masterton 1975 (dexterity)"
"Rhinolophus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Rhinolophus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Rhinolophus","Body weight kg","0.016","Heffner & Masterton 1975 (dexterity)"
"Rhinolophus","Area of tract mmˆ2","0.01","Heffner & Masterton 1975 (dexterity)"
"Tadarida cynocephala","Species_as_printed","Tasarida cynocephala","Heffner & Masterton 1975 (dexterity)"
"Tadarida cynocephala","species_basis","spelling_correction","Heffner & Masterton 1975 (dexterity)"
"Tadarida cynocephala","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Tadarida cynocephala","Body weight kg","1.3","Heffner & Masterton 1975 (dexterity)"
"Tadarida cynocephala","Number of fibers per tract","8000","Heffner & Masterton 1975 (dexterity)"
"Tadarida cynocephala","Average fiber size x 10ˆ5 K","0.25","Heffner & Masterton 1975 (dexterity)"
"Tadarida cynocephala","Area of tract mmˆ2","0.02","Heffner & Masterton 1975 (dexterity)"
"Castor canadensis","Species_as_printed","Castor canadiensis","Heffner & Masterton 1975 (dexterity)"
"Castor canadensis","species_basis","spelling_correction","Heffner & Masterton 1975 (dexterity)"
"Castor canadensis","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Castor canadensis","Body weight kg","13","Heffner & Masterton 1975 (dexterity)"
"Castor canadensis","Penetration down spinal cord","S","DOUGLAS and BARR, 1950"
"Otolemur garnettii","Species_as_printed","Galago crassicaudatus","Heffner & Masterton 1975 (dexterity)"
"Otolemur garnettii","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Otolemur garnettii","Digital dexterity","5","Heffner & Masterton 1975 (dexterity)"
"Otolemur garnettii","Body weight kg","1.14","Heffner & Masterton 1975 (dexterity)"
"Otolemur garnettii","Penetration down spinal cord","S","FERRER, 1971"
"Otolemur garnettii","Lamina of axon terminals deepest","9","FERRER, 1971"
"Otolemur garnettii","Lamina of axon terminals densest","6","FERRER, 1971"
"Galago senegalensis","Species_as_printed","Galago senegalensis","Heffner & Masterton 1975 (dexterity)"
"Galago senegalensis","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Galago senegalensis","Digital dexterity","5","Heffner & Masterton 1975 (dexterity)"
"Galago senegalensis","Body weight kg","0.26","Heffner & Masterton 1975 (dexterity)"
"Galago senegalensis","Largest fiber diameter µm","2.5","VERHAART, 1966"
"Galago senegalensis","Penetration down spinal cord","Lower L","VERHAART, 1966"
"Camelus","Species_as_printed","Camelus","Heffner & Masterton 1975 (dexterity)"
"Camelus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Camelus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Camelus","Body weight kg","570","Heffner & Masterton 1975 (dexterity)"
"Camelus","Largest fiber diameter µm","6","VERHAART, 1970"
"Felis catus","Species_as_printed","Felis catus","Heffner & Masterton 1975 (dexterity)"
"Felis catus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Felis catus","Digital dexterity","2","Heffner & Masterton 1975 (dexterity)"
"Felis catus","Body weight kg","3.5","Heffner & Masterton 1975 (dexterity)"
"Felis catus","Number of fibers per tract","186000","LASSEK and RASMUSSEN, 1940"
"Felis catus","Largest fiber diameter µm","5","SCHIEBEL and SCHIEBEL, 1966"
"Felis catus","Average fiber size x 10ˆ5 K","0.6","Heffner & Masterton 1975 (dexterity)"
