"Family"	"Species"	"Play frequency"	"Play frequency Minimum"	"Play frequency Maximum"	"Play wrestling"	"EQ"	"Neocortex"
"Acrobatidae"	"Acrobates pygmaeus"	"1"	1	1	NA	192	507
"Burramyidae"	"Burramys parvus"	"1"	1	1	NA	181	420
"Burramyidae"	"Cercartetus nanus"	"1"	1	1	NA	213	515
"Dasyuridae"	"Antechinomys laniger"	"1"	1	1	0	208	397
"Dasyuridae"	"Antechinus stuartii"	"1"	1	1	0	196	430
"Dasyuridae"	"Dasycercus cristicaudata"	"3"	3	3	1	215	443
"Dasyuridae"	"Dasyuroides byrnei"	"3"	3	3	1	181	308
"Dasyuridae"	"Dasyurus hallucatus"	"3"	3	3	1	149	312
"Dasyuridae"	"Dasyurus maculatus"	"3"	3	3	1	170	391
"Dasyuridae"	"Dasyurus viverrinus"	"3"	3	3	1	165	355
"Dasyuridae"	"Phascogale tapoatafa"	"1"	1	1	0	181	343
"Dasyuridae"	"Planigale ingrami"	"1"	1	1	0	84	106
"Dasyuridae"	"Planigale maculata"	"1"	1	1	0	129	203
"Dasyuridae"	"Sarcophilus harrisii"	"3"	3	3	1	152	324
"Dasyuridae"	"Sminthopsis crassicaudata"	"2"	2	2	0	185	349
"Didelphidae"	"Didelphis virginianus"	"1"	1	1	0	134	239
"Didelphidae"	"Monodelphis domestica"	"2/3C"	2	3	1	144	237
"Macropodidae"	"Aepyprymnus rufescens"	"2/3C"	2	3	1	216	677
"Macropodidae"	"Bettongia penicillata"	"3"	3	3	0	273	824
"Macropodidae"	"Dendrolagus dorianus"	"3"	3	3	1	228	NA
"Macropodidae"	"Dendrolagus lumholtzi"	"2/3C"	2	3	1	205	654
"Macropodidae"	"Dorcopsis luctuosa"	"2/3C"	2	3	1	243	727
"Macropodidae"	"Hypsiprymnodon moschatus"	"2"	2	2	0	263	736
"Macropodidae"	"Lagorchestes conspicillatus"	"2"	2	2	1	180	567
"Macropodidae"	"Macropus agilis"	"3"	3	3	1	165	519
"Macropodidae"	"Macropus antilopinus"	"3"	3	3	1	160	496
"Macropodidae"	"Macropus dorsalis"	"3"	3	3	1	203	646
"Macropodidae"	"Macropus eugenii"	"3"	3	3	1	227	828
"Macropodidae"	"Macropus fuliginosus"	"3"	3	3	1	198	NA
"Macropodidae"	"Macropus giganteus"	"3"	3	3	1	176	630
"Macropodidae"	"Macropus parma"	"3"	3	3	1	232	788
"Macropodidae"	"Macropus parryi"	"3"	3	3	1	180	568
"Macropodidae"	"Macropus robustus"	"3"	3	3	1	174	606
"Macropodidae"	"Macropus rufogriseus"	"3"	3	3	1	185	592
"Macropodidae"	"Macropus rufus"	"3"	3	3	1	169	541
"Macropodidae"	"Petrogale assimilis"	"3"	3	3	1	194	581
"Macropodidae"	"Petrogale lateralis"	"3"	3	3	1	202	664
"Macropodidae"	"Petrogale penicillata"	"3"	3	3	1	231	742
"Macropodidae"	"Potorous tridactylus"	"2/3C"	2	3	0	279	726
"Macropodidae"	"Thylogale billardierii"	"3"	3	3	1	196	593
"Macropodidae"	"Thylogale stigmatica"	"3"	3	3	1	211	655
"Macropodidae"	"Thylogale thetis"	"3"	3	3	1	181	565
"Macropodidae"	"Wallabia bicolor"	"3"	3	3	1	185	564
"Myrmecobiidae"	"Myrmecobius fasciatus"	"3"	3	3	0	211	NA
"Peramelidae"	"Isoodon obesulus"	"1"	1	1	NA	134	192
"Peramelidae"	"Perameles gunii"	"1"	1	1	0	170	245
"Peramelidae"	"Macrotis lagotis"	"2"	2	2	0	207	NA
"Petauridae"	"Dactylopsila trivirgata"	"1"	1	1	0	320	1120
"Petauridae"	"Gymnobelideus leadbeateri"	"2"	2	2	1	306	976
"Petauridae"	"Petauroides volans"	"1"	1	1	NA	112	319
"Petauridae"	"Petaurus australis"	"3"	3	3	1	275	914
"Petauridae"	"Petaurus breviceps"	"3"	3	3	1	262	827
"Petauridae"	"Pseudocheirus peregrinus"	"2"	2	2	NA	176	504
"Phalangeridae"	"Trichosurus vulpecula"	"2"	2	2	NA	205	586
"Phascolarctidae"	"Phascolarctos cinereus"	"2"	2	2	1	134	364
"Tarsipedidae"	"Tarsipes rostratus"	"2"	2	2	NA	175	523
"Vombatidae"	"Lasiorhinus latifrons"	"3"	3	3	1	164	520
"Vombatidae"	"Vombatus ursinus"	"3"	3	3	1	197	609
