"Species"	"Common name"	"Absolute Brain Mass (g)"	"Neonatal Brain Mass (g)"	"Body Mass (g)"	"Gestation (days)"	"Walking onset (Postnatal days)"	"Walking onset (Postconception days)"	"Precocial/Altricial"	"Hindlimb Standing Position"	"Absolute Brain Mass (g) Ref"	"Body Mass (g) Ref"	"Gestation (days) Ref"	"Walking onset (Postnatal days) Ref"
"Orycteropus afer"	"Aardvark"	72	NA	52000	225	14	239	"Alt"	"Plant."	"(3)"	"(3)"	"(3)"	"(3)"
"Dasypus novemcinctus"	"Armadillo"	12	3.5	3700	120	1	121	"Pre"	"Plant."	"(1)"	"(1)"	"(1)"	"(2)"
"Camelus dromedarius"	"Camel"	762	NA	690000	395	1	396	"Pre"	"Nonplant."	"(6)"	"(2)"	"(22)"	NA
"Felis catus"	"Cat"	28.4	5.6	2500	65	32	97	"Alt"	"Nonplant."	"(1)"	"(1)"	"(9)"	"(20)"
"Pan troglodytes"	"Chimpanzee"	382	128	45000	230	153	383	"Pre"	"Plant."	"(4)"	"(1)"	"(1)"	"(5)"
"Axis axis"	"Chital"	219	78.6	88500	218	1	219	"Pre"	"Nonplant."	"(1)"	"(1)"	"(1)"	NA
"Bos taurus"	"Cow"	456	199	520000	280	1	281	"Pre"	"Nonplant."	"(1)"	"(1)"	"(1)"	NA
"Canis lupus familiaris"	"Dog"	70.2	6.8	8480	63	49	112	"Alt"	"Nonplant."	"(1)"	"(1)"	"(1)"	"(21)"
"Loxodonta africana"	"Elephant"	4480	1650	2750000	655	1	656	"Pre"	"Nonplant."	"(1)"	"(1)"	"(1)"	NA
"Elephantulus myurus"	"Elephant shrew"	1.37	0.58	64	46	1	47	"Pre"	"Plant."	"(1)"	"(1)"	"(1)"	"(2)"
"Cervus canadensis"	"Elk"	435	203	200000	255	1	256	"Pre"	"Nonplant."	"(1)"	"(1)"	"(1)"	NA
"Mustela putorius furo"	"Ferret"	7.1	NA	1800	41	35	76	"Alt"	"Plant."	"(18)"	"(2)"	"(9)"	"(19)"
"Gorilla gorilla"	"Gorilla"	500	227	140000	265	183	448	"Pre"	"Plant."	"(6)"	"(1)"	"(1)"	"(5)"
"Cavia porcellus"	"Guinea pig"	4	2.52	971	65	1	66	"Pre"	"Plant."	"(15)"	"(1)"	"(16)"	"(17)"
"Mesocricetus auratus"	"Hamster"	1.12	0.06	125	15.5	13	28.5	"Alt"	"Plant."	"(1)"	"(1)"	"(9)"	"(14)"
"Erinaceus europaeus"	"Hedgehog"	3.5	0.313	928	40	14	54	"Alt"	"Plant."	"(1)"	"(1)"	"(2)"	"(23)"
"Hippopotamus amphibius"	"Hippopotamus"	590	195	1400000	240	1	241	"Pre"	"Nonplant."	"(1)"	"(1)"	"(1)"	NA
"Equus caballus"	"Horse"	585	368	484000	330	1	331	"Pre"	"Nonplant."	"(1, 6)"	"(1)"	"(1)"	NA
"Homo sapiens"	"Human"	1350	335	65000	270	357	627	"Pre"	"Plant."	"(6)"	"(1)"	"(1)"	"(7)"
"Macaca mulatta"	"Macaque"	93.8	55	7340	165	61	226	"Pre"	"Plant."	"(8)"	"(1)"	"(9)"	"(10)"
"Mus musculus"	"Mouse"	0.45	0.09	24	18.5	11	29.5	"Alt"	"Plant."	"(1)"	"(1)"	"(9)"	"(13)"
"Rattus norvegicus"	"Rat"	2	0.28	339	21.5	15	36.5	"Alt"	"Plant."	"(6)"	"(1)"	"(9)"	"(12)"
"Ovis aries"	"Sheep"	140	52	48800	150	1	151	"Pre"	"Nonplant."	"(6)"	"(1)"	"(1)"	NA
"Tupaia belangeri"	"Tree shrew"	3.15	0.53	150	46	21	67	"Alt"	"Plant."	"(1)"	"(1)"	"(1)"	"(11)"
