"species"	"group"	"Bulbus_olfactorius"	"Bulbus_olfactorius_accessorius"	"Lobus_piriformis"	"Septum"	"Striatum"	"Schizo_cortex"	"Hippocampus"	"Neocortex"	"source"
"Tupaia glis"	"Prosimian"	131.5	2.41	269	27.5	140	114	152	1036	"Stephan_etal_1981_TableV"
"Tupaia minor"	"Prosimian"	94.3	2.28	205	26.1	124	91.9	132	774	"Stephan_etal_1981_TableV"
"Urogale everetti"	"Prosimian"	184	2.1	362	45.1	199	124	173	1338	"Stephan_etal_1981_TableV"
"Cheirogaleus major"	"Prosimian"	158	4.04	332	58.9	327	149	347	2938	"Stephan_etal_1981_TableV"
"Cheirogaleus medius"	"Prosimian"	102	2.66	198	32.5	145	65.3	174	1221	"Stephan_etal_1981_TableV"
"Microcebus murinus"	"Prosimian"	43	1.62	103	15.3	85.7	40.1	100	740	"Stephan_etal_1981_TableV"
"Lepilemur ruficaudatus"	"Prosimian"	113	2.72	302	56.7	366	194	392	3282	"Stephan_etal_1981_TableV"
"Lemur fulvus"	"Prosimian"	207	3.21	641	119	1215	422	752	12207	"Stephan_etal_1981_TableV"
"Lemur variegatus"	"Prosimian"	369	5.27	985	206	1591	608	1404	15293	"Stephan_etal_1981_TableV"
"Avahi l. laniger"	"Prosimian"	89.2	3.01	284	69.7	524	241	526	4813	"Stephan_etal_1981_TableV"
"Avahi laniger occidentalis"	"Prosimian"	70.1	2.55	265	69.3	478	222	476	4443	"Stephan_etal_1981_TableV"
"Propithecus verreauxi"	"Prosimian"	147	3.4	664	159	1411	443	1043	13170	"Stephan_etal_1981_TableV"
"Indri indri"	"Prosimian"	168	2.32	838	205	1855	848	1520	20114	"Stephan_etal_1981_TableV"
"Daubentonia madagascar."	"Prosimian"	685	8.31	1538	254	2765	1044	1776	22127	"Stephan_etal_1981_TableV"
"Loris tardigradus"	"Prosimian"	85.8	2.3	256	41.1	351	99.7	191	3524	"Stephan_etal_1981_TableV"
"Nycticebus coucang"	"Prosimian"	159	4.28	510	92	760	212	566	6192	"Stephan_etal_1981_TableV"
"Perodicticus potto"	"Prosimian"	310	2.74	661	114	712	328	607	6683	"Stephan_etal_1981_TableV"
"Galago crassicaudatus"	"Prosimian"	166	2.52	386	70	556	181	461	4723	"Stephan_etal_1981_TableV"
"Galago demidovii"	"Prosimian"	83.1	1.26	181	25.7	169	59.9	152	1568	"Stephan_etal_1981_TableV"
"Galago senegalensis"	"Prosimian"	79.2	2.58	163	35.7	210	107	261	2139	"Stephan_etal_1981_TableV"
"Tarsius sp."	"Prosimian"	18.8	0.82	92.7	23.3	133	69	153	1768	"Stephan_etal_1981_TableV"
