table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S6	Cingulate cortex	Cingulate cortex	mouse	Mus musculus	False	CMRgl	1.06	0.12	umol/g/min		Quelven et al 2004, estim.
S6	Cingulate cortex	Cingulate cortex	rat	Rattus norvegicus	False	CMRgl	0.91	0.16	umol/g/min		Dube et al 2001
S6	Cingulate cortex	Cingulate cortex	rat	Rattus norvegicus	False	CMRgl	1.21	0.05	umol/g/min		Levant et al 2004
S6	Cingulate cortex	Cingulate cortex	rat	Rattus norvegicus	False	CMRgl	0.83	0.09	umol/g/min		Blin et al 1991
S6	Cingulate cortex	Cingulate cortex	average rat	Rattus norvegicus	True	CMRgl	0.98	0.1	umol/g/min		
S6	Cingulate cortex	Cingulate cortex	cat	Felis catus	False	CMRgl	0.7	0.06	umol/g/min		Schwartzman et al 1986
S6	Cingulate cortex	Cingulate cortex	monkey	Macaca mulatta	False	CMRgl	0.37	0.09	umol/g/min		Noda et al 2002
S6	Cingulate cortex	Cingulate cortex	monkey	Macaca mulatta	False	CMRgl	0.4	0.02	umol/g/min		Palombo et al 1990
S6	Cingulate cortex	Cingulate cortex	average monkey	Macaca mulatta	True	CMRgl	0.39	0.06	umol/g/min		
S6	Cingulate cortex	Cingulate cortex	baboon	Papio anubis	False	CMRgl	0.49	0.17	umol/g/min		Meguro et al 1999
S6	Cingulate cortex	Cingulate cortex	human	Homo sapiens	False	CMRgl	0.31	0.02	umol/g/min		Blin et al 1991
