"Species"	"Br_I/C"	"Cb_I/C"	"Ctx_I/C"	"Cx_I/C"	"Hp_I/C"	"RoB_I/C"
"Antidorcas marsupialis"	0.0471887746165505	0.0216467443304106	0.0587	0.0586341328994011	0.057	0.0606648880530952
"Aotus trivirgatus"	NA	NA	NA	0.0184	NA	NA
"Canis familiaris"	0.0625	0.0191	0.0796	0.0795	0.0781	0.1059
"Cebus apella"	NA	NA	NA	0.0285	NA	NA
"Dendrohyrax dorsalis"	0.0296	0.0054	0.0479	0.049	0.0602	0.0557
"Dendrolagus goodfellowi"	0.0335	0.0066	0.0519	0.0525	0.0614	0.0573
"Didelphis aurita"	0.0393	0.0143	0.0742	0.0718	0.0616	0.077
"Elephantulus myurus"	0.0138	0.0073	0.0168	0.0224	0.0293	0.0308
"Felis catus"	0.0359	0.0172	0.0559	0.0547	0.0305	0.0311
"Giraffa camelopardalis"	0.0692	0.0207	0.0861	0.0863	0.0951	0.0986
"Homo sapiens sapiens"	NA	NA	NA	0.0279	0.0404	NA
"Loxodonta africana"	0.0438	0.0243	0.0741	0.0746	0.1132	0.0692
"Macaca fascicularis"	NA	NA	NA	0.0409	NA	NA
"Macaca nemestrina"	NA	NA	NA	0.0362	NA	NA
"Macropus fuliginosus"	0.0396	0.0084	0.058	0.059	0.0703	0.065
"Macropus parma"	0.038	0.0073	0.0539	0.0555	0.0657	0.0575
"Macropus rufogriseus"	0.0428	0.0092	0.0667	0.0692	0.0885	0.0639
"Macropus rufus"	NA	0.0158	NA	NA	NA	NA
"Marmosops incanus"	0.0296	0.0074	0.0494	0.0485	0.0412	0.0651
"Metachirus nudicaudatus"	0.0254	0.0104	0.0306	0.0313	0.0353	0.0554
"Mungos mungo"	NA	0.0185	NA	NA	0.0337	0.038
"Mustela putorius furo"	0.048	0.0205	0.0648	0.0673	0.0879	0.0895
"Otolemur garnettii"	NA	NA	NA	0.0826	NA	NA
"Panthera leo"	0.0662	0.0175	0.103	0.1019	0.0571	0.0973
"Papio anubis cynocephalus"	NA	NA	NA	0.0382	NA	NA
"Petrodromus tetradactylus"	0.0257	0.0088	0.0483	0.0503	0.0591	0.0408
"Procavia capensis"	0.0415	0.0135	0.0678	0.0675	0.0654	0.0482
"Saguinus midas"	NA	NA	NA	0.0272	NA	NA
"Sarcophilus harrisii"	0.0158	0.0105	0.0197	0.0218	0.0325	0.0202
"Sus scrofa domesticus"	0.0873617623254779	0.0388	0.108011310195764	0.109832797745959	0.1513	0.112504786002109
"Tragelaphus strepsiceros"	0.055273667862973	0.0182	0.0645204852055977	0.0641181033412503	0.0548	0.0787330731973596
"Ursus arctos"	0.0458	0.0163	0.0823	0.0811	0.0342	0.036
"Wallabia bicolor"	0.0509	0.0171	0.0791	0.0768	0.0559	0.0795
