"Species"	"Reference"	"n"	"Anesthesia"	"Mode"	"Region"	"CMRgl_umol_100g_min"	"CMRgl_SD"	"CMRO2_umol_100g_min"	"CMRO2_SD"	"CBF_ml_100g_min"	"CBF_SD"	"source"
"Homo"	"(Biver et al., 1994)"	12	"none"	"PET"	"Hippocampus"	19.4	3	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Duara et al., 1983)"	18	"none"	"PET"	"Hippocampus"	23	6.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Heiss etal., 1985)"	6	"none"	"PET"	"Hippocampus"	38.3	5.2	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Ishiietal., 1998)"	22	"none"	"PET"	"Hippocampus"	29	3.7	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Phillips et al., 1991)"	14	"none"	"PET"	"Hippocampus"	30.8	5	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Rudolf et al., 2000)"	16	"none"	"PET"	"Hippocampus"	30.5	3.8	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Schapiro et al., 1990)"	13	"none"	"PET"	"Hippocampus"	38.6	4.9	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"Present Study"	5	"none"	"PET"	"Hippocampus"	33.2	4.6	NA	NA	NA	NA	"Kaufman__2004"
"Homo"	"(Yamaguchi et al., 1986)"	14	"none"	"PET"	"Hippocampus"	NA	NA	137.1	24.6	42.2	NA	"Kaufman__2004"
"Homo"	"(Seitz and Roland, 1992)"	26	"none"	"PET"	"Hippocampus"	NA	NA	NA	NA	52.6	NA	"Kaufman__2004"
"Papio"	"(Meguro et al., 1999)"	8	"Phencyclidine, N 20"	"PET"	"Hippocampus"	30.8	5.4	NA	NA	NA	NA	"Kaufman__2004"
"Papio"	"(Millien et al., 2002)"	10	"Phencyclidine, N 20"	"PET"	"Hippocampus"	32.3	8	NA	NA	NA	NA	"Kaufman__2004"
"Papio"	"Present Study"	2	"N 20"	"PET"	"Hippocampus"	33.1	6.8	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Nakamura et al., 1983)"	4	"none"	"Sokoloff"	"Hippocampus"	42	NA	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Noda et al., 2002)"	6	"none"	"PET"	"Hippocampus"	32.2	5.2	NA	NA	53.9	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1988)"	3	"none"	"Sokoloff"	"Hippocampus"	33	2	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1990)"	4	"none"	"Sokoloff"	"Hippocampus"	32	1	NA	NA	NA	NA	"Kaufman__2004"
"M mulatta"	"(Palombo et al., 1991)"	4	"none"	"Sokoloff"	"Hippocampus"	30.5	1	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Kennedy et al., 1978)"	7	"none"	"Sokoloff"	"Hippocampus"	39	2	NA	NA	NA	NA	"Kaufman__2004"
"M fascic"	"(Lyons et al., 1996)"	3	"none"	"Sokoloff"	"Hippocampus"	30	1	NA	NA	NA	NA	"Kaufman__2004"
"Saimiri"	"(Delgado-Zygmunt et al., 1993)"	4	"Fentanyl, N 20"	"Sokoloff"	"Hippocampus"	48	3	NA	NA	NA	NA	"Kaufman__2004"
"Lepus"	"(Passero et al., 1981)"	5	"none"	"Sokoloff"	"Hippocampus"	58.1	2.5	NA	NA	NA	NA	"Kaufman__2004"
"Felis"	"(Hovda et a l, 1996)"	7	"none"	"Sokoloff"	"Hippocampus"	52	15	NA	NA	NA	NA	"Kaufman__2004"
"Felis"	"(Petitjean et al., 1982)"	4	"none"	"Sokoloff"	"Hippocampus"	48	4	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Choki et al., 1983)"	6	"none"	"Sokoloff"	"Hippocampus"	69	19	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Choki et al., 1984)"	3	"N 20"	"Sokoloff"	"Hippocampus"	38.9	13.9	NA	NA	NA	NA	"Kaufman__2004"
"Meriones"	"(Mies et al., 1990)"	4	"Halothane"	"Sokoloff"	"Hippocampus"	74.3	4	NA	NA	80.3	6.7	"Kaufman__2004"
"Meriones"	"(Mies et al., 1984)"	2	"none"	"Sokoloff"	"Hippocampus"	NA	NA	NA	NA	109	9	"Kaufman__2004"
"Meriones"	"(Suzuki et al., 1983)"	7	"Halothane"	"Sokoloff"	"Hippocampus"	NA	NA	NA	NA	93	5.3	"Kaufman__2004"
"Rattus"	"(Bassant et al., 1996)"	7	"none"	"Sokoloff"	"Hippocampus"	62	5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Bassant et al., 1996)"	8	"none"	"Sokoloff"	"Hippocampus"	58	7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Blin et al., 1991)"	10	"none"	"Sokoloff"	"Hippocampus"	56.4	7.1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Bryan etal., 1983)"	6	"none"	"Sokoloff"	"Hippocampus"	50	2.4	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Bryan and Lehman, 1988)"	10	"none"	"Sokoloff"	"Hippocampus"	57	3.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Chang et al., 2001)"	8	"none"	"Sokoloff"	"Hippocampus"	63	14.1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crane and Porrino, 1989)"	6	"none"	"Sokoloff"	"Hippocampus"	72	2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crane and Porrino, 1989)"	6	"none"	"Sokoloff"	"Hippocampus"	71	4	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crosby et al., 1982)"	8	"none"	"Sokoloff"	"Hippocampus"	73	5.7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crosby et al., 1984)"	5	"none"	"Sokoloff"	"Hippocampus"	62	6.7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Crosby et al., 1984)"	5	"N 20"	"Sokoloff"	"Hippocampus"	77	4.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Dam etal., 1990)"	5	"none"	"Sokoloff"	"Hippocampus"	51	11.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Davis et al., 1986)"	10	"none"	"Sokoloff"	"Hippocampus"	64	12	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Dow-Edwards et al., 1986)"	4	"none"	"Sokoloff"	"Hippocampus"	75	6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Duelli et al., 2000)"	5	"none"	"Sokoloff"	"Hippocampus"	60.2	4.7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Eintrei et al., 1999)"	6	"none"	"Sokoloff"	"Hippocampus"	87	7.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Fomai and Orzi, 2001)"	5	"none"	"Sokoloff"	"Hippocampus"	60.5	9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Freedland et al., 2002)"	5	"none"	"Sokoloff"	"Hippocampus"	72.6	8.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Frietsch et al., 2000)"	12	"none"	"Sokoloff"	"Hippocampus"	55	6.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Frietsch et al., 2000)"	12	"Isoflurane"	"Sokoloff"	"Hippocampus"	39.5	7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Furlow et al., 1983)"	5	"none"	"Sokoloff"	"Hippocampus"	53	13	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Grome and McCulloch, 1983)"	6	"none"	"Sokoloff"	"Hippocampus"	78	19	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Hakim et al., 1983)"	7	"none"	"Sokoloff"	"Hippocampus"	83	15.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Hawkins et al., 1979)"	19	"none"	"Sokoloff"	"Hippocampus"	72	13.1	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Hawkins et al., 1985)"	9	"none"	"Sokoloff"	"Hippocampus"	66	5.4	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ingvar and Siesjo, 1982)"	6	"none"	"Sokoloff"	"Hippocampus"	48	4.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ingvar and Siesjo, 1982)"	10	"N 20"	"Sokoloff"	"Hippocampus"	46	6.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Katsumata et al., 2001)"	5	"none"	"Sokoloff"	"Hippocampus"	67.3	10.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Knapp et al., 2002)"	8	"none"	"Sokoloff"	"Hippocampus"	66.8	1.6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Lu et al., 1983)"	10	"none"	"Sokoloff"	"Hippocampus"	59	6.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(MacNeill and Bryan, 1988)"	10	"none"	"Sokoloff"	"Hippocampus"	62	9.5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Nehlig et al., 1985)"	6	"none"	"Sokoloff"	"Hippocampus"	76	9.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Ori etal., 1986)"	6	"none"	"Sokoloff"	"Hippocampus"	47	7.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Orzi et al., 1983)"	5	"none"	"Sokoloff"	"Hippocampus"	72	8.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Otori et al., 2003)"	6	"none"	"Sokoloff"	"Hippocampus"	45.3	13	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Poindessous-Jazat et al., 1998)"	7	"none"	"Sokoloff"	"Hippocampus"	65.5	5	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Poindessous-Jazat et al., 1998)"	5	"none"	"Sokoloff"	"Hippocampus"	59	6.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Savaki et al., 1983)"	7	"none"	"Sokoloff"	"Hippocampus"	68	7.9	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Schwartz and Crosby, 1985)"	6	"none"	"Sokoloff"	"Hippocampus"	80	7.3	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"("	NA	NA	"Sokoloff"	"Hippocampus"	1977	10	79	1	NA	NA	"Kaufman__2004"
"Rattus"	"(Soncrant et al., 1992)"	16	"none"	"Sokoloff"	"Hippocampus"	58	8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Wechsler et al., 1979)"	5	"none"	"Sokoloff"	"Hippocampus"	79	11.2	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Grome and McCulloch, 1981)"	16	"none"	"Sokoloff"	"Hippocampus"	73	6	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Whitlow et al., 2002)"	5	"none"	"Sokoloff"	"Hippocampus"	78.8	6.7	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Walker et al., 1999)"	5	"none"	"Sokoloff"	"Hippocampus"	74.7	6.8	NA	NA	NA	NA	"Kaufman__2004"
"Rattus"	"(Lear etal., 1981)"	4	"none"	"Sokoloff"	"Hippocampus"	70	8	NA	NA	81	10	"Kaufman__2004"
"Rattus"	"(Lenz et al., 1998)"	6	"none"	"Sokoloff"	"Hippocampus"	52	8	NA	NA	76	10	"Kaufman__2004"
"Rattus"	"(Maekawa et al., 1986)"	6	"none"	"Sokoloff"	"Hippocampus"	57	11	NA	NA	104	18	"Kaufman__2004"
"Rattus"	"(Cremer and Seville, 1983)"	8	"none"	"Sokoloff"	"Hippocampus"	NA	NA	NA	NA	102	6	"Kaufman__2004"
"Rattus"	"(Dahlgren et al., 1981a)"	6	"none"	"Sokoloff"	"Hippocampus"	NA	NA	NA	NA	100	3	"Kaufman__2004"
"Mus"	"(Bouilleret et al., 2000)"	4	"none"	"Sokoloff"	"Hippocampus"	84.3	13	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Jay etal., 1985)"	8	"none"	"Sokoloff"	"Hippocampus"	70	5.7	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Kamp et al., 1980)"	10	"none"	"Sokoloff"	"Hippocampus"	83	25.3	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Kamp et al., 1980)"	17	"none"	"Sokoloff"	"Hippocampus"	87	53.6	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Yamaguchi et al., 1992b)"	6	"none"	"Sokoloff"	"Hippocampus"	53.4	6.1	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Zocchi et al., 2001)"	4	"none"	"Sokoloff"	"Hippocampus"	52.2	5.2	NA	NA	NA	NA	"Kaufman__2004"
"Mus"	"(Zocchi et al., 2001)"	6	"none"	"Sokoloff"	"Hippocampus"	39.6	7.2	NA	NA	NA	NA	"Kaufman__2004"
