"file","identifier","id_type","table_label","url","readme","n_rows","n_cols","columns","citation","citation_short","first_author","year"
"10.1002%2F(SICI)1096-8644(199806)106%3A2%3C129%3A%3AAID-AJPA3%3E3.0.CO;2-L_TABLE2.tsv","10.1002/(SICI)1096-8644(199806)106:2<129::AID-AJPA3>3.0.CO;2-L","DOI","TABLE2","https://doi.org/10.1002/(SICI)1096-8644(199806)106:2<129::AID-AJPA3>3.0.CO;2-L","",6,6,"species; brain_volume_mm3; area13_volume_mm3; area13_hemisphere; n; source","Semendeferi, K., Armstrong, E., Schleicher, A., Zilles, K., & Van Hoesen, G. W. (1998). Limbic frontal cortex in hominoids: a comparative study of area 13. Am J Phys Anthropol, 106(2), 129-155. https://doi.org/10.1002/(SICI)1096-8644(199806)106:2<129::AID-AJPA3>3.0.CO;2-L","Semendeferi et al. (1998)","Semendeferi","1998"
"10.1002%2F1096-8644(200102)114%3A2%3C163%3A%3AAID-AJPA1016%3E3.0.CO;2-F_TABLE2.tsv","10.1002/1096-8644(200102)114:2<163::AID-AJPA1016>3.0.CO;2-F","DOI","TABLE2","https://doi.org/10.1002/1096-8644(200102)114:2<163::AID-AJPA1016>3.0.CO;2-F","",3,5,"species; Ventral.half; Dorsal.half; Total; source","Matano, S. (2001). Brief communication: Proportions of the ventral half of the cerebellar dentate nucleus in humans and great apes. Am J Phys Anthropol, 114(2), 163-165. https://doi.org/10.1002/1096-8644(200102)114:2<163::AID-AJPA1016>3.0.CO;2-F","Matano et al. (2001)","Matano","2001"
"10.1002%2F1096-8644(200103)114%3A3%3C224%3A%3AAID-AJPA1022%3E3.0.CO;2-I_TABLE2.tsv","10.1002/1096-8644(200103)114:3<224::AID-AJPA1022>3.0.CO;2-I","DOI","TABLE2","https://doi.org/10.1002/1096-8644(200103)114:3<224::AID-AJPA1022>3.0.CO;2-I","",6,7,"species; brain_volume_mm3; area10_volume_mm3; area10_hemisphere; n; source; note","Semendeferi, K., Armstrong, E., Schleicher, A., Zilles, K., & Van Hoesen, G. W. (2001). Prefrontal cortex in humans and apes: a comparative study of area 10. Am J Phys Anthropol, 114(3), 224-241. https://doi.org/10.1002/1096-8644(200103)114:3<224::AID-AJPA1022>3.0.CO;2-I","Semendeferi et al. (2001)","Semendeferi","2001"
"10.1002%2Fajp.20048_TABLEI.tsv","10.1002/ajp.20048","DOI","TABLEI","https://doi.org/10.1002/ajp.20048","",34,9,"Species; Sex; Age; Whole Brain; Neocortex; Hippocampus; Striatum; Thalamus; Cerebellum","Sherwood, C. C., Cranfield, M. R., Mehlman, P. T., Lilly, A. A., Garbe, J. A., Whittier, C. A., Nutter, F. B., Rein, T. R., Bruner, H. J., Holloway, R. L., Tang, C. Y., Naidich, T. P., Delman, B. N., Steklis, H. D., Erwin, J. M., & Hof, P. R. (2004). Brain structure variation in great apes, with attention to the mountain gorilla (Gorilla beringei beringei). Am J Primatol, 63(3), 149-164. https://doi.org/10.1002/ajp.20048","Sherwood et al. (2004)","Sherwood","2004"
"10.1002%2Fajp.20048_unpublishedviaDeCasien.tsv","10.1002/ajp.20048","DOI","unpublishedviaDeCasien","https://doi.org/10.1002/ajp.20048","",2,8,"species; species_as_published; moesm3_row; N; brain_volume_mm3; thalamus_mm3; source; provenance","Sherwood, C. C., Cranfield, M. R., Mehlman, P. T., Lilly, A. A., Garbe, J. A., Whittier, C. A., Nutter, F. B., Rein, T. R., Bruner, H. J., Holloway, R. L., Tang, C. Y., Naidich, T. P., Delman, B. N., Steklis, H. D., Erwin, J. M., & Hof, P. R. (2004). Brain structure variation in great apes, with attention to the mountain gorilla (Gorilla beringei beringei). Am J Primatol, 63(3), 149-164. https://doi.org/10.1002/ajp.20048","Sherwood et al. (2004)","Sherwood","2004"
"10.1002%2Fajpa.20684_TABLE1.tsv","10.1002/ajpa.20684","DOI","TABLE1","https://doi.org/10.1002/ajpa.20684","",12,23,"species; specimen; age; sex; hemispheres_cm3; amygdaloid_complex_L; amygdaloid_complex_R; amygdaloid_complex_total; basolateral_L; basolateral_R; basolateral_total; lateral_L; lateral_R; lateral_total; basal_L; basal_R; basal_total; accessory_basal_L; accessory_basal_R; accessory_basal_total; section_plane; note; source","Barger, N., Stefanacci, L., & Semendeferi, K. (2007). A comparative volumetric analysis of the amygdaloid complex and basolateral division in the human and ape brain. Am J Phys Anthropol, 134(3), 392-403. https://doi.org/10.1002/ajpa.20684","Barger et al. (2007)","Barger","2007"
"10.1002%2Fajpa.22646_Fig4A.tsv","10.1002/ajpa.22646","DOI","Fig4A","https://doi.org/10.1002/ajpa.22646","",2,38,"Species; Frontal_GM_L_cm3; Frontal_GM_R_cm3; Frontal_WM_L_cm3; Frontal_WM_R_cm3; Temporal_GM_L_cm3; Temporal_GM_R_cm3; Temporal_WM_L_cm3; Temporal_WM_R_cm3; ParOcc_GM_L_cm3; ParOcc_GM_R_cm3; ParOcc_WM_L_cm3; ParOcc_WM_R_cm3; Insula_L_cm3; Insula_R_cm3; Claustrum_L_cm3; Claustrum_R_cm3; CerebellumHem_L_cm3; CerebellumHem_R_cm3; CerebellumVermis_cm3; Amygdala_L_cm3; Amygdala_R_cm3; Hippocampus_L_cm3; Hippocampus_R_cm3; Striatum_L_cm3; Striatum_R_cm3; Thalamus_cm3; Cerebellum_mm3; Neocortex_GMWM_mm3; Neocortex_GM_mm3; Striatum_mm3; Hippocampus_mm3; Amygdala_mm3; Insula_mm3; Thalamus_mm3; subjects; digitized_from; source","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","Barks et al. (2014)","Barks","2014"
"10.1002%2Fajpa.22646_Fig5A.tsv","10.1002/ajpa.22646","DOI","Fig5A","https://doi.org/10.1002/ajpa.22646","",2,38,"Species; Frontal_GM_L_cm3; Frontal_GM_R_cm3; Frontal_WM_L_cm3; Frontal_WM_R_cm3; Temporal_GM_L_cm3; Temporal_GM_R_cm3; Temporal_WM_L_cm3; Temporal_WM_R_cm3; ParOcc_GM_L_cm3; ParOcc_GM_R_cm3; ParOcc_WM_L_cm3; ParOcc_WM_R_cm3; Insula_L_cm3; Insula_R_cm3; Claustrum_L_cm3; Claustrum_R_cm3; CerebellumHem_L_cm3; CerebellumHem_R_cm3; CerebellumVermis_cm3; Amygdala_L_cm3; Amygdala_R_cm3; Hippocampus_L_cm3; Hippocampus_R_cm3; Striatum_L_cm3; Striatum_R_cm3; Thalamus_cm3; Cerebellum_mm3; Neocortex_GMWM_mm3; Neocortex_GM_mm3; Striatum_mm3; Hippocampus_mm3; Amygdala_mm3; Insula_mm3; Thalamus_mm3; subjects; digitized_from; source","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","Barks et al. (2014)","Barks","2014"
"10.1002%2Fajpa.22646_TABLE1.tsv","10.1002/ajpa.22646","DOI","TABLE1","https://doi.org/10.1002/ajpa.22646","",36,7,"species; specimen_number; Sex; Age (years); Rearing history; Brain volume (cm3); Brain volume minus cerebellum (cm3)","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","Barks et al. (2014)","Barks","2014"
"10.1002%2Fajpa.22646_TABLE2.tsv","10.1002/ajpa.22646","DOI","TABLE2","https://doi.org/10.1002/ajpa.22646","",26,4,"region; hemisphere; average_number_points_counted; ce","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","Barks et al. (2014)","Barks","2014"
